DATAFLOW,AUDST,BASE_PER,BASE_WEIGHT,CLASS_PROD_RN,FREQ,REPYEAREND,REPYEARSTART,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,3.6,NFG_OS_RNM,AFY,2018,2017,2018-03-31,IX,118.2
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,0.47,NFG_OS_SESM,AFY,2018,2017,2018-03-31,IX,112.4
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,1.87,NFG_RBBR,AFY,2018,2017,2018-03-31,IX,83.9
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,9.89,NFG_SGRCN,AFY,2018,2017,2018-03-31,IX,115.7
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,0.28,NFG_TEA,AFY,2018,2017,2018-03-31,IX,136.4
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,0.41,NFG_TOBB,AFY,2018,2017,2018-03-31,IX,202.4
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,49.34,NON_FDGRAINS,AFY,2018,2017,2018-03-31,IX,142.1
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,100.0,ALL_CRPS,AFY,2019,2018,2019-03-31,IX,138.1
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,50.66,FDGRAINS,AFY,2019,2018,2019-03-31,IX,134.4
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,41.73,FG_CEREALS,AFY,2019,2018,2019-03-31,IX,129.2
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,6.86,FG_CE_CC,AFY,2019,2018,2019-03-31,IX,116.4
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,16.89,FG_CE_RI,AFY,2019,2018,2019-03-31,IX,124.0
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,17.99,FG_CE_WH,AFY,2019,2018,2019-03-31,IX,138.9
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,8.92,FG_PL_PULSES,AFY,2019,2018,2019-03-31,IX,158.9
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,0.62,NFG_CFF,AFY,2019,2018,2019-03-31,IX,116.3
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,1.19,NFG_CNUT,AFY,2019,2018,2019-03-31,IX,141.0
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,4.41,NFG_COTTON,AFY,2019,2018,2019-03-31,IX,125.5
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,0.62,NFG_GUARS,AFY,2019,2018,2019-03-31,IX,98.0
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,0.66,NFG_JUTE,AFY,2019,2018,2019-03-31,IX,93.4
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,13.25,NFG_OILSEEDS,AFY,2019,2018,2019-03-31,IX,111.6
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,4.11,NFG_OS_GRDNT,AFY,2019,2018,2019-03-31,IX,91.6
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,3.6,NFG_OS_RNM,AFY,2019,2018,2019-03-31,IX,129.7
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,0.47,NFG_OS_SESM,AFY,2019,2018,2019-03-31,IX,102.6
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,1.87,NFG_RBBR,AFY,2019,2018,2019-03-31,IX,78.7
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,9.89,NFG_SGRCN,AFY,2019,2018,2019-03-31,IX,123.5
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,0.28,NFG_TEA,AFY,2019,2018,2019-03-31,IX,139.0
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,0.41,NFG_TOBB,AFY,2019,2018,2019-03-31,IX,140.0
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,49.34,NON_FDGRAINS,AFY,2019,2018,2019-03-31,IX,142.0
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,100.0,ALL_CRPS,AFY,2020,2019,2020-03-31,IX,145.5
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,50.66,FDGRAINS,AFY,2020,2019,2020-03-31,IX,139.8
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,41.73,FG_CEREALS,AFY,2020,2019,2020-03-31,IX,134.8
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,6.86,FG_CE_CC,AFY,2020,2019,2020-03-31,IX,129.5
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,16.89,FG_CE_RI,AFY,2020,2019,2020-03-31,IX,126.5
