DATAFLOW,AUDST,CLS_OF_CRPS,FREQ,REPYEAREND,REPYEARSTART,STATE_CODE,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:AGR_PROD_ST_RN(1.0),N_A,OILSDS,AFY,2006,2005,N_A,0,2006-03-31,TN,27971700
RBI:AGR_PROD_ST_RN(1.0),N_A,COTTON,AFY,2006,2005,N_A,0,2006-03-31,TN,18498700
RBI:AGR_PROD_ST_RN(1.0),N_A,MJR_COM_CRPS,AFY,2006,2005,N_A,0,2006-03-31,TN,338318600
RBI:AGR_PROD_ST_RN(1.0),N_A,RJNM,AFY,2006,2005,N_A,0,2006-03-31,TN,10839600
RBI:AGR_PROD_ST_RN(1.0),N_A,OILSDS,AFY,2005,2004,N_A,0,2005-03-31,TN,24345100
RBI:AGR_PROD_ST_RN(1.0),N_A,SGRCN,AFY,2005,2004,N_A,0,2005-03-31,TN,236955400
RBI:AGR_PROD_ST_RN(1.0),N_A,PUL,AFY,2005,2004,N_A,0,2005-03-31,TN,13121000
RBI:AGR_PROD_ST_RN(1.0),N_A,RI,AFY,2005,2004,N_A,0,2005-03-31,TN,82995100
RBI:AGR_PROD_ST_RN(1.0),N_A,FDGRNS,AFY,2005,2004,N_A,0,2005-03-31,TN,198125600
RBI:AGR_PROD_ST_RN(1.0),N_A,MJR_COM_CRPS,AFY,2005,2004,N_A,0,2005-03-31,TN,287998500
RBI:AGR_PROD_ST_RN(1.0),N_A,CC,AFY,2005,2004,N_A,0,2005-03-31,TN,33444700
RBI:AGR_PROD_ST_RN(1.0),N_A,WH,AFY,2005,2004,N_A,0,2005-03-31,TN,68564800
RBI:AGR_PROD_ST_RN(1.0),N_A,COTTON,AFY,2005,2004,N_A,0,2005-03-31,TN,16425700
RBI:AGR_PROD_ST_RN(1.0),N_A,RJNM,AFY,2005,2004,N_A,0,2005-03-31,TN,10272300
RBI:AGR_PROD_ST_RN(1.0),N_A,FDGRNS,AFY,2004,2003,N_A,0,2004-03-31,TN,212929600
RBI:AGR_PROD_ST_RN(1.0),N_A,RJNM,AFY,2004,2003,N_A,0,2004-03-31,TN,11172900
RBI:AGR_PROD_ST_RN(1.0),N_A,OILSDS,AFY,2004,2003,N_A,0,2004-03-31,TN,25181800
RBI:AGR_PROD_ST_RN(1.0),N_A,COTTON,AFY,2004,2003,N_A,0,2004-03-31,TN,13727300
RBI:AGR_PROD_ST_RN(1.0),N_A,SGRCN,AFY,2004,2003,N_A,0,2004-03-31,TN,233711200
RBI:AGR_PROD_ST_RN(1.0),N_A,MJR_COM_CRPS,AFY,2004,2003,N_A,0,2004-03-31,TN,283793200
RBI:AGR_PROD_ST_RN(1.0),N_A,RI,AFY,2004,2003,N_A,0,2004-03-31,TN,88390800
RBI:AGR_PROD_ST_RN(1.0),N_A,WH,AFY,2004,2003,N_A,0,2004-03-31,TN,72052900
RBI:AGR_PROD_ST_RN(1.0),N_A,PUL,AFY,2004,2003,N_A,0,2004-03-31,TN,14896900
RBI:AGR_PROD_ST_RN(1.0),N_A,CC,AFY,2004,2003,N_A,0,2004-03-31,TN,37589000
RBI:AGR_PROD_ST_RN(1.0),N_A,MJR_COM_CRPS,AFY,2003,2002,N_A,0,2003-03-31,TN,321889900
RBI:AGR_PROD_ST_RN(1.0),N_A,RI,AFY,2003,2002,N_A,0,2003-03-31,TN,71684900
RBI:AGR_PROD_ST_RN(1.0),N_A,RJNM,AFY,2003,2002,N_A,0,2003-03-31,TN,11275400
RBI:AGR_PROD_ST_RN(1.0),N_A,OILSDS,AFY,2003,2002,N_A,0,2003-03-31,TN,14832500
RBI:AGR_PROD_ST_RN(1.0),N_A,PUL,AFY,2003,2002,N_A,0,2003-03-31,TN,11116400
RBI:AGR_PROD_ST_RN(1.0),N_A,CC,AFY,2003,2002,N_A,0,2003-03-31,TN,26054700
RBI:AGR_PROD_ST_RN(1.0),N_A,FDGRNS,AFY,2003,2002,N_A,0,2003-03-31,TN,174535700
RBI:AGR_PROD_ST_RN(1.0),N_A,WH,AFY,2003,2002,N_A,0,2003-03-31,TN,65679700
RBI:AGR_PROD_ST_RN(1.0),N_A,SGRCN,AFY,2003,2002,N_A,0,2003-03-31,TN,287159900
RBI:AGR_PROD_ST_RN(1.0),N_A,COTTON,AFY,2003,2002,N_A,0,2003-03-31,TN,8622100.0
RBI:AGR_PROD_ST_RN(1.0),N_A,FDGRNS,AFY,2002,2001,N_A,0,2002-03-31,TN,212590700
RBI:AGR_PROD_ST_RN(1.0),N_A,WH,AFY,2002,2001,N_A,0,2002-03-31,TN,72673300
RBI:AGR_PROD_ST_RN(1.0),N_A,CC,AFY,2002,2001,N_A,0,2002-03-31,TN,33364200
RBI:AGR_PROD_ST_RN(1.0),N_A,RI,AFY,2002,2001,N_A,0,2002-03-31,TN,93194100
RBI:AGR_PROD_ST_RN(1.0),N_A,OILSDS,AFY,2002,2001,N_A,0,2002-03-31,TN,20656600
RBI:AGR_PROD_ST_RN(1.0),N_A,COTTON,AFY,2002,2001,N_A,0,2002-03-31,TN,9994800.0
RBI:AGR_PROD_ST_RN(1.0),N_A,SGRCN,AFY,2002,2001,N_A,0,2002-03-31,TN,297008000
RBI:AGR_PROD_ST_RN(1.0),N_A,PUL,AFY,2002,2001,N_A,0,2002-03-31,TN,13359100
