DATAFLOW,AUDST,DIS_OF_COM,FREQ,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:PDS_AGR_PROD_RN(1.0),N_A,WH,AFY,2003,2002,0,2003-03-31,TN,19030000
RBI:PDS_AGR_PROD_RN(1.0),N_A,WHE,AFY,2003,2002,0,2003-03-31,TN,24990000
RBI:PDS_AGR_PROD_RN(1.0),N_A,WHEAT,AFY,2003,2002,0,2003-03-31,TN,15650000
RBI:PDS_AGR_PROD_RN(1.0),N_A,OFFTAKE,AFY,2004,2003,0,2004-03-31,TN,49330000
RBI:PDS_AGR_PROD_RN(1.0),N_A,PROCUREMENT,AFY,2004,2003,0,2004-03-31,TN,38700000
RBI:PDS_AGR_PROD_RN(1.0),N_A,RI,AFY,2004,2003,0,2004-03-31,TN,22900000
RBI:PDS_AGR_PROD_RN(1.0),N_A,RIC,AFY,2004,2003,0,2004-03-31,TN,25040000
RBI:PDS_AGR_PROD_RN(1.0),N_A,RICE,AFY,2004,2003,0,2004-03-31,TN,13070000
RBI:PDS_AGR_PROD_RN(1.0),N_A,STOCKS,AFY,2004,2003,0,2004-03-31,TN,20650000
RBI:PDS_AGR_PROD_RN(1.0),N_A,WH,AFY,2004,2003,0,2004-03-31,TN,15800000
RBI:PDS_AGR_PROD_RN(1.0),N_A,WHE,AFY,2004,2003,0,2004-03-31,TN,24290000
RBI:PDS_AGR_PROD_RN(1.0),N_A,WHEAT,AFY,2004,2003,0,2004-03-31,TN,6930000.0
RBI:PDS_AGR_PROD_RN(1.0),N_A,OFFTAKE,AFY,2005,2004,0,2005-03-31,TN,41470000
RBI:PDS_AGR_PROD_RN(1.0),N_A,PROCUREMENT,AFY,2005,2004,0,2005-03-31,TN,41470000
RBI:PDS_AGR_PROD_RN(1.0),N_A,RI,AFY,2005,2004,0,2005-03-31,TN,24670000
RBI:PDS_AGR_PROD_RN(1.0),N_A,RIC,AFY,2005,2004,0,2005-03-31,TN,23200000
RBI:PDS_AGR_PROD_RN(1.0),N_A,RICE,AFY,2005,2004,0,2005-03-31,TN,13340000
RBI:PDS_AGR_PROD_RN(1.0),N_A,STOCKS,AFY,2005,2004,0,2005-03-31,TN,17970000
RBI:PDS_AGR_PROD_RN(1.0),N_A,WH,AFY,2005,2004,0,2005-03-31,TN,16800000
RBI:PDS_AGR_PROD_RN(1.0),N_A,WHE,AFY,2005,2004,0,2005-03-31,TN,18270000
RBI:PDS_AGR_PROD_RN(1.0),N_A,WHEAT,AFY,2005,2004,0,2005-03-31,TN,4070000.0
RBI:PDS_AGR_PROD_RN(1.0),N_A,OFFTAKE,AFY,2006,2005,0,2006-03-31,TN,42250000
RBI:PDS_AGR_PROD_RN(1.0),N_A,PROCUREMENT,AFY,2006,2005,0,2006-03-31,TN,42370000
RBI:PDS_AGR_PROD_RN(1.0),N_A,RI,AFY,2006,2005,0,2006-03-31,TN,27580000
RBI:PDS_AGR_PROD_RN(1.0),N_A,RIC,AFY,2006,2005,0,2006-03-31,TN,25080000
RBI:PDS_AGR_PROD_RN(1.0),N_A,RICE,AFY,2006,2005,0,2006-03-31,TN,13680000
RBI:PDS_AGR_PROD_RN(1.0),N_A,STOCKS,AFY,2006,2005,0,2006-03-31,TN,16620000
RBI:PDS_AGR_PROD_RN(1.0),N_A,WH,AFY,2006,2005,0,2006-03-31,TN,14790000
RBI:PDS_AGR_PROD_RN(1.0),N_A,WHE,AFY,2006,2005,0,2006-03-31,TN,17170000
RBI:PDS_AGR_PROD_RN(1.0),N_A,WHEAT,AFY,2006,2005,0,2006-03-31,TN,2010000.0
RBI:PDS_AGR_PROD_RN(1.0),N_A,OFFTAKE,AFY,2007,2006,0,2007-03-31,TN,36770000
RBI:PDS_AGR_PROD_RN(1.0),N_A,PROCUREMENT,AFY,2007,2006,0,2007-03-31,TN,34340000
RBI:PDS_AGR_PROD_RN(1.0),N_A,RI,AFY,2007,2006,0,2007-03-31,TN,25110000
RBI:PDS_AGR_PROD_RN(1.0),N_A,RIC,AFY,2007,2006,0,2007-03-31,TN,25060000
RBI:PDS_AGR_PROD_RN(1.0),N_A,RICE,AFY,2007,2006,0,2007-03-31,TN,13170000
RBI:PDS_AGR_PROD_RN(1.0),N_A,STOCKS,AFY,2007,2006,0,2007-03-31,TN,17930000
RBI:PDS_AGR_PROD_RN(1.0),N_A,WH,AFY,2007,2006,0,2007-03-31,TN,9230000.0
RBI:PDS_AGR_PROD_RN(1.0),N_A,WHE,AFY,2007,2006,0,2007-03-31,TN,11710000
RBI:PDS_AGR_PROD_RN(1.0),N_A,WHEAT,AFY,2007,2006,0,2007-03-31,TN,4700000.0
RBI:PDS_AGR_PROD_RN(1.0),N_A,OFFTAKE,AFY,2008,2007,0,2008-03-31,TN,37440000
RBI:PDS_AGR_PROD_RN(1.0),N_A,PROCUREMENT,AFY,2008,2007,0,2008-03-31,TN,39870000
RBI:PDS_AGR_PROD_RN(1.0),N_A,RI,AFY,2008,2007,0,2008-03-31,TN,28740000
RBI:PDS_AGR_PROD_RN(1.0),N_A,RIC,AFY,2008,2007,0,2008-03-31,TN,25230000
RBI:PDS_AGR_PROD_RN(1.0),N_A,RICE,AFY,2008,2007,0,2008-03-31,TN,13840000
RBI:PDS_AGR_PROD_RN(1.0),N_A,STOCKS,AFY,2008,2007,0,2008-03-31,TN,19750000
RBI:PDS_AGR_PROD_RN(1.0),N_A,WH,AFY,2008,2007,0,2008-03-31,TN,11130000
RBI:PDS_AGR_PROD_RN(1.0),N_A,WHE,AFY,2008,2007,0,2008-03-31,TN,12210000
RBI:PDS_AGR_PROD_RN(1.0),N_A,WHEAT,AFY,2008,2007,0,2008-03-31,TN,5800000.0
RBI:PDS_AGR_PROD_RN(1.0),N_A,OFFTAKE,AFY,2009,2008,0,2009-03-31,TN,39500000
RBI:PDS_AGR_PROD_RN(1.0),N_A,PROCUREMENT,AFY,2009,2008,0,2009-03-31,TN,56790000
RBI:PDS_AGR_PROD_RN(1.0),N_A,RI,AFY,2009,2008,0,2009-03-31,TN,34100000
RBI:PDS_AGR_PROD_RN(1.0),N_A,RIC,AFY,2009,2008,0,2009-03-31,TN,24620000
RBI:PDS_AGR_PROD_RN(1.0),N_A,RICE,AFY,2009,2008,0,2009-03-31,TN,21600000
RBI:PDS_AGR_PROD_RN(1.0),N_A,STOCKS,AFY,2009,2008,0,2009-03-31,TN,35580000
RBI:PDS_AGR_PROD_RN(1.0),N_A,WH,AFY,2009,2008,0,2009-03-31,TN,22690000
RBI:PDS_AGR_PROD_RN(1.0),N_A,WHE,AFY,2009,2008,0,2009-03-31,TN,14880000
RBI:PDS_AGR_PROD_RN(1.0),N_A,WHEAT,AFY,2009,2008,0,2009-03-31,TN,13430000
RBI:PDS_AGR_PROD_RN(1.0),N_A,OFFTAKE,AFY,2010,2009,0,2010-03-31,TN,49720000
RBI:PDS_AGR_PROD_RN(1.0),N_A,PROCUREMENT,AFY,2010,2009,0,2010-03-31,TN,57410000
RBI:PDS_AGR_PROD_RN(1.0),N_A,RI,AFY,2010,2009,0,2010-03-31,TN,32030000
RBI:PDS_AGR_PROD_RN(1.0),N_A,RIC,AFY,2010,2009,0,2010-03-31,TN,27370000
RBI:PDS_AGR_PROD_RN(1.0),N_A,RICE,AFY,2010,2009,0,2010-03-31,TN,26710000
RBI:PDS_AGR_PROD_RN(1.0),N_A,STOCKS,AFY,2010,2009,0,2010-03-31,TN,43310000
RBI:PDS_AGR_PROD_RN(1.0),N_A,WH,AFY,2010,2009,0,2010-03-31,TN,25380000
RBI:PDS_AGR_PROD_RN(1.0),N_A,WHE,AFY,2010,2009,0,2010-03-31,TN,22350000
RBI:PDS_AGR_PROD_RN(1.0),N_A,WHEAT,AFY,2010,2009,0,2010-03-31,TN,16130000
RBI:PDS_AGR_PROD_RN(1.0),N_A,OFFTAKE,AFY,2011,2010,0,2011-03-31,TN,53000000
RBI:PDS_AGR_PROD_RN(1.0),N_A,PROCUREMENT,AFY,2011,2010,0,2011-03-31,TN,56710000
RBI:PDS_AGR_PROD_RN(1.0),N_A,RI,AFY,2011,2010,0,2011-03-31,TN,34200000
RBI:PDS_AGR_PROD_RN(1.0),N_A,RIC,AFY,2011,2010,0,2011-03-31,TN,29930000
RBI:PDS_AGR_PROD_RN(1.0),N_A,RICE,AFY,2011,2010,0,2011-03-31,TN,28820000
RBI:PDS_AGR_PROD_RN(1.0),N_A,STOCKS,AFY,2011,2010,0,2011-03-31,TN,44310000
