DATAFLOW,AUDST,BASE_PER,CENTER_RN,FREQ,REPYEAREND,REPYEARSTART,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2008_09,DELHI,QFY,2011,2010,2011-03-31,IX,135.2
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2008_09,JAIPUR,QFY,2011,2010,2011-03-31,IX,155.3
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2008_09,KANPUR,QFY,2011,2010,2011-03-31,IX,135.7
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2008_09,KOLKATA,QFY,2011,2010,2011-03-31,IX,171.9
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2008_09,LUCKNOW,QFY,2011,2010,2011-03-31,IX,140.3
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2008_09,MUMBAI,QFY,2011,2010,2011-03-31,IX,172.3
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2010-11,AHMEDABAD,QFY,2011,2010,2011-03-31,IX,102.248380593449
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2010-11,AL_INDIA,QFY,2011,2010,2011-03-31,IX,106.632289576334
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2010-11,BANGALORE,QFY,2011,2010,2011-03-31,IX,105.522082318234
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2010-11,CHENNAI,QFY,2011,2010,2011-03-31,IX,93.119391914535
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2010-11,DELHI,QFY,2011,2010,2011-03-31,IX,112.058101469233
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2010-11,JAIPUR,QFY,2011,2010,2011-03-31,IX,102.064925367295
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2010-11,KANPUR,QFY,2011,2010,2011-03-31,IX,105.131960375457
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2010-11,KOCHI,QFY,2011,2010,2011-03-31,IX,104.162113993608
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2010-11,KOLKATA,QFY,2011,2010,2011-03-31,IX,112.31152044599
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2010-11,LUCKNOW,QFY,2011,2010,2011-03-31,IX,107.761499028596
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2010-11,MUMBAI,QFY,2011,2010,2011-03-31,IX,108.776359659831
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2008_09,AHMEDABAD,QFY,2012,2011,2011-06-30,IX,152.3
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2008_09,BANGALORE,QFY,2012,2011,2011-06-30,IX,116.9
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2008_09,CHENNAI,QFY,2012,2011,2011-06-30,IX,106.3
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2008_09,DELHI,QFY,2012,2011,2011-06-30,IX,152.8
