DATAFLOW,AUDST,FREQ,MEASURE_RN,PICE_REF_CITY_RN,PREC_METL_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC2,GOLD,2013,2012,0,2013-03-31,DOL_PER_TROY_OZ,1653.506667
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC2,GOLD,2013,2012,0,2013-03-31,RUP_PER_10_GMS,28919.0425
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC3,SILVER,2013,2012,0,2013-03-31,CTNS_PER_TROY_OZ,3050.714583
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC3,SILVER,2013,2012,0,2013-03-31,RUP_PER_KG,53329.110447
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC1,GOLD,2014,2013,0,2014-03-31,RUP_PER_10_GMS,29190.3925
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC1,SILVER,2014,2013,0,2014-03-31,RUP_PER_KG,46636.795833
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC2,GOLD,2014,2013,0,2014-03-31,DOL_PER_TROY_OZ,1326.681667
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC2,GOLD,2014,2013,0,2014-03-31,RUP_PER_10_GMS,25739.354167
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC3,SILVER,2014,2013,0,2014-03-31,CTNS_PER_TROY_OZ,2145.414516
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC3,SILVER,2014,2013,0,2014-03-31,RUP_PER_KG,41643.209509
