DATAFLOW,AUDST,BASE_PER,FREQ,MEASURE_RN,REPYEAREND,REPYEARSTART,TYPE_CPI_RN,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:CPI_AV_RN(1.0),N_A,BY_1986-87,M,ANL_VAR,2005,2004,AL_AIGI,2004-09-30,PT,3.313253012048
RBI:CPI_AV_RN(1.0),N_A,BY_1982,M,ANL_VAR,2005,2004,IW_FGRP,2004-10-31,PT,3.4
RBI:CPI_AV_RN(1.0),N_A,BY_1982,M,ANL_VAR,2005,2004,IW_GI,2004-10-31,PT,4.572564612326
RBI:CPI_AV_RN(1.0),N_A,BY_1984-85,M,ANL_VAR,2005,2004,UNME_GI,2004-10-31,PT,4.018912529551
RBI:CPI_AV_RN(1.0),N_A,BY_1986-87,M,ANL_VAR,2005,2004,AL_AIGI,2004-10-31,PT,3.603603603604
RBI:CPI_AV_RN(1.0),N_A,BY_1982,M,ANL_VAR,2005,2004,IW_FGRP,2004-11-30,PT,2.594810379242
RBI:CPI_AV_RN(1.0),N_A,BY_1982,M,ANL_VAR,2005,2004,IW_GI,2004-11-30,PT,4.166666666667
RBI:CPI_AV_RN(1.0),N_A,BY_1984-85,M,ANL_VAR,2005,2004,UNME_GI,2004-11-30,PT,4.028436018957
RBI:CPI_AV_RN(1.0),N_A,BY_1986-87,M,ANL_VAR,2005,2004,AL_AIGI,2004-11-30,PT,3.303303303303
RBI:CPI_AV_RN(1.0),N_A,BY_1982,M,ANL_VAR,2005,2004,IW_FGRP,2004-12-31,PT,1.814516129032
RBI:CPI_AV_RN(1.0),N_A,BY_1982,M,ANL_VAR,2005,2004,IW_GI,2004-12-31,PT,3.784860557769
RBI:CPI_AV_RN(1.0),N_A,BY_1984-85,M,ANL_VAR,2005,2004,UNME_GI,2004-12-31,PT,3.562945368171
RBI:CPI_AV_RN(1.0),N_A,BY_1986-87,M,ANL_VAR,2005,2004,AL_AIGI,2004-12-31,PT,3.012048192771
RBI:CPI_AV_RN(1.0),N_A,BY_1982,M,ANL_VAR,2005,2004,IW_FGRP,2005-01-31,PT,1.612903225806
RBI:CPI_AV_RN(1.0),N_A,BY_1982,M,ANL_VAR,2005,2004,IW_GI,2005-01-31,PT,4.365079365079
RBI:CPI_AV_RN(1.0),N_A,BY_1984-85,M,ANL_VAR,2005,2004,UNME_GI,2005-01-31,PT,3.77358490566
