DATAFLOW,AUDST,BASE_PER,COMD_ITEM,COVERAGE_GEO_RN,FREQ,REPYEAREND,REPYEARSTART,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_MS_ED,RUR,M,2016,2015,2016-02-29,IX,127.1
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_MS_ED,URB,M,2016,2015,2016-02-29,IX,126.3
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_MS_HHGS,ALL_INDIA,M,2016,2015,2016-02-29,IX,124.6
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_MS_HHGS,RUR,M,2016,2015,2016-02-29,IX,127.1
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_MS_HHGS,URB,M,2016,2015,2016-02-29,IX,121.8
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_MS_HTH,ALL_INDIA,M,2016,2015,2016-02-29,IX,122.5
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_MS_HTH,RUR,M,2016,2015,2016-02-29,IX,124.3
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_MS_HTH,URB,M,2016,2015,2016-02-29,IX,119.5
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_MS_PCE,ALL_INDIA,M,2016,2015,2016-02-29,IX,116.6
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_MS_PCE,RUR,M,2016,2015,2016-02-29,IX,116.8
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_MS_PCE,URB,M,2016,2015,2016-02-29,IX,116.2
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_MS_RA,ALL_INDIA,M,2016,2015,2016-02-29,IX,120.3
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_MS_RA,RUR,M,2016,2015,2016-02-29,IX,122.3
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_MS_RA,URB,M,2016,2015,2016-02-29,IX,118.8
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_MS_TC,ALL_INDIA,M,2016,2015,2016-02-29,IX,111.4
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_MS_TC,RUR,M,2016,2015,2016-02-29,IX,113.9
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_MS_TC,URB,M,2016,2015,2016-02-29,IX,109.1
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_PTI,ALL_INDIA,M,2016,2015,2016-02-29,IX,135.9
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_PTI,RUR,M,2016,2015,2016-02-29,IX,134.4
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_PTI,URB,M,2016,2015,2016-02-29,IX,140.0
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_CFPI,ALL_INDIA,M,2016,2015,2016-03-31,IX,129.2
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_CFPI,RUR,M,2016,2015,2016-03-31,IX,129.8
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_CFPI,URB,M,2016,2015,2016-03-31,IX,128.0
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG,ALL_INDIA,M,2016,2015,2016-03-31,IX,126.0
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG,RUR,M,2016,2015,2016-03-31,IX,128.0
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG,URB,M,2016,2015,2016-03-31,IX,123.8
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_CF,ALL_INDIA,M,2016,2015,2016-03-31,IX,130.5
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_CF,RUR,M,2016,2015,2016-03-31,IX,133.8
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_CF,URB,M,2016,2015,2016-03-31,IX,125.5
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_CF_C,ALL_INDIA,M,2016,2015,2016-03-31,IX,131.3
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_CF_C,RUR,M,2016,2015,2016-03-31,IX,134.4
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_CF_C,URB,M,2016,2015,2016-03-31,IX,126.4
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_CF_F,ALL_INDIA,M,2016,2015,2016-03-31,IX,126.1
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_CF_F,RUR,M,2016,2015,2016-03-31,IX,130.2
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_CF_F,URB,M,2016,2015,2016-03-31,IX,120.3
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_FB,ALL_INDIA,M,2016,2015,2016-03-31,IX,129.8
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_FB,RUR,M,2016,2015,2016-03-31,IX,130.4
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_FB,URB,M,2016,2015,2016-03-31,IX,128.9
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_FB_CP,ALL_INDIA,M,2016,2015,2016-03-31,IX,126.5
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_FB_CP,RUR,M,2016,2015,2016-03-31,IX,127.3
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_FB_CP,URB,M,2016,2015,2016-03-31,IX,124.8
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_FB_EG,ALL_INDIA,M,2016,2015,2016-03-31,IX,124.6
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_FB_EG,RUR,M,2016,2015,2016-03-31,IX,125.1
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_FB_EG,URB,M,2016,2015,2016-03-31,IX,123.7
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_FB_FR,ALL_INDIA,M,2016,2015,2016-03-31,IX,126.2
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_FB_FR,RUR,M,2016,2015,2016-03-31,IX,131.7
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_FB_FR,URB,M,2016,2015,2016-03-31,IX,119.9
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_FB_MF,ALL_INDIA,M,2016,2015,2016-03-31,IX,135.1
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_FB_MF,RUR,M,2016,2015,2016-03-31,IX,134.4
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_FB_MF,URB,M,2016,2015,2016-03-31,IX,136.3
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_FB_MP,ALL_INDIA,M,2016,2015,2016-03-31,IX,130.2
