DATAFLOW,AUDST,BASE_PER,FREQ,MEASURE_RN,REPYEAREND,REPYEARSTART,WPI_COM_CLS_RN,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1993_94,AFY,ANL_VAR,1996,1995,WPI0101,1996-03-31,IX,8.2
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1993_94,AFY,ANL_VAR,1996,1995,WPI010101,1996-03-31,IX,8.3
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1993_94,AFY,ANL_VAR,1996,1995,WPI010102,1996-03-31,IX,9.0
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1993_94,AFY,ANL_VAR,1996,1995,WPI0102,1996-03-31,IX,5.1
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1993_94,AFY,ANL_VAR,1996,1995,WPI0103,1996-03-31,IX,8.5
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1993_94,AFY,ANNUAL_AVE,1996,1995,WPI01,1996-03-31,IX,121.6
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1993_94,AFY,ANNUAL_AVE,1996,1995,WPI0101,1996-03-31,IX,125.3
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1993_94,AFY,ANNUAL_AVE,1996,1995,WPI010101,1996-03-31,IX,122.2
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1993_94,AFY,ANNUAL_AVE,1996,1995,WPI010102,1996-03-31,IX,135.4
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1993_94,AFY,ANNUAL_AVE,1996,1995,WPI0102,1996-03-31,IX,114.5
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1993_94,AFY,ANNUAL_AVE,1996,1995,WPI0103,1996-03-31,IX,121.9
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1993_94,AFY,ANL_VAR,1997,1996,WPI01,1997-03-31,IX,4.6
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1993_94,AFY,ANL_VAR,1997,1996,WPI0101,1997-03-31,IX,8.4
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1993_94,AFY,ANL_VAR,1997,1996,WPI010101,1997-03-31,IX,12.4
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1993_94,AFY,ANL_VAR,1997,1996,WPI010102,1997-03-31,IX,-0.9
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1993_94,AFY,ANL_VAR,1997,1996,WPI0102,1997-03-31,IX,10.4
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1993_94,AFY,ANL_VAR,1997,1996,WPI0103,1997-03-31,IX,2.1
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1993_94,AFY,ANNUAL_AVE,1997,1996,WPI01,1997-03-31,IX,127.2
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1993_94,AFY,ANNUAL_AVE,1997,1996,WPI0101,1997-03-31,IX,135.8
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1993_94,AFY,ANNUAL_AVE,1997,1996,WPI010101,1997-03-31,IX,137.3
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1993_94,AFY,ANNUAL_AVE,1997,1996,WPI010102,1997-03-31,IX,134.2
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1993_94,AFY,ANNUAL_AVE,1997,1996,WPI0102,1997-03-31,IX,126.4
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1993_94,AFY,ANNUAL_AVE,1997,1996,WPI0103,1997-03-31,IX,124.4
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1993_94,AFY,ANL_VAR,1998,1997,WPI01,1998-03-31,IX,4.4
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1993_94,AFY,ANL_VAR,1998,1997,WPI0101,1998-03-31,IX,2.7
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1993_94,AFY,ANL_VAR,1998,1997,WPI010101,1998-03-31,IX,3.0
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1993_94,AFY,ANL_VAR,1998,1997,WPI010102,1998-03-31,IX,2.5
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1993_94,AFY,ANL_VAR,1998,1997,WPI0102,1998-03-31,IX,13.8
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1993_94,AFY,ANL_VAR,1998,1997,WPI0103,1998-03-31,IX,2.9
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1993_94,AFY,ANNUAL_AVE,1998,1997,WPI01,1998-03-31,IX,132.8
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1993_94,AFY,ANNUAL_AVE,1998,1997,WPI0101,1998-03-31,IX,139.4
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1993_94,AFY,ANNUAL_AVE,1998,1997,WPI010101,1998-03-31,IX,141.4
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1993_94,AFY,ANNUAL_AVE,1998,1997,WPI010102,1998-03-31,IX,137.5
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1993_94,AFY,ANNUAL_AVE,1998,1997,WPI0102,1998-03-31,IX,143.8
