DATAFLOW,AUDST,CURRENCY,FREQ,MEASURE_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:FOREX_RATE_AFY_RN(1.0),N_A,GBP,AFY,N_A,1996,1995,0,1996-03-31,INR,104.7826
RBI:FOREX_RATE_AFY_RN(1.0),N_A,USD,AFY,N_A,1996,1995,0,1996-03-31,INR,67.7998
RBI:FOREX_RATE_AFY_RN(1.0),N_A,EUR,AFY,N_A,1995,1994,0,1995-03-31,INR,42.5617
RBI:FOREX_RATE_AFY_RN(1.0),N_A,GBP,AFY,N_A,1995,1994,0,1995-03-31,INR,99.3861
RBI:FOREX_RATE_AFY_RN(1.0),N_A,SDR,AFY,N_A,1995,1994,0,1995-03-31,INR,94.94659999999999
RBI:FOREX_RATE_AFY_RN(1.0),N_A,JPY,AFY,N_A,1995,1994,0,1995-03-31,INR,66.9229
RBI:FOREX_RATE_AFY_RN(1.0),N_A,USD,AFY,N_A,1995,1994,0,1995-03-31,INR,62.8936
RBI:FOREX_RATE_AFY_RN(1.0),N_A,GBP,AFY,N_A,1994,1993,0,1994-03-31,INR,93.72640000000001
RBI:FOREX_RATE_AFY_RN(1.0),N_A,SDR,AFY,N_A,1994,1993,0,1994-03-31,INR,88.1996
RBI:FOREX_RATE_AFY_RN(1.0),N_A,JPY,AFY,N_A,1994,1993,0,1994-03-31,INR,64.63
RBI:FOREX_RATE_AFY_RN(1.0),N_A,USD,AFY,N_A,1994,1993,0,1994-03-31,INR,62.738
RBI:FOREX_RATE_AFY_RN(1.0),N_A,EUR,AFY,N_A,1994,1993,0,1994-03-31,INR,37.4978
RBI:FOREX_RATE_AFY_RN(1.0),N_A,JPY,AFY,N_A,1993,1992,0,1993-03-31,INR,51.58
RBI:FOREX_RATE_AFY_RN(1.0),N_A,GBP,AFY,N_A,1993,1992,0,1993-03-31,INR,98.3058
RBI:FOREX_RATE_AFY_RN(1.0),N_A,SDR,AFY,N_A,1993,1992,0,1993-03-31,INR,80.7926
RBI:FOREX_RATE_AFY_RN(1.0),N_A,EUR,AFY,N_A,1993,1992,0,1993-03-31,INR,38.8741
RBI:FOREX_RATE_AFY_RN(1.0),N_A,USD,AFY,N_A,1993,1992,0,1993-03-31,INR,61.8842
RBI:FOREX_RATE_AFY_RN(1.0),N_A,EUR,AFY,N_A,1992,1991,0,1992-03-31,INR,32.974900000000005
RBI:FOREX_RATE_AFY_RN(1.0),N_A,USD,AFY,N_A,1992,1991,0,1992-03-31,INR,55.6993
RBI:FOREX_RATE_AFY_RN(1.0),N_A,SDR,AFY,N_A,1992,1991,0,1992-03-31,INR,68.9468
RBI:FOREX_RATE_AFY_RN(1.0),N_A,GBP,AFY,N_A,1992,1991,0,1992-03-31,INR,96.2064
RBI:FOREX_RATE_AFY_RN(1.0),N_A,JPY,AFY,N_A,1992,1991,0,1992-03-31,INR,41.72
RBI:FOREX_RATE_AFY_RN(1.0),N_A,JPY,AFY,N_A,1991,1990,0,1991-03-31,INR,26.689999999999998
RBI:FOREX_RATE_AFY_RN(1.0),N_A,EUR,AFY,N_A,1991,1990,0,1991-03-31,INR,22.862099999999998
RBI:FOREX_RATE_AFY_RN(1.0),N_A,USD,AFY,N_A,1991,1990,0,1991-03-31,INR,37.5857
RBI:FOREX_RATE_AFY_RN(1.0),N_A,GBP,AFY,N_A,1991,1990,0,1991-03-31,INR,67.243
RBI:FOREX_RATE_AFY_RN(1.0),N_A,SDR,AFY,N_A,1991,1990,0,1991-03-31,INR,51.2571
RBI:FOREX_RATE_AFY_RN(1.0),N_A,SDR,AFY,N_A,1990,1989,0,1990-03-31,INR,43.7774
RBI:FOREX_RATE_AFY_RN(1.0),N_A,USD,AFY,N_A,1990,1989,0,1990-03-31,INR,33.974000000000004
RBI:FOREX_RATE_AFY_RN(1.0),N_A,JPY,AFY,N_A,1990,1989,0,1990-03-31,INR,22.66
RBI:FOREX_RATE_AFY_RN(1.0),N_A,GBP,AFY,N_A,1990,1989,0,1990-03-31,INR,55.2189
RBI:FOREX_RATE_AFY_RN(1.0),N_A,EUR,AFY,N_A,1990,1989,0,1990-03-31,INR,19.2592
RBI:FOREX_RATE_AFY_RN(1.0),N_A,USD,AFY,N_A,1989,1988,0,1989-03-31,INR,30.1447
RBI:FOREX_RATE_AFY_RN(1.0),N_A,JPY,AFY,N_A,1989,1988,0,1989-03-31,INR,23.1
RBI:FOREX_RATE_AFY_RN(1.0),N_A,GBP,AFY,N_A,1989,1988,0,1989-03-31,INR,51.9949
RBI:FOREX_RATE_AFY_RN(1.0),N_A,SDR,AFY,N_A,1989,1988,0,1989-03-31,INR,39.469899999999996
RBI:FOREX_RATE_AFY_RN(1.0),N_A,EUR,AFY,N_A,1989,1988,0,1989-03-31,INR,16.3084
RBI:FOREX_RATE_AFY_RN(1.0),N_A,GBP,AFY,N_A,1988,1987,0,1988-03-31,INR,46.438199999999995
RBI:FOREX_RATE_AFY_RN(1.0),N_A,SDR,AFY,N_A,1988,1987,0,1988-03-31,INR,35.0908
RBI:FOREX_RATE_AFY_RN(1.0),N_A,JPY,AFY,N_A,1988,1987,0,1988-03-31,INR,19.71
RBI:FOREX_RATE_AFY_RN(1.0),N_A,USD,AFY,N_A,1988,1987,0,1988-03-31,INR,25.9976
RBI:FOREX_RATE_AFY_RN(1.0),N_A,EUR,AFY,N_A,1988,1987,0,1988-03-31,INR,15.2074
RBI:FOREX_RATE_AFY_RN(1.0),N_A,JPY,AFY,N_A,1987,1986,0,1987-03-31,INR,16.92
RBI:FOREX_RATE_AFY_RN(1.0),N_A,SDR,AFY,N_A,1987,1986,0,1987-03-31,INR,32.0682
RBI:FOREX_RATE_AFY_RN(1.0),N_A,EUR,AFY,N_A,1987,1986,0,1987-03-31,INR,13.459
RBI:FOREX_RATE_AFY_RN(1.0),N_A,GBP,AFY,N_A,1987,1986,0,1987-03-31,INR,39.8212
RBI:FOREX_RATE_AFY_RN(1.0),N_A,USD,AFY,N_A,1987,1986,0,1987-03-31,INR,25.6664
RBI:FOREX_RATE_AFY_RN(1.0),N_A,GBP,AFY,N_A,1986,1985,0,1986-03-31,INR,35.0967
RBI:FOREX_RATE_AFY_RN(1.0),N_A,USD,AFY,N_A,1986,1985,0,1986-03-31,INR,24.541
RBI:FOREX_RATE_AFY_RN(1.0),N_A,EUR,AFY,N_A,1986,1985,0,1986-03-31,INR,9.857299999999999
RBI:FOREX_RATE_AFY_RN(1.0),N_A,SDR,AFY,N_A,1986,1985,0,1986-03-31,INR,26.9092
RBI:FOREX_RATE_AFY_RN(1.0),N_A,JPY,AFY,N_A,1986,1985,0,1986-03-31,INR,12.42
