DATAFLOW,AMOUNT_TYP_RN,AUDST,FREQ,REPYEAREND,REPYEARSTART,SMALL_SAVINGS_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:SMAL_SAV_RN(1.0),RECEIPTS,N_A,AFY,1999,1998,SSV1,0,1999-03-31,INR,276210000000
RBI:SMAL_SAV_RN(1.0),RECEIPTS,N_A,AFY,1999,1998,SSV2,0,1999-03-31,INR,271820000000
RBI:SMAL_SAV_RN(1.0),RECEIPTS,N_A,AFY,1999,1998,SSV3,0,1999-03-31,INR,10170000000
RBI:SMAL_SAV_RN(1.0),RECEIPTS,N_A,AFY,1999,1998,TTL_RECEIPTS,0,1999-03-31,INR,558200000000
RBI:SMAL_SAV_RN(1.0),OUTSTNDING,N_A,AFY,2000,1999,SSV1,0,2000-03-31,INR,606390000000
RBI:SMAL_SAV_RN(1.0),OUTSTNDING,N_A,AFY,2000,1999,SSV2,0,2000-03-31,INR,1222470000000
RBI:SMAL_SAV_RN(1.0),OUTSTNDING,N_A,AFY,2000,1999,SSV3,0,2000-03-31,INR,46240000000
RBI:SMAL_SAV_RN(1.0),OUTSTNDING,N_A,AFY,2000,1999,TTL_OUTSTNDINGS,0,2000-03-31,INR,1875100000000
RBI:SMAL_SAV_RN(1.0),RECEIPTS,N_A,AFY,2000,1999,SSV1,0,2000-03-31,INR,370530000000
RBI:SMAL_SAV_RN(1.0),RECEIPTS,N_A,AFY,2000,1999,SSV2,0,2000-03-31,INR,312370000000
RBI:SMAL_SAV_RN(1.0),RECEIPTS,N_A,AFY,2000,1999,SSV3,0,2000-03-31,INR,14050000000
RBI:SMAL_SAV_RN(1.0),RECEIPTS,N_A,AFY,2000,1999,TTL_RECEIPTS,0,2000-03-31,INR,696950000000
RBI:SMAL_SAV_RN(1.0),OUTSTNDING,N_A,AFY,2001,2000,SSV1,0,2001-03-31,INR,806540000000
RBI:SMAL_SAV_RN(1.0),OUTSTNDING,N_A,AFY,2001,2000,SSV2,0,2001-03-31,INR,1380410000000
RBI:SMAL_SAV_RN(1.0),OUTSTNDING,N_A,AFY,2001,2000,SSV3,0,2001-03-31,INR,63920000000
RBI:SMAL_SAV_RN(1.0),OUTSTNDING,N_A,AFY,2001,2000,TTL_OUTSTNDINGS,0,2001-03-31,INR,2250870000000
RBI:SMAL_SAV_RN(1.0),RECEIPTS,N_A,AFY,2001,2000,SSV1,0,2001-03-31,INR,448690000000
RBI:SMAL_SAV_RN(1.0),RECEIPTS,N_A,AFY,2001,2000,SSV2,0,2001-03-31,INR,330440000000
RBI:SMAL_SAV_RN(1.0),RECEIPTS,N_A,AFY,2001,2000,SSV3,0,2001-03-31,INR,13980000000
RBI:SMAL_SAV_RN(1.0),RECEIPTS,N_A,AFY,2001,2000,TTL_RECEIPTS,0,2001-03-31,INR,793110000000
RBI:SMAL_SAV_RN(1.0),OUTSTNDING,N_A,AFY,2002,2001,SSV1,0,2002-03-31,INR,1050780000000
RBI:SMAL_SAV_RN(1.0),OUTSTNDING,N_A,AFY,2002,2001,SSV2,0,2002-03-31,INR,1496670000000
RBI:SMAL_SAV_RN(1.0),OUTSTNDING,N_A,AFY,2002,2001,SSV3,0,2002-03-31,INR,81110000000
RBI:SMAL_SAV_RN(1.0),OUTSTNDING,N_A,AFY,2002,2001,TTL_OUTSTNDINGS,0,2002-03-31,INR,2628560000000
RBI:SMAL_SAV_RN(1.0),RECEIPTS,N_A,AFY,2002,2001,SSV1,0,2002-03-31,INR,517460000000.00006
RBI:SMAL_SAV_RN(1.0),RECEIPTS,N_A,AFY,2002,2001,SSV2,0,2002-03-31,INR,280780000000
RBI:SMAL_SAV_RN(1.0),RECEIPTS,N_A,AFY,2002,2001,SSV3,0,2002-03-31,INR,19290000000
RBI:SMAL_SAV_RN(1.0),RECEIPTS,N_A,AFY,2002,2001,TTL_RECEIPTS,0,2002-03-31,INR,817530000000
RBI:SMAL_SAV_RN(1.0),OUTSTNDING,N_A,AFY,2003,2002,SSV1,0,2003-03-31,INR,1402160000000
RBI:SMAL_SAV_RN(1.0),OUTSTNDING,N_A,AFY,2003,2002,SSV2,0,2003-03-31,INR,1634210000000
RBI:SMAL_SAV_RN(1.0),OUTSTNDING,N_A,AFY,2003,2002,SSV3,0,2003-03-31,INR,101560000000
RBI:SMAL_SAV_RN(1.0),OUTSTNDING,N_A,AFY,2003,2002,TTL_OUTSTNDINGS,0,2003-03-31,INR,3137930000000
RBI:SMAL_SAV_RN(1.0),RECEIPTS,N_A,AFY,2003,2002,SSV1,0,2003-03-31,INR,702140000000
