DATAFLOW,AUDST,FREQ,PUB_BORWING_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR7,2001,2000,0,2001-03-31,INR,0.0
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR2,2001,2000,0,2001-03-31,INR,326640000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR6,2001,2000,0,2001-03-31,INR,55750000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR4,2001,2000,0,2001-03-31,INR,380330000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR3,2001,2000,0,2001-03-31,INR,883570000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,TTL_RESOURCES,2000,1999,0,2000-03-31,INR,1575380000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR5,2000,1999,0,2000-03-31,INR,0.0
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR6,2000,1999,0,2000-03-31,INR,71990000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR8,2000,1999,0,2000-03-31,INR,786490000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR2,2000,1999,0,2000-03-31,INR,313990000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR7,2000,1999,0,2000-03-31,INR,0.0
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR4,2000,1999,0,2000-03-31,INR,337230000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR3,2000,1999,0,2000-03-31,INR,880350000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR1,2000,1999,0,2000-03-31,INR,-814670000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR6,1999,1998,0,1999-03-31,INR,60940000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR4,1999,1998,0,1999-03-31,INR,290000000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR2,1999,1998,0,1999-03-31,INR,311320000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,TTL_RESOURCES,1999,1998,0,1999-03-31,INR,1286290000000
