DATAFLOW,AUDST,FREQ,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:CG_DEFM_RN(1.0),N_A,M,2012,2011,0,2011-07-31,INR,661000000000
RBI:CG_DEFM_RN(1.0),N_A,M,2012,2011,0,2011-06-30,INR,319270000000
RBI:CG_DEFM_RN(1.0),N_A,M,2012,2011,0,2011-05-31,INR,560650000000
RBI:CG_DEFM_RN(1.0),N_A,M,2012,2011,0,2011-04-30,INR,746610000000
RBI:CG_DEFM_RN(1.0),N_A,M,2011,2010,0,2011-03-31,INR,985040000000
RBI:CG_DEFM_RN(1.0),N_A,M,2011,2010,0,2011-02-28,INR,528660000000
RBI:CG_DEFM_RN(1.0),N_A,M,2011,2010,0,2011-01-31,INR,509730000000
RBI:CG_DEFM_RN(1.0),N_A,M,2011,2010,0,2010-12-31,INR,-152730000000
RBI:CG_DEFM_RN(1.0),N_A,M,2011,2010,0,2010-11-30,INR,241860000000
RBI:CG_DEFM_RN(1.0),N_A,M,2011,2010,0,2010-10-31,INR,290840000000
RBI:CG_DEFM_RN(1.0),N_A,M,2011,2010,0,2010-09-30,INR,-181730000000
RBI:CG_DEFM_RN(1.0),N_A,M,2011,2010,0,2010-08-31,INR,605100000000
RBI:CG_DEFM_RN(1.0),N_A,M,2011,2010,0,2010-07-31,INR,507190000000
RBI:CG_DEFM_RN(1.0),N_A,M,2011,2010,0,2010-06-30,INR,-607110000000
RBI:CG_DEFM_RN(1.0),N_A,M,2011,2010,0,2010-05-31,INR,469140000000
RBI:CG_DEFM_RN(1.0),N_A,M,2011,2010,0,2010-04-30,INR,539930000000
RBI:CG_DEFM_RN(1.0),N_A,M,2010,2009,0,2010-03-31,INR,375810000000
RBI:CG_DEFM_RN(1.0),N_A,M,2010,2009,0,2010-02-28,INR,313630000000
RBI:CG_DEFM_RN(1.0),N_A,M,2010,2009,0,2010-01-31,INR,395580000000
RBI:CG_DEFM_RN(1.0),N_A,M,2010,2009,0,2009-12-31,INR,37590000000
RBI:CG_DEFM_RN(1.0),N_A,M,2010,2009,0,2009-11-30,INR,611460000000
RBI:CG_DEFM_RN(1.0),N_A,M,2010,2009,0,2009-10-31,INR,473000000000
RBI:CG_DEFM_RN(1.0),N_A,M,2010,2009,0,2009-09-30,INR,154850000000
RBI:CG_DEFM_RN(1.0),N_A,M,2010,2009,0,2009-08-31,INR,237360000000
RBI:CG_DEFM_RN(1.0),N_A,M,2010,2009,0,2009-07-31,INR,342520000000
RBI:CG_DEFM_RN(1.0),N_A,M,2010,2009,0,2009-06-30,INR,335440000000
RBI:CG_DEFM_RN(1.0),N_A,M,2010,2009,0,2009-05-31,INR,366000000000
RBI:CG_DEFM_RN(1.0),N_A,M,2010,2009,0,2009-04-30,INR,541580000000
RBI:CG_DEFM_RN(1.0),N_A,M,2009,2008,0,2009-03-31,INR,298590000000
RBI:CG_DEFM_RN(1.0),N_A,M,2009,2008,0,2009-02-28,INR,443180000000
RBI:CG_DEFM_RN(1.0),N_A,M,2009,2008,0,2009-01-31,INR,445530000000
RBI:CG_DEFM_RN(1.0),N_A,M,2009,2008,0,2008-12-31,INR,417520000000
RBI:CG_DEFM_RN(1.0),N_A,M,2009,2008,0,2008-11-30,INR,594400000000
RBI:CG_DEFM_RN(1.0),N_A,M,2009,2008,0,2008-10-31,INR,144160000000
RBI:CG_DEFM_RN(1.0),N_A,M,2009,2008,0,2008-09-30,INR,-142360000000
RBI:CG_DEFM_RN(1.0),N_A,M,2009,2008,0,2008-08-31,INR,9100000000
RBI:CG_DEFM_RN(1.0),N_A,M,2009,2008,0,2008-07-31,INR,298540000000
RBI:CG_DEFM_RN(1.0),N_A,M,2009,2008,0,2008-06-30,INR,129250000000
RBI:CG_DEFM_RN(1.0),N_A,M,2009,2008,0,2008-05-31,INR,402620000000
RBI:CG_DEFM_RN(1.0),N_A,M,2009,2008,0,2008-04-30,INR,329390000000
RBI:CG_DEFM_RN(1.0),N_A,M,2008,2007,0,2008-03-31,INR,215100000000
