DATAFLOW,AUDST,FREQ,REPYEAREND,REPYEARSTART,TYP_LIAB_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:CGL_RN(1.0),N_A,AFY,2009,2008,TL14,0,2009-03-31,INR,1286820000000
RBI:CGL_RN(1.0),N_A,AFY,2009,2008,TL1101,0,2009-03-31,INR,13381940000000
RBI:CGL_RN(1.0),N_A,AFY,2009,2008,TL1104,0,2009-03-31,INR,5403310000000
RBI:CGL_RN(1.0),N_A,AFY,2009,2008,TL1,0,2009-03-31,INR,30361320000000
RBI:CGL_RN(1.0),N_A,AFY,2009,2008,TL1103,0,2009-03-31,INR,657210000000
RBI:CGL_RN(1.0),N_A,AFY,2009,2008,TL1102,0,2009-03-31,INR,755950000000
RBI:CGL_RN(1.0),N_A,AFY,2009,2008,TL13,0,2009-03-31,INR,3340910000000
RBI:CGL_RN(1.0),N_A,AFY,2008,2007,TL13,0,2008-03-31,INR,2450810000000
RBI:CGL_RN(1.0),N_A,AFY,2008,2007,TL1101,0,2008-03-31,INR,11045640000000
RBI:CGL_RN(1.0),N_A,AFY,2008,2007,TL11,0,2008-03-31,INR,17996510000000
RBI:CGL_RN(1.0),N_A,AFY,2008,2007,TL2,0,2008-03-31,INR,2100860000000
RBI:CGL_RN(1.0),N_A,AFY,2008,2007,TL1,0,2008-03-31,INR,27253940000000
RBI:CGL_RN(1.0),N_A,AFY,2008,2007,TTL_LIABLITIES,0,2008-03-31,INR,29354800000000
RBI:CGL_RN(1.0),N_A,AFY,2008,2007,TL14,0,2008-03-31,INR,1270430000000
RBI:CGL_RN(1.0),N_A,AFY,2008,2007,TL1102,0,2008-03-31,INR,303710000000
RBI:CGL_RN(1.0),N_A,AFY,2008,2007,TL1104,0,2008-03-31,INR,6233350000000
RBI:CGL_RN(1.0),N_A,AFY,2008,2007,TL12,0,2008-03-31,INR,5536200000000
RBI:CGL_RN(1.0),N_A,AFY,2008,2007,TL1103,0,2008-03-31,INR,413810000000
RBI:CGL_RN(1.0),N_A,AFY,2007,2006,TL1102,0,2007-03-31,INR,308020000000
RBI:CGL_RN(1.0),N_A,AFY,2007,2006,TL14,0,2007-03-31,INR,1312950000000
RBI:CGL_RN(1.0),N_A,AFY,2007,2006,TL11,0,2007-03-31,INR,15449750000000
RBI:CGL_RN(1.0),N_A,AFY,2007,2006,TL1103,0,2007-03-31,INR,426250000000
RBI:CGL_RN(1.0),N_A,AFY,2007,2006,TL1,0,2007-03-31,INR,24358800000000
