DATAFLOW,AUDST,FREQ,REPYEAREND,REPYEARSTART,SECTOR_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:PSPOUTLY_RN(1.0),N_A,AFY,1999,1998,SEC8,0,1999-03-31,INR,54120000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,1999,1998,SEC6,0,1999-03-31,INR,203470000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,1999,1998,SEC3,0,1999-03-31,INR,108140000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,1999,1998,TTL,0,1999-03-31,INR,1515800000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,1999,1998,SEC5,0,1999-03-31,INR,79790000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,1999,1998,SEC2,0,1999-03-31,INR,121690000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,1999,1998,SEC4,0,1999-03-31,INR,355720000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,1999,1998,SEC7,0,1999-03-31,INR,96840000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,1998,1997,SEC8,0,1998-03-31,INR,26420000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,1998,1997,SEC4,0,1998-03-31,INR,317930000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,1998,1997,SEC1,0,1998-03-31,INR,59290000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,1998,1997,SEC5,0,1998-03-31,INR,103060000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,1998,1997,SEC7,0,1998-03-31,INR,76570000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,1998,1997,SEC9,0,1998-03-31,INR,324760000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,1998,1997,SEC6,0,1998-03-31,INR,181010000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,1998,1997,SEC2,0,1998-03-31,INR,109480000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,1998,1997,TTL,0,1998-03-31,INR,1297570000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,1998,1997,SEC3,0,1998-03-31,INR,99050000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,1997,1996,SEC2,0,1997-03-31,INR,100120000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,1997,1996,SEC4,0,1997-03-31,INR,273300000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,1997,1996,SEC7,0,1997-03-31,INR,65360000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,1997,1996,TTL,0,1997-03-31,INR,1189760000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,1997,1996,SEC8,0,1997-03-31,INR,20680000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,1997,1996,SEC6,0,1997-03-31,INR,166700000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,1997,1996,SEC9,0,1997-03-31,INR,303350000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,1997,1996,SEC5,0,1997-03-31,INR,120670000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,1997,1996,SEC3,0,1997-03-31,INR,79740000000
