DATAFLOW,AUDST,FREQ,REPYEAREND,REPYEARSTART,TYP_CGRECPT_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:CG_RECPT_RN(1.0),N_A,AFY,2016,2015,CGR1201,0,2016-03-31,INR,253780000000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2016,2015,CGR11011,0,2016-03-31,INR,1727480000000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2016,2015,CGR12,0,2016-03-31,INR,2512600000000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2016,2015,CGR11012,0,2016-03-31,INR,2759170000000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2016,2015,CGR23,0,2016-03-31,INR,118583300000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2016,2015,CGR22,0,2016-03-31,INR,524649600000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2016,2015,CGR1101,0,2016-03-31,INR,4492960000000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2016,2015,CGR11022,0,2016-03-31,INR,1288290000000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2016,2015,CGR11021,0,2016-03-31,INR,2204730000000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2015,2014,CGR1,0,2015-03-31,INR,11013810000000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2015,2014,CGR12,0,2015-03-31,INR,1977660000000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2015,2014,CGR1101,0,2015-03-31,INR,5005305600000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2015,2014,CGR11012,0,2015-03-31,INR,3114527199999.9995
RBI:CG_RECPT_RN(1.0),N_A,AFY,2015,2014,CGR2,0,2015-03-31,INR,4844480800000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2015,2014,OTH,0,2015-03-31,INR,1213810600000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2015,2014,CGR11011,0,2015-03-31,INR,1883359400000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2015,2014,CGR27,0,2015-03-31,INR,129330300000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2015,2014,CGR1201,0,2015-03-31,INR,237340000000
