DATAFLOW,AUDST,FREQ,MKT_TRANSC_RN,REPYEAREND,REPYEARSTART,TRANC_TYP_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:SEC_MKT_RN(1.0),N_A,M,CEN_GOV_SEC,2024,2023,N_A,0,2023-07-31,INR,35088958150000
RBI:SEC_MKT_RN(1.0),N_A,M,TR_91DAY,2024,2023,N_A,0,2023-07-31,INR,811538200000
RBI:SEC_MKT_RN(1.0),N_A,M,TR_BILLS,2024,2023,N_A,0,2023-07-31,INR,2880919590000
RBI:SEC_MKT_RN(1.0),N_A,M,TR_182DAY,2024,2023,N_A,0,2023-07-31,INR,1299827850000
RBI:SEC_MKT_RN(1.0),N_A,M,TR_364DAY,2024,2023,N_A,0,2023-06-30,INR,2078509670000
RBI:SEC_MKT_RN(1.0),N_A,M,ST_GOV_SEC,2024,2023,N_A,0,2023-06-30,INR,7863956119999.999
RBI:SEC_MKT_RN(1.0),N_A,M,TR_91DAY,2024,2023,N_A,0,2023-06-30,INR,1139906010000.0002
RBI:SEC_MKT_RN(1.0),N_A,M,CEN_GOV_SEC,2024,2023,N_A,0,2023-06-30,INR,36804324840000
RBI:SEC_MKT_RN(1.0),N_A,M,TR_BILLS,2024,2023,N_A,0,2023-06-30,INR,4848584490000
RBI:SEC_MKT_RN(1.0),N_A,M,TR_182DAY,2024,2023,N_A,0,2023-06-30,INR,1630168810000
RBI:SEC_MKT_RN(1.0),N_A,M,ST_GOV_SEC,2024,2023,N_A,0,2023-05-31,INR,7821991870000
RBI:SEC_MKT_RN(1.0),N_A,M,TR_364DAY,2024,2023,N_A,0,2023-05-31,INR,2067439410000
RBI:SEC_MKT_RN(1.0),N_A,M,TR_182DAY,2024,2023,N_A,0,2023-05-31,INR,1416838580000
RBI:SEC_MKT_RN(1.0),N_A,M,CEN_GOV_SEC,2024,2023,N_A,0,2023-05-31,INR,39415001180000
RBI:SEC_MKT_RN(1.0),N_A,M,TR_BILLS,2024,2023,N_A,0,2023-05-31,INR,4714910200000
RBI:SEC_MKT_RN(1.0),N_A,M,TR_91DAY,2024,2023,N_A,0,2023-05-31,INR,1230632210000
RBI:SEC_MKT_RN(1.0),N_A,M,TR_91DAY,2024,2023,N_A,0,2023-04-30,INR,521897720000
RBI:SEC_MKT_RN(1.0),N_A,M,CEN_GOV_SEC,2024,2023,N_A,0,2023-04-30,INR,32732530170000
RBI:SEC_MKT_RN(1.0),N_A,M,TR_364DAY,2024,2023,N_A,0,2023-04-30,INR,2898543450000
RBI:SEC_MKT_RN(1.0),N_A,M,ST_GOV_SEC,2024,2023,N_A,0,2023-04-30,INR,6222796300000
RBI:SEC_MKT_RN(1.0),N_A,M,TR_182DAY,2024,2023,N_A,0,2023-04-30,INR,2513559000000
RBI:SEC_MKT_RN(1.0),N_A,M,TR_BILLS,2024,2023,N_A,0,2023-04-30,INR,5934000170000
RBI:SEC_MKT_RN(1.0),N_A,M,TR_91DAY,2023,2022,N_A,0,2023-03-31,INR,1012878180000.0001
RBI:SEC_MKT_RN(1.0),N_A,M,TR_364DAY,2023,2022,N_A,0,2023-03-31,INR,2693751370000
RBI:SEC_MKT_RN(1.0),N_A,M,TR_182DAY,2023,2022,N_A,0,2023-03-31,INR,4239726280000
RBI:SEC_MKT_RN(1.0),N_A,M,TR_BILLS,2023,2022,N_A,0,2023-03-31,INR,7946355830000
RBI:SEC_MKT_RN(1.0),N_A,M,CEN_GOV_SEC,2023,2022,N_A,0,2023-03-31,INR,28233271860000
RBI:SEC_MKT_RN(1.0),N_A,M,ST_GOV_SEC,2023,2022,N_A,0,2023-03-31,INR,6737223600000.001
RBI:SEC_MKT_RN(1.0),N_A,M,ST_GOV_SEC,2023,2022,N_A,0,2023-02-28,INR,5686110110000
RBI:SEC_MKT_RN(1.0),N_A,M,TR_BILLS,2023,2022,N_A,0,2023-02-28,INR,5823047500000
RBI:SEC_MKT_RN(1.0),N_A,M,CEN_GOV_SEC,2023,2022,N_A,0,2023-02-28,INR,29775255010000
RBI:SEC_MKT_RN(1.0),N_A,M,TR_182DAY,2023,2022,N_A,0,2023-02-28,INR,2493215920000
RBI:SEC_MKT_RN(1.0),N_A,M,TR_364DAY,2023,2022,N_A,0,2023-02-28,INR,1912004040000.0002
RBI:SEC_MKT_RN(1.0),N_A,M,TR_91DAY,2023,2022,N_A,0,2023-02-28,INR,1417827540000
RBI:SEC_MKT_RN(1.0),N_A,M,TR_364DAY,2023,2022,N_A,0,2023-01-31,INR,2371229300000
RBI:SEC_MKT_RN(1.0),N_A,M,CEN_GOV_SEC,2023,2022,N_A,0,2023-01-31,INR,25030057140000
RBI:SEC_MKT_RN(1.0),N_A,M,TR_91DAY,2023,2022,N_A,0,2023-01-31,INR,1153462560000
RBI:SEC_MKT_RN(1.0),N_A,M,ST_GOV_SEC,2023,2022,N_A,0,2023-01-31,INR,5761281670000
RBI:SEC_MKT_RN(1.0),N_A,M,TR_BILLS,2023,2022,N_A,0,2023-01-31,INR,5053216270000
RBI:SEC_MKT_RN(1.0),N_A,M,TR_182DAY,2023,2022,N_A,0,2023-01-31,INR,1528524410000
RBI:SEC_MKT_RN(1.0),N_A,M,ST_GOV_SEC,2023,2022,N_A,0,2022-12-31,INR,5254672120000
RBI:SEC_MKT_RN(1.0),N_A,M,TR_364DAY,2023,2022,N_A,0,2022-12-31,INR,2644234560000
RBI:SEC_MKT_RN(1.0),N_A,M,TR_182DAY,2023,2022,N_A,0,2022-12-31,INR,1041546720000
RBI:SEC_MKT_RN(1.0),N_A,M,TR_BILLS,2023,2022,N_A,0,2022-12-31,INR,5138828190000
RBI:SEC_MKT_RN(1.0),N_A,M,CEN_GOV_SEC,2023,2022,N_A,0,2022-12-31,INR,27543706810000
RBI:SEC_MKT_RN(1.0),N_A,M,TR_91DAY,2023,2022,N_A,0,2022-12-31,INR,1453046910000
RBI:SEC_MKT_RN(1.0),N_A,M,TR_91DAY,2023,2022,N_A,0,2022-11-30,INR,1654400020000
RBI:SEC_MKT_RN(1.0),N_A,M,TR_364DAY,2023,2022,N_A,0,2022-11-30,INR,2023045140000
RBI:SEC_MKT_RN(1.0),N_A,M,ST_GOV_SEC,2023,2022,N_A,0,2022-11-30,INR,5022531500000
RBI:SEC_MKT_RN(1.0),N_A,M,CEN_GOV_SEC,2023,2022,N_A,0,2022-11-30,INR,27810358390000
RBI:SEC_MKT_RN(1.0),N_A,M,TR_BILLS,2023,2022,N_A,0,2022-11-30,INR,4980779510000
RBI:SEC_MKT_RN(1.0),N_A,M,TR_182DAY,2023,2022,N_A,0,2022-11-30,INR,1303334350000
RBI:SEC_MKT_RN(1.0),N_A,M,TR_91DAY,2023,2022,N_A,0,2022-10-31,INR,678209500000
RBI:SEC_MKT_RN(1.0),N_A,M,TR_182DAY,2023,2022,N_A,0,2022-10-31,INR,1447688980000
RBI:SEC_MKT_RN(1.0),N_A,M,TR_BILLS,2023,2022,N_A,0,2022-10-31,INR,4182870320000
RBI:SEC_MKT_RN(1.0),N_A,M,CEN_GOV_SEC,2023,2022,N_A,0,2022-10-31,INR,24821844850000
RBI:SEC_MKT_RN(1.0),N_A,M,TR_364DAY,2023,2022,N_A,0,2022-10-31,INR,2056971839999.9998
RBI:SEC_MKT_RN(1.0),N_A,M,ST_GOV_SEC,2023,2022,N_A,0,2022-10-31,INR,4294588809999.9995
RBI:SEC_MKT_RN(1.0),N_A,M,TR_364DAY,2023,2022,N_A,0,2022-09-30,INR,2734472840000
RBI:SEC_MKT_RN(1.0),N_A,M,CEN_GOV_SEC,2023,2022,N_A,0,2022-09-30,INR,30166148200000
RBI:SEC_MKT_RN(1.0),N_A,M,TR_182DAY,2023,2022,N_A,0,2022-09-30,INR,1736082670000
RBI:SEC_MKT_RN(1.0),N_A,M,TR_91DAY,2023,2022,N_A,0,2022-09-30,INR,492765190000.00006
RBI:SEC_MKT_RN(1.0),N_A,M,ST_GOV_SEC,2023,2022,N_A,0,2022-09-30,INR,5185909970000
RBI:SEC_MKT_RN(1.0),N_A,M,TR_BILLS,2023,2022,N_A,0,2022-09-30,INR,4963320700000
RBI:SEC_MKT_RN(1.0),N_A,M,TR_364DAY,2023,2022,N_A,0,2022-08-31,INR,2610317050000
RBI:SEC_MKT_RN(1.0),N_A,M,ST_GOV_SEC,2023,2022,N_A,0,2022-08-31,INR,5184491000000
RBI:SEC_MKT_RN(1.0),N_A,M,TR_182DAY,2023,2022,N_A,0,2022-08-31,INR,1358574140000
RBI:SEC_MKT_RN(1.0),N_A,M,TR_91DAY,2023,2022,N_A,0,2022-08-31,INR,759668890000
RBI:SEC_MKT_RN(1.0),N_A,M,TR_BILLS,2023,2022,N_A,0,2022-08-31,INR,4728560080000
RBI:SEC_MKT_RN(1.0),N_A,M,CEN_GOV_SEC,2023,2022,N_A,0,2022-08-31,INR,25447551710000
RBI:SEC_MKT_RN(1.0),N_A,M,TR_BILLS,2023,2022,N_A,0,2022-07-31,INR,6423458310000
