DATAFLOW,AUDST,COMP_COUNT,FREQ,REF_TIME_RN,REPYEAREND,REPYEARSTART,SALE_SZ_CLS_RN,TYP_FIN_RT_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:FIN_RATIOS_PUB_SAL_RN(1.0),N_A,344,AFY,CURR_YR,2012,2011,FIV_HUN_TO_1000_CR,PPAR_GP_TNA,0,2012-03-31,PT,7.0
RBI:FIN_RATIOS_PUB_SAL_RN(1.0),N_A,344,AFY,CURR_YR,2012,2011,FIV_HUN_TO_1000_CR,PPAR_OD_TO_OPC,0,2012-03-31,PT,21.1
RBI:FIN_RATIOS_PUB_SAL_RN(1.0),N_A,344,AFY,CURR_YR,2012,2011,FIV_HUN_TO_1000_CR,PPAR_PAT_TNW,0,2012-03-31,PT,7.2
RBI:FIN_RATIOS_PUB_SAL_RN(1.0),N_A,344,AFY,CURR_YR,2012,2011,FIV_HUN_TO_1000_CR,PPAR_PR_PAT,0,2012-03-31,PT,76.3
RBI:FIN_RATIOS_PUB_SAL_RN(1.0),N_A,344,AFY,CURR_YR,2012,2011,FIV_HUN_TO_1000_CR,PPAR_TP_PBT,0,2012-03-31,PT,26.3
RBI:FIN_RATIOS_PUB_SAL_RN(1.0),N_A,344,AFY,CURR_YR,2012,2011,FIV_HUN_TO_1000_CR,SUFR_ESF_TSF,0,2012-03-31,PT,64.8
RBI:FIN_RATIOS_PUB_SAL_RN(1.0),N_A,344,AFY,CURR_YR,2012,2011,FIV_HUN_TO_1000_CR,SUFR_GCF_TUF,0,2012-03-31,PT,57.1
RBI:FIN_RATIOS_PUB_SAL_RN(1.0),N_A,344,AFY,CURR_YR,2012,2011,FIV_HUN_TO_1000_CR,SUFR_GFAF_TUF,0,2012-03-31,PT,43.4
RBI:FIN_RATIOS_PUB_SAL_RN(1.0),N_A,344,AFY,CURR_YR,2012,2011,FIV_HUN_TO_1000_CR,SUFR_GS_GCF,0,2012-03-31,PT,64.1
RBI:FIN_RATIOS_PUB_SAL_RN(1.0),N_A,344,AFY,CURR_YR,2012,2011,FIV_HUN_TO_1000_CR,SUFR_IBB_TES,0,2012-03-31,PT,22.7
RBI:FIN_RATIOS_PUB_SAL_RN(1.0),N_A,871,AFY,CURR_YR,2012,2011,HUN_TO_500_CR,AUTR_EXP_SAL,0,2012-03-31,PT,14.5
RBI:FIN_RATIOS_PUB_SAL_RN(1.0),N_A,871,AFY,CURR_YR,2012,2011,HUN_TO_500_CR,AUTR_GVA_GFA,0,2012-03-31,PT,30.1
RBI:FIN_RATIOS_PUB_SAL_RN(1.0),N_A,871,AFY,CURR_YR,2012,2011,HUN_TO_500_CR,AUTR_INV_SAL,0,2012-03-31,PT,21.5
