DATAFLOW,AUDST,FREQ,REPYEAREND,REPYEARSTART,SOR_RBI_SUR_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI13,0,2024-09-30,INR,105888600000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI1102,0,2024-09-30,INR,264041800000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI1301,0,2024-09-30,INR,85472600000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI11015,0,2024-09-30,INR,4192754000000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI11,0,2024-09-30,INR,9211123900000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI31,0,2024-09-30,INR,5316332000000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI121,0,2024-09-30,INR,-346180000000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI1302,0,2024-09-30,INR,0.0
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI1,0,2024-09-30,INR,8970832500000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI11012,0,2024-09-30,INR,0.0
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI11011,0,2024-09-30,INR,0.0
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI11014,0,2024-09-30,INR,3750400000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI11012,0,2024-08-31,INR,0.0
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI1301,0,2024-08-31,INR,85413600000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI32,0,2024-08-31,INR,50517678800000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI11011,0,2024-08-31,INR,0.0
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI110131,0,2024-08-31,INR,13162594100000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI11015,0,2024-08-31,INR,3178677700000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI5,0,2024-08-31,INR,293163241000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI11,0,2024-08-31,INR,10255448000000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI13,0,2024-08-31,INR,103069599999.999
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI31,0,2024-08-31,INR,5118179500000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI2,0,2024-08-31,INR,343060110600
