DATAFLOW,AUDST,FREQ,REPYEAREND,REPYEARSTART,SOUR_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR8,0,2025-05-16,INR,23001520240000.004
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR6,0,2025-05-16,INR,57015831770000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR4,0,2025-05-16,INR,-2668250000000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR7,0,2025-05-16,INR,369221938200
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR5,0,2025-05-16,INR,190793700000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR5,0,2025-05-09,INR,193288100000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR8,0,2025-05-09,INR,23249693910000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR6,0,2025-05-09,INR,57333106130000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR4,0,2025-05-09,INR,-1880070000000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR7,0,2025-05-09,INR,369221938200
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR1,0,2025-05-09,INR,16570684900000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR8,0,2025-05-02,INR,22572117890000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR4,0,2025-05-02,INR,-1765750000000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR5,0,2025-05-02,INR,207617600000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR6,0,2025-05-02,INR,56352948790000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR1,0,2025-05-02,INR,16526023000000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR7,0,2025-05-02,INR,369221938200
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR6,0,2025-04-25,INR,57141709270000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR4,0,2025-04-25,INR,-1219170000000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR7,0,2025-04-25,INR,369221938200
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR1,0,2025-04-25,INR,15817414600000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR8,0,2025-04-25,INR,23229650870000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR5,0,2025-04-25,INR,219818200000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR8,0,2025-04-18,INR,23081579500000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR1,0,2025-04-18,INR,16265091299999.998
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR7,0,2025-04-18,INR,366317123100
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR6,0,2025-04-18,INR,56925365100000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR4,0,2025-04-18,INR,-2056930000000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR5,0,2025-04-18,INR,192795400000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR6,0,2025-04-11,INR,56692214810000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR7,0,2025-04-11,INR,366317123100
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR8,0,2025-04-11,INR,22785595510000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR5,0,2025-04-11,INR,184113000000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR1,0,2025-04-11,INR,16149848500000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR4,0,2025-04-11,INR,-1856510000000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR4,0,2025-04-04,INR,-1989580000000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR7,0,2025-04-04,INR,366317123100
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR5,0,2025-04-04,INR,215375900000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR6,0,2025-04-04,INR,56021944430000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR1,0,2025-04-04,INR,15773902500000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR8,0,2025-04-04,INR,22054042730000
RBI:RMS_W_RN(1.0),N_A,W,2025,2024,SOR5,0,2025-03-31,INR,382456900000
RBI:RMS_W_RN(1.0),N_A,W,2025,2024,SOR1,0,2025-03-31,INR,15081054200000
RBI:RMS_W_RN(1.0),N_A,W,2025,2024,SOR7,0,2025-03-31,INR,366317123100
RBI:RMS_W_RN(1.0),N_A,W,2025,2024,SOR4,0,2025-03-31,INR,-1572610000000
RBI:RMS_W_RN(1.0),N_A,W,2025,2024,SOR8,0,2025-03-31,INR,21474265970000
