DATAFLOW,AUDST,COM_MS_RN,FREQ,MEASURE_RN,REPYEAREND,REPYEARSTART,SOUR_MS_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:AMAGG_RN(1.0),N_A,N_A,AFY,ANNUAL_AVE,1998,1997,SMS4,0,1998-03-31,INR,31463333000
RBI:AMAGG_RN(1.0),N_A,N_A,AFY,ANNUAL_AVE,1998,1997,SMS5,0,1998-03-31,INR,727397500000
RBI:AMAGG_RN(1.0),N_A,CMS1,AFY,ANNUAL_AVE,1999,1998,N_A,0,1999-03-31,INR,9012940625000
RBI:AMAGG_RN(1.0),N_A,CMS11,AFY,ANNUAL_AVE,1999,1998,N_A,0,1999-03-31,INR,2796382983000
RBI:AMAGG_RN(1.0),N_A,CMS1101,AFY,ANNUAL_AVE,1999,1998,N_A,0,1999-03-31,INR,2346245000000
RBI:AMAGG_RN(1.0),N_A,CMS1101101,AFY,ANNUAL_AVE,1999,1998,N_A,0,1999-03-31,INR,1588540833000
RBI:AMAGG_RN(1.0),N_A,CMS11012,AFY,ANNUAL_AVE,1999,1998,N_A,0,1999-03-31,INR,35943333000
RBI:AMAGG_RN(1.0),N_A,CMS1102,AFY,ANNUAL_AVE,1999,1998,N_A,0,1999-03-31,INR,1171898333000
RBI:AMAGG_RN(1.0),N_A,CMS12,AFY,ANNUAL_AVE,1999,1998,N_A,0,1999-03-31,INR,6216556667000
RBI:AMAGG_RN(1.0),N_A,N_A,AFY,ANNUAL_AVE,1999,1998,SMS1,0,1999-03-31,INR,3695357500000
RBI:AMAGG_RN(1.0),N_A,N_A,AFY,ANNUAL_AVE,1999,1998,SMS2,0,1999-03-31,INR,4496403333000
RBI:AMAGG_RN(1.0),N_A,N_A,AFY,ANNUAL_AVE,1999,1998,SMS3,0,1999-03-31,INR,1542669167000
RBI:AMAGG_RN(1.0),N_A,N_A,AFY,ANNUAL_AVE,1999,1998,SMS4,0,1999-03-31,INR,36163333000
RBI:AMAGG_RN(1.0),N_A,N_A,AFY,ANNUAL_AVE,1999,1998,SMS5,0,1999-03-31,INR,757654167000
RBI:AMAGG_RN(1.0),N_A,CMS1,AFY,ANNUAL_AVE,2000,1999,N_A,0,2000-03-31,INR,10560250000000
RBI:AMAGG_RN(1.0),N_A,CMS11,AFY,ANNUAL_AVE,2000,1999,N_A,0,2000-03-31,INR,3206297500000
RBI:AMAGG_RN(1.0),N_A,CMS1101,AFY,ANNUAL_AVE,2000,1999,N_A,0,2000-03-31,INR,2623067667000
RBI:AMAGG_RN(1.0),N_A,CMS1101101,AFY,ANNUAL_AVE,2000,1999,N_A,0,2000-03-31,INR,1847015000000
RBI:AMAGG_RN(1.0),N_A,CMS11012,AFY,ANNUAL_AVE,2000,1999,N_A,0,2000-03-31,INR,35803333000
RBI:AMAGG_RN(1.0),N_A,CMS1102,AFY,ANNUAL_AVE,2000,1999,N_A,0,2000-03-31,INR,1323478333000
RBI:AMAGG_RN(1.0),N_A,CMS12,AFY,ANNUAL_AVE,2000,1999,N_A,0,2000-03-31,INR,7353955000000
RBI:AMAGG_RN(1.0),N_A,N_A,AFY,ANNUAL_AVE,2000,1999,SMS1,0,2000-03-31,INR,4249900832999.9995
RBI:AMAGG_RN(1.0),N_A,N_A,AFY,ANNUAL_AVE,2000,1999,SMS2,0,2000-03-31,INR,5241360833000
RBI:AMAGG_RN(1.0),N_A,N_A,AFY,ANNUAL_AVE,2000,1999,SMS3,0,2000-03-31,INR,1858338333000
RBI:AMAGG_RN(1.0),N_A,N_A,AFY,ANNUAL_AVE,2000,1999,SMS4,0,2000-03-31,INR,42440000000
RBI:AMAGG_RN(1.0),N_A,N_A,AFY,ANNUAL_AVE,2000,1999,SMS5,0,2000-03-31,INR,831788333000
RBI:AMAGG_RN(1.0),N_A,CMS1,AFY,ANNUAL_AVE,2001,2000,N_A,0,2001-03-31,INR,12240874700000
RBI:AMAGG_RN(1.0),N_A,CMS11,AFY,ANNUAL_AVE,2001,2000,N_A,0,2001-03-31,INR,3565880308000
RBI:AMAGG_RN(1.0),N_A,CMS1101,AFY,ANNUAL_AVE,2001,2000,N_A,0,2001-03-31,INR,2826784707000
RBI:AMAGG_RN(1.0),N_A,CMS1101101,AFY,ANNUAL_AVE,2001,2000,N_A,0,2001-03-31,INR,2015805542000
RBI:AMAGG_RN(1.0),N_A,CMS11012,AFY,ANNUAL_AVE,2001,2000,N_A,0,2001-03-31,INR,31815807000
RBI:AMAGG_RN(1.0),N_A,CMS1102,AFY,ANNUAL_AVE,2001,2000,N_A,0,2001-03-31,INR,1518258958000
RBI:AMAGG_RN(1.0),N_A,CMS12,AFY,ANNUAL_AVE,2001,2000,N_A,0,2001-03-31,INR,8674993558000
RBI:AMAGG_RN(1.0),N_A,N_A,AFY,ANNUAL_AVE,2001,2000,SMS1,0,2001-03-31,INR,4837606333000
RBI:AMAGG_RN(1.0),N_A,N_A,AFY,ANNUAL_AVE,2001,2000,SMS2,0,2001-03-31,INR,6318751333000
