DATAFLOW,AUDST,COM_RBI_SUR_RN,FREQ,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS1201,M,2024,2023,0,2023-04-30,INR,8382123500000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS12,M,2024,2023,0,2023-04-30,INR,8975802200000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS11,M,2024,2023,0,2023-04-30,INR,34554032970000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS1,M,2024,2023,0,2023-04-30,INR,44212920978000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS1201,M,2023,2022,0,2023-03-31,INR,8689396700000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS12,M,2023,2022,0,2023-03-31,INR,9304769700000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS11,M,2023,2022,0,2023-03-31,INR,33785207170000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS1,M,2023,2022,0,2023-03-31,INR,43867588578000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS13,M,2023,2022,0,2023-03-31,INR,777611708000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS13,M,2023,2022,0,2023-02-28,INR,641289508000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS11,M,2023,2022,0,2023-02-28,INR,33316120610000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS12,M,2023,2022,0,2023-02-28,INR,8548164400000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS1,M,2023,2022,0,2023-02-28,INR,42505574518000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS1201,M,2023,2022,0,2023-02-28,INR,7979857800000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS1,M,2023,2022,0,2023-01-31,INR,42265588157000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS1201,M,2023,2022,0,2023-01-31,INR,8135728200000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS12,M,2023,2022,0,2023-01-31,INR,8709555700000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS11,M,2023,2022,0,2023-01-31,INR,32917822920000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS13,M,2023,2022,0,2023-01-31,INR,638209537000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS1201,M,2023,2022,0,2022-12-31,INR,8416119600000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS1,M,2023,2022,0,2022-12-31,INR,41953612797000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS13,M,2023,2022,0,2022-12-31,INR,629322437000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS11,M,2023,2022,0,2022-12-31,INR,32326519360000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS12,M,2023,2022,0,2022-12-31,INR,8997771000000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS11,M,2023,2022,0,2022-11-30,INR,32184253990000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS13,M,2023,2022,0,2022-11-30,INR,707094409200
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS12,M,2023,2022,0,2022-11-30,INR,8699306500000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS1,M,2023,2022,0,2022-11-30,INR,41590654899200
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS1201,M,2023,2022,0,2022-11-30,INR,8145703600000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS13,M,2023,2022,0,2022-10-31,INR,700009601000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS11,M,2023,2022,0,2022-10-31,INR,32183147880000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS1201,M,2023,2022,0,2022-10-31,INR,7934254300000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS12,M,2023,2022,0,2022-10-31,INR,8504487700000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS1,M,2023,2022,0,2022-10-31,INR,41387645181000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS11,M,2023,2022,0,2022-09-30,INR,31670734960000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS13,M,2023,2022,0,2022-09-30,INR,625441500900
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS1,M,2023,2022,0,2022-09-30,INR,40521679160900
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS1201,M,2023,2022,0,2022-09-30,INR,7671707400000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS12,M,2023,2022,0,2022-09-30,INR,8225502700000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS11,M,2023,2022,0,2022-08-31,INR,31832187860000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS1201,M,2023,2022,0,2022-08-31,INR,7641136200000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS1,M,2023,2022,0,2022-08-31,INR,40595811860900
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS12,M,2023,2022,0,2022-08-31,INR,8191733400000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS13,M,2023,2022,0,2022-08-31,INR,571890600900
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS1,M,2023,2022,0,2022-07-31,INR,41340031891000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS12,M,2023,2022,0,2022-07-31,INR,8920446600000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS1201,M,2023,2022,0,2022-07-31,INR,8344565200000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS13,M,2023,2022,0,2022-07-31,INR,572437201000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS11,M,2023,2022,0,2022-07-31,INR,31847148090000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS11,M,2023,2022,0,2022-06-30,INR,32267877620000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS1201,M,2023,2022,0,2022-06-30,INR,8001415100000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS1,M,2023,2022,0,2022-06-30,INR,41372256258300
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS13,M,2023,2022,0,2022-06-30,INR,543549038300
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS12,M,2023,2022,0,2022-06-30,INR,8560829600000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS12,M,2023,2022,0,2022-05-31,INR,8635000500000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS1201,M,2023,2022,0,2022-05-31,INR,8102947100000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS11,M,2023,2022,0,2022-05-31,INR,32259996430000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS13,M,2023,2022,0,2022-05-31,INR,538279238300
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS1,M,2023,2022,0,2022-05-31,INR,41433276168300
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS1201,M,2023,2022,0,2022-04-30,INR,6849485699999.99
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS1,M,2023,2022,0,2022-04-30,INR,40023114730500
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS11,M,2023,2022,0,2022-04-30,INR,32093943980000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS12,M,2023,2022,0,2022-04-30,INR,7353489700000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS13,M,2023,2022,0,2022-04-30,INR,575681050500
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS12,M,2022,2021,0,2022-03-31,INR,8767261600000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS13,M,2022,2021,0,2022-03-31,INR,584441051000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS11,M,2022,2021,0,2022-03-31,INR,31337164680000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS1201,M,2022,2021,0,2022-03-31,INR,8236323300000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS1,M,2022,2021,0,2022-03-31,INR,40688867331000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS1201,M,2022,2021,0,2022-02-28,INR,6644730900000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS13,M,2022,2021,0,2022-02-28,INR,547524151000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS11,M,2022,2021,0,2022-02-28,INR,30805016131000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS1,M,2022,2021,0,2022-02-28,INR,38474905582000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS12,M,2022,2021,0,2022-02-28,INR,7122365300000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS1201,M,2022,2021,0,2022-01-31,INR,6813364399999.999
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS11,M,2022,2021,0,2022-01-31,INR,30323676978000.004
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS12,M,2022,2021,0,2022-01-31,INR,7293427000000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS13,M,2022,2021,0,2022-01-31,INR,526377851000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS1,M,2022,2021,0,2022-01-31,INR,38143481829000.01
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS12,M,2022,2021,0,2021-12-31,INR,7648284600000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS11,M,2022,2021,0,2021-12-31,INR,29869012720000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS13,M,2022,2021,0,2021-12-31,INR,510454050500
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS1,M,2022,2021,0,2021-12-31,INR,38027751370500
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS1201,M,2022,2021,0,2021-12-31,INR,7164322700000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS11,M,2022,2021,0,2021-11-30,INR,29884712832000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS12,M,2022,2021,0,2021-11-30,INR,7315618000000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS13,M,2022,2021,0,2021-11-30,INR,478613004600
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS1201,M,2022,2021,0,2021-11-30,INR,6836038000000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS1,M,2022,2021,0,2021-11-30,INR,37678943836600
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS12,M,2022,2021,0,2021-10-31,INR,6855743900000
