DATAFLOW,AMOUNT_TYP_RN,AUDST,FREQ,LIMIT_RN,REPYEAREND,REPYEARSTART,ST_FACI_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2024,2023,TSF1,0,2023-10-20,INR,1241910000000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2024,2023,TTL_OUTSTANDING,0,2023-10-20,INR,1273722300000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2024,2023,TSF4,0,2023-10-20,INR,0.0
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2024,2023,TSF2,0,2023-10-20,INR,0.0
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2024,2023,TSF3,0,2023-10-20,INR,31812300000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2024,2023,TTL_OUTSTANDING,0,2023-09-22,INR,1714019400000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2024,2023,TSF1,0,2023-09-22,INR,1683480000000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2024,2023,TSF2,0,2023-09-22,INR,0.0
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2024,2023,TSF3,0,2023-09-22,INR,30539400000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2024,2023,TSF4,0,2023-09-22,INR,0.0
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2024,2023,TSF1,0,2023-08-25,INR,736580000000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2024,2023,TSF4,0,2023-08-25,INR,0.0
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2024,2023,TTL_OUTSTANDING,0,2023-08-25,INR,767804300000
