DATAFLOW,AUDST,FREQ,RATIOS_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO6,2001,2000,0,2001-03-31,RO,4.33
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO7,2001,2000,0,2001-03-31,RO,1.63
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO8,2001,2000,0,2001-03-31,RO,5.59
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO9,2001,2000,0,2001-03-31,RO,9.88
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO1,2002,2001,0,2002-03-31,RO,1.36
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO2,2002,2001,0,2002-03-31,RO,0.5
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO3,2002,2001,0,2002-03-31,RO,0.19
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO4,2002,2001,0,2002-03-31,RO,0.07
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO5,2002,2001,0,2002-03-31,RO,1.27
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO6,2002,2001,0,2002-03-31,RO,4.52
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO7,2002,2001,0,2002-03-31,RO,1.66
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO8,2002,2001,0,2002-03-31,RO,5.92
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO9,2002,2001,0,2002-03-31,RO,10.37
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO1,2003,2002,0,2003-03-31,RO,1.41
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO2,2003,2002,0,2003-03-31,RO,0.44
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO3,2003,2002,0,2003-03-31,RO,0.19
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO4,2003,2002,0,2003-03-31,RO,0.06
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO5,2003,2002,0,2003-03-31,RO,1.3
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO6,2003,2002,0,2003-03-31,RO,4.8
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO7,2003,2002,0,2003-03-31,RO,1.56
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO8,2003,2002,0,2003-03-31,RO,5.75
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO9,2003,2002,0,2003-03-31,RO,9.91
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO1,2004,2003,0,2004-03-31,RO,1.36
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO2,2004,2003,0,2004-03-31,RO,0.43
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO3,2004,2003,0,2004-03-31,RO,0.19
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO4,2004,2003,0,2004-03-31,RO,0.06
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO5,2004,2003,0,2004-03-31,RO,1.32
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO6,2004,2003,0,2004-03-31,RO,4.76
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO7,2004,2003,0,2004-03-31,RO,1.53
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO8,2004,2003,0,2004-03-31,RO,5.52
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO9,2004,2003,0,2004-03-31,RO,9.64
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO1,2005,2004,0,2005-03-31,RO,1.3
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO2,2005,2004,0,2005-03-31,RO,0.4
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO3,2005,2004,0,2005-03-31,RO,0.19
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO4,2005,2004,0,2005-03-31,RO,0.06
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO5,2005,2004,0,2005-03-31,RO,1.35
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO6,2005,2004,0,2005-03-31,RO,4.77
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO7,2005,2004,0,2005-03-31,RO,1.5
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO8,2005,2004,0,2005-03-31,RO,5.31
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO9,2005,2004,0,2005-03-31,RO,9.47
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO1,2006,2005,0,2006-03-31,RO,1.18
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO2,2006,2005,0,2006-03-31,RO,0.39
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO3,2006,2005,0,2006-03-31,RO,0.19
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO4,2006,2005,0,2006-03-31,RO,0.06
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO5,2006,2005,0,2006-03-31,RO,1.39
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO6,2006,2005,0,2006-03-31,RO,4.77
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO7,2006,2005,0,2006-03-31,RO,1.48
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO8,2006,2005,0,2006-03-31,RO,5.07
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO9,2006,2005,0,2006-03-31,RO,9.43
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO1,2007,2006,0,2007-03-31,RO,1.12
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO2,2007,2006,0,2007-03-31,RO,0.4
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO3,2007,2006,0,2007-03-31,RO,0.18
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO4,2007,2006,0,2007-03-31,RO,0.06
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO5,2007,2006,0,2007-03-31,RO,1.39
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO6,2007,2006,0,2007-03-31,RO,4.78
