DATAFLOW,AUDST,COMPONTS_F_RN,COSO_MER_RN,FREQ,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:MSC_F_RN(1.0),N_A,CF5,N_A,F,2012,2011,0,2012-03-31,INR,73848310000000
RBI:MSC_F_RN(1.0),N_A,CF1,N_A,F,2012,2011,0,2012-03-31,INR,10236697979000
RBI:MSC_F_RN(1.0),N_A,CF4,N_A,F,2012,2011,0,2012-03-31,INR,56474374462000
RBI:MSC_F_RN(1.0),N_A,CF16,N_A,F,2012,2011,0,2011-07-15,INR,11902999000
RBI:MSC_F_RN(1.0),N_A,CF5,N_A,F,2012,2011,0,2011-07-15,INR,67628990300000
RBI:MSC_F_RN(1.0),N_A,CF1,N_A,F,2012,2011,0,2011-07-15,INR,9517543260000
RBI:MSC_F_RN(1.0),N_A,CF15,N_A,F,2012,2011,0,2011-07-15,INR,6241664443000
RBI:MSC_F_RN(1.0),N_A,CF4,N_A,F,2012,2011,0,2011-07-15,INR,51857879590000
RBI:MSC_F_RN(1.0),N_A,CF15,N_A,F,2011,2010,0,2011-03-31,INR,7228562630000
RBI:MSC_F_RN(1.0),N_A,CF16,N_A,F,2011,2010,0,2011-03-31,INR,36527399000
RBI:MSC_F_RN(1.0),N_A,CF4,N_A,F,2011,2010,0,2011-03-31,INR,48657706774000.01
RBI:MSC_F_RN(1.0),N_A,CF5,N_A,F,2011,2010,0,2011-03-31,INR,65041160500000
RBI:MSC_F_RN(1.0),N_A,CF1,N_A,F,2011,2010,0,2011-03-31,INR,9118363652900
RBI:MSC_F_RN(1.0),N_A,CF1,N_A,F,2011,2010,0,2010-12-31,INR,8686663508000
RBI:MSC_F_RN(1.0),N_A,CF16,N_A,F,2011,2010,0,2010-12-31,INR,35709642000
RBI:MSC_F_RN(1.0),N_A,CF15,N_A,F,2011,2010,0,2010-12-31,INR,7195358669000
RBI:MSC_F_RN(1.0),N_A,CF5,N_A,F,2011,2010,0,2010-12-31,INR,62251805500000
