DATAFLOW,AUDST,DENOMITIN_RN,FREQ,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:NOT_COIN_RN(1.0),N_A,NCC14,AFY,2000,1999,0,2000-03-31,INR,572500000000
RBI:NOT_COIN_RN(1.0),N_A,NCC01,AFY,2001,2000,0,2001-03-31,INR,13000000000
RBI:NOT_COIN_RN(1.0),N_A,NCC02,AFY,2001,2000,0,2001-03-31,INR,3070000000
RBI:NOT_COIN_RN(1.0),N_A,NCC03,AFY,2001,2000,0,2001-03-31,INR,13930000000
RBI:NOT_COIN_RN(1.0),N_A,NCC04,AFY,2001,2000,0,2001-03-31,INR,8140000000
RBI:NOT_COIN_RN(1.0),N_A,NCC05,AFY,2001,2000,0,2001-03-31,INR,15440000000
RBI:NOT_COIN_RN(1.0),N_A,NCC07,AFY,2001,2000,0,2001-03-31,INR,4710000000
RBI:NOT_COIN_RN(1.0),N_A,NCC08,AFY,2001,2000,0,2001-03-31,INR,10160000000
RBI:NOT_COIN_RN(1.0),N_A,NCC09,AFY,2001,2000,0,2001-03-31,INR,123360000000
RBI:NOT_COIN_RN(1.0),N_A,NCC10,AFY,2001,2000,0,2001-03-31,INR,10120000000
RBI:NOT_COIN_RN(1.0),N_A,NCC11,AFY,2001,2000,0,2001-03-31,INR,328180000000
RBI:NOT_COIN_RN(1.0),N_A,NCC12,AFY,2001,2000,0,2001-03-31,INR,1081410000000
RBI:NOT_COIN_RN(1.0),N_A,NCC14,AFY,2001,2000,0,2001-03-31,INR,529470000000
RBI:NOT_COIN_RN(1.0),N_A,NCC15,AFY,2001,2000,0,2001-03-31,INR,37190000000
RBI:NOT_COIN_RN(1.0),N_A,NCC01,AFY,2002,2001,0,2002-03-31,INR,13280000000
RBI:NOT_COIN_RN(1.0),N_A,NCC02,AFY,2002,2001,0,2002-03-31,INR,3080000000
RBI:NOT_COIN_RN(1.0),N_A,NCC03,AFY,2002,2001,0,2002-03-31,INR,15470000000
RBI:NOT_COIN_RN(1.0),N_A,NCC04,AFY,2002,2001,0,2002-03-31,INR,10620000000
RBI:NOT_COIN_RN(1.0),N_A,NCC05,AFY,2002,2001,0,2002-03-31,INR,20250000000
RBI:NOT_COIN_RN(1.0),N_A,NCC07,AFY,2002,2001,0,2002-03-31,INR,5380000000
RBI:NOT_COIN_RN(1.0),N_A,NCC08,AFY,2002,2001,0,2002-03-31,INR,12640000000
RBI:NOT_COIN_RN(1.0),N_A,NCC09,AFY,2002,2001,0,2002-03-31,INR,119890000000
RBI:NOT_COIN_RN(1.0),N_A,NCC10,AFY,2002,2001,0,2002-03-31,INR,15310000000
RBI:NOT_COIN_RN(1.0),N_A,NCC11,AFY,2002,2001,0,2002-03-31,INR,356010000000
RBI:NOT_COIN_RN(1.0),N_A,NCC12,AFY,2002,2001,0,2002-03-31,INR,1180410000000
RBI:NOT_COIN_RN(1.0),N_A,NCC14,AFY,2002,2001,0,2002-03-31,INR,685120000000
RBI:NOT_COIN_RN(1.0),N_A,NCC15,AFY,2002,2001,0,2002-03-31,INR,71790000000
RBI:NOT_COIN_RN(1.0),N_A,NCC01,AFY,2003,2002,0,2003-03-31,INR,13460000000
RBI:NOT_COIN_RN(1.0),N_A,NCC02,AFY,2003,2002,0,2003-03-31,INR,3050000000
RBI:NOT_COIN_RN(1.0),N_A,NCC03,AFY,2003,2002,0,2003-03-31,INR,16920000000
RBI:NOT_COIN_RN(1.0),N_A,NCC04,AFY,2003,2002,0,2003-03-31,INR,12100000000
RBI:NOT_COIN_RN(1.0),N_A,NCC05,AFY,2003,2002,0,2003-03-31,INR,24190000000
RBI:NOT_COIN_RN(1.0),N_A,NCC07,AFY,2003,2002,0,2003-03-31,INR,4830000000
RBI:NOT_COIN_RN(1.0),N_A,NCC08,AFY,2003,2002,0,2003-03-31,INR,17390000000
RBI:NOT_COIN_RN(1.0),N_A,NCC09,AFY,2003,2002,0,2003-03-31,INR,90880000000
RBI:NOT_COIN_RN(1.0),N_A,NCC10,AFY,2003,2002,0,2003-03-31,INR,34250000000
RBI:NOT_COIN_RN(1.0),N_A,NCC11,AFY,2003,2002,0,2003-03-31,INR,351910000000
RBI:NOT_COIN_RN(1.0),N_A,NCC12,AFY,2003,2002,0,2003-03-31,INR,1153860000000
RBI:NOT_COIN_RN(1.0),N_A,NCC14,AFY,2003,2002,0,2003-03-31,INR,938130000000
RBI:NOT_COIN_RN(1.0),N_A,NCC15,AFY,2003,2002,0,2003-03-31,INR,159710000000
RBI:NOT_COIN_RN(1.0),N_A,NCC01,AFY,2004,2003,0,2004-03-31,INR,13530000000
RBI:NOT_COIN_RN(1.0),N_A,NCC02,AFY,2004,2003,0,2004-03-31,INR,2990000000
RBI:NOT_COIN_RN(1.0),N_A,NCC03,AFY,2004,2003,0,2004-03-31,INR,17570000000
RBI:NOT_COIN_RN(1.0),N_A,NCC04,AFY,2004,2003,0,2004-03-31,INR,12550000000
RBI:NOT_COIN_RN(1.0),N_A,NCC05,AFY,2004,2003,0,2004-03-31,INR,25350000000
RBI:NOT_COIN_RN(1.0),N_A,NCC07,AFY,2004,2003,0,2004-03-31,INR,4720000000
RBI:NOT_COIN_RN(1.0),N_A,NCC08,AFY,2004,2003,0,2004-03-31,INR,22760000000
RBI:NOT_COIN_RN(1.0),N_A,NCC09,AFY,2004,2003,0,2004-03-31,INR,77500000000
RBI:NOT_COIN_RN(1.0),N_A,NCC10,AFY,2004,2003,0,2004-03-31,INR,43830000000
RBI:NOT_COIN_RN(1.0),N_A,NCC11,AFY,2004,2003,0,2004-03-31,INR,330270000000
