DATAFLOW,AUDST,FREQ,MON_AGG_ITM,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:MON_AG_RN(1.0),N_A,AFY,NET_RBI_CCG,2001,2000,0,2001-03-31,PT,4.795
RBI:MON_AG_RN(1.0),N_A,AFY,NFEABS,2001,2000,0,2001-03-31,PT,21.484965
RBI:MON_AG_RN(1.0),N_A,AFY,OTH_BNK_CCS,2001,2000,0,2001-03-31,PT,16.565537
RBI:MON_AG_RN(1.0),N_A,AFY,OTH_BNK_CG,2001,2000,0,2001-03-31,PT,22.162991
RBI:MON_AG_RN(1.0),N_A,AFY,RBI_CCS,2001,2000,0,2001-03-31,PT,-12.989194
RBI:MON_AG_RN(1.0),N_A,AFY,RES_MON,2001,2000,0,2001-03-31,PT,8.105416
RBI:MON_AG_RN(1.0),N_A,AFY,TIM_DE,2001,2000,0,2001-03-31,PT,19.350332
RBI:MON_AG_RN(1.0),N_A,AFY,BRD_MON,2002,2001,0,2002-03-31,PT,14.097782
RBI:MON_AG_RN(1.0),N_A,AFY,CUR_PUB,2002,2001,0,2002-03-31,PT,14.910131
RBI:MON_AG_RN(1.0),N_A,AFY,DD,2002,2001,0,2002-03-31,PT,7.776047
RBI:MON_AG_RN(1.0),N_A,AFY,NAR_MON,2002,2001,0,2002-03-31,PT,11.43585
RBI:MON_AG_RN(1.0),N_A,AFY,NET_RBI_CCG,2002,2001,0,2002-03-31,PT,-3.5
RBI:MON_AG_RN(1.0),N_A,AFY,NFEABS,2002,2001,0,2002-03-31,PT,24.501708
RBI:MON_AG_RN(1.0),N_A,AFY,OTH_BNK_CCS,2002,2001,0,2002-03-31,PT,13.182501
RBI:MON_AG_RN(1.0),N_A,AFY,OTH_BNK_CG,2002,2001,0,2002-03-31,PT,22.148437
RBI:MON_AG_RN(1.0),N_A,AFY,RBI_CCS,2002,2001,0,2002-03-31,PT,-55.37871
RBI:MON_AG_RN(1.0),N_A,AFY,RES_MON,2002,2001,0,2002-03-31,PT,11.426681
RBI:MON_AG_RN(1.0),N_A,AFY,TIM_DE,2002,2001,0,2002-03-31,PT,15.179444
RBI:MON_AG_RN(1.0),N_A,AFY,BRD_MON,2003,2002,0,2003-03-31,PT,14.656271
RBI:MON_AG_RN(1.0),N_A,AFY,CUR_PUB,2003,2002,0,2003-03-31,PT,12.785541
RBI:MON_AG_RN(1.0),N_A,AFY,DD,2003,2002,0,2003-03-31,PT,10.914277
RBI:MON_AG_RN(1.0),N_A,AFY,NAR_MON,2003,2002,0,2003-03-31,PT,11.998693
RBI:MON_AG_RN(1.0),N_A,AFY,NET_RBI_CCG,2003,2002,0,2003-03-31,PT,-20.086556
RBI:MON_AG_RN(1.0),N_A,AFY,NFEABS,2003,2002,0,2003-03-31,PT,26.57999
RBI:MON_AG_RN(1.0),N_A,AFY,OTH_BNK_CCS,2003,2002,0,2003-03-31,PT,18.868331
RBI:MON_AG_RN(1.0),N_A,AFY,OTH_BNK_CG,2003,2002,0,2003-03-31,PT,27.082847
RBI:MON_AG_RN(1.0),N_A,AFY,RBI_CCS,2003,2002,0,2003-03-31,PT,-48.585086
RBI:MON_AG_RN(1.0),N_A,AFY,RES_MON,2003,2002,0,2003-03-31,PT,9.198441
RBI:MON_AG_RN(1.0),N_A,AFY,TIM_DE,2003,2002,0,2003-03-31,PT,15.701065
RBI:MON_AG_RN(1.0),N_A,AFY,BRD_MON,2004,2003,0,2004-03-31,PT,16.747837
RBI:MON_AG_RN(1.0),N_A,AFY,CUR_PUB,2004,2003,0,2004-03-31,PT,15.976747
RBI:MON_AG_RN(1.0),N_A,AFY,DD,2004,2003,0,2004-03-31,PT,30.121502
RBI:MON_AG_RN(1.0),N_A,AFY,NAR_MON,2004,2003,0,2004-03-31,PT,22.201372
RBI:MON_AG_RN(1.0),N_A,AFY,NET_RBI_CCG,2004,2003,0,2004-03-31,PT,-67.323355
RBI:MON_AG_RN(1.0),N_A,AFY,NFEABS,2004,2003,0,2004-03-31,PT,33.748005
