DATAFLOW,AUDST,BASE_PER,CURR_BASK_RN,FREQ,REPYEAREND,REPYEARSTART,TYP_OF_RATE,TYP_TRD_WTS_RN,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:INX_NEER_REER_M_RN(1.0),N_A,BY_2004_05,CURR_BASK_6CURR,M,2004,2003,REER,TRD_WTS,2003-04-30,IX,98.85
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_1993_94,CURR_BASK_6CURR,M,2004,2003,NEER,TRD_WTS,2003-04-30,IX,70.38
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_1993_94,CURR_BASK_6CURR,M,2004,2003,REER,TRD_WTS,2003-04-30,IX,97.71
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_2003_04,CURR_BASK_6CURR,M,2004,2003,NEER,TRD_WTS,2003-04-30,IX,100.89
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_2003_04,CURR_BASK_6CURR,M,2004,2003,REER,TRD_WTS,2003-04-30,IX,98.85
RBI:INX_NEER_REER_M_RN(1.0),N_A,BY_2004_05,CURR_BASK_6CURR,M,2004,2003,NEER,TRD_WTS,2003-05-31,IX,98.78
RBI:INX_NEER_REER_M_RN(1.0),N_A,BY_2004_05,CURR_BASK_6CURR,M,2004,2003,REER,TRD_WTS,2003-05-31,IX,97.4
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_1993_94,CURR_BASK_6CURR,M,2004,2003,NEER,TRD_WTS,2003-05-31,IX,68.9
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_1993_94,CURR_BASK_6CURR,M,2004,2003,REER,TRD_WTS,2003-05-31,IX,96.28
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_2003_04,CURR_BASK_6CURR,M,2004,2003,NEER,TRD_WTS,2003-05-31,IX,98.78
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_2003_04,CURR_BASK_6CURR,M,2004,2003,REER,TRD_WTS,2003-05-31,IX,97.4
RBI:INX_NEER_REER_M_RN(1.0),N_A,BY_2004_05,CURR_BASK_6CURR,M,2004,2003,NEER,TRD_WTS,2003-06-30,IX,99.1
RBI:INX_NEER_REER_M_RN(1.0),N_A,BY_2004_05,CURR_BASK_6CURR,M,2004,2003,REER,TRD_WTS,2003-06-30,IX,97.87
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_1993_94,CURR_BASK_6CURR,M,2004,2003,NEER,TRD_WTS,2003-06-30,IX,69.13
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_1993_94,CURR_BASK_6CURR,M,2004,2003,REER,TRD_WTS,2003-06-30,IX,96.75
