DATAFLOW,AUDST,BASE_PER,FREQ,REPYEAREND,REPYEARSTART,TERM_EXT_TRD_RN,TYP_COMD_RN,TIME_PERIOD,TYP_INDX_RN,OBS_VALUE
RBI:TRD_INX_NBR_RN(1.0),N_A,BY_2012_2013,AFY,2021,2020,TERM_TRD_EXP,COMMODITY_22,2021-03-31,INDX_UNT_VAL,121.183811
RBI:TRD_INX_NBR_RN(1.0),N_A,BY_2012_2013,AFY,2021,2020,TERM_TRD_EXP,COMMODITY_222,2021-03-31,INDX_QUANT,110.35903
RBI:TRD_INX_NBR_RN(1.0),N_A,BY_2012_2013,AFY,2021,2020,TERM_TRD_EXP,COMMODITY_222,2021-03-31,INDX_UNT_VAL,117.347665
RBI:TRD_INX_NBR_RN(1.0),N_A,BY_2012_2013,AFY,2021,2020,TERM_TRD_EXP,COMMODITY_223,2021-03-31,INDX_QUANT,56.774684
RBI:TRD_INX_NBR_RN(1.0),N_A,BY_2012_2013,AFY,2021,2020,TERM_TRD_EXP,COMMODITY_223,2021-03-31,INDX_UNT_VAL,181.476891
RBI:TRD_INX_NBR_RN(1.0),N_A,BY_2012_2013,AFY,2021,2020,TERM_TRD_EXP,COMMODITY_23,2021-03-31,INDX_QUANT,111.275701
RBI:TRD_INX_NBR_RN(1.0),N_A,BY_2012_2013,AFY,2021,2020,TERM_TRD_EXP,COMMODITY_23,2021-03-31,INDX_UNT_VAL,97.501907
RBI:TRD_INX_NBR_RN(1.0),N_A,BY_2012_2013,AFY,2021,2020,TERM_TRD_EXP,COMMODITY_231,2021-03-31,INDX_QUANT,15.849451
RBI:TRD_INX_NBR_RN(1.0),N_A,BY_2012_2013,AFY,2021,2020,TERM_TRD_EXP,COMMODITY_231,2021-03-31,INDX_UNT_VAL,90.748813
RBI:TRD_INX_NBR_RN(1.0),N_A,BY_2012_2013,AFY,2021,2020,TERM_TRD_EXP,COMMODITY_232,2021-03-31,INDX_QUANT,205.043773
RBI:TRD_INX_NBR_RN(1.0),N_A,BY_2012_2013,AFY,2021,2020,TERM_TRD_EXP,COMMODITY_232,2021-03-31,INDX_UNT_VAL,104.137656
RBI:TRD_INX_NBR_RN(1.0),N_A,BY_2012_2013,AFY,2021,2020,TERM_TRD_EXP,COMMODITY_24,2021-03-31,INDX_QUANT,74.412656
RBI:TRD_INX_NBR_RN(1.0),N_A,BY_2012_2013,AFY,2021,2020,TERM_TRD_EXP,COMMODITY_24,2021-03-31,INDX_UNT_VAL,145.710135
RBI:TRD_INX_NBR_RN(1.0),N_A,BY_2012_2013,AFY,2021,2020,TERM_TRD_EXP,COMMODITY_244,2021-03-31,INDX_QUANT,55.961542
RBI:TRD_INX_NBR_RN(1.0),N_A,BY_2012_2013,AFY,2021,2020,TERM_TRD_EXP,COMMODITY_244,2021-03-31,INDX_UNT_VAL,230.109761
RBI:TRD_INX_NBR_RN(1.0),N_A,BY_2012_2013,AFY,2021,2020,TERM_TRD_EXP,COMMODITY_245,2021-03-31,INDX_QUANT,163.183869
RBI:TRD_INX_NBR_RN(1.0),N_A,BY_2012_2013,AFY,2021,2020,TERM_TRD_EXP,COMMODITY_245,2021-03-31,INDX_UNT_VAL,205.978956
RBI:TRD_INX_NBR_RN(1.0),N_A,BY_2012_2013,AFY,2021,2020,TERM_TRD_EXP,COMMODITY_246,2021-03-31,INDX_QUANT,32.285243
RBI:TRD_INX_NBR_RN(1.0),N_A,BY_2012_2013,AFY,2021,2020,TERM_TRD_EXP,COMMODITY_246,2021-03-31,INDX_UNT_VAL,224.839088
RBI:TRD_INX_NBR_RN(1.0),N_A,BY_2012_2013,AFY,2021,2020,TERM_TRD_EXP,COMMODITY_247,2021-03-31,INDX_QUANT,145.439443
RBI:TRD_INX_NBR_RN(1.0),N_A,BY_2012_2013,AFY,2021,2020,TERM_TRD_EXP,COMMODITY_247,2021-03-31,INDX_UNT_VAL,129.237432
RBI:TRD_INX_NBR_RN(1.0),N_A,BY_2012_2013,AFY,2021,2020,TERM_TRD_EXP,COMMODITY_248,2021-03-31,INDX_QUANT,27.429819
RBI:TRD_INX_NBR_RN(1.0),N_A,BY_2012_2013,AFY,2021,2020,TERM_TRD_EXP,COMMODITY_248,2021-03-31,INDX_UNT_VAL,113.534137
RBI:TRD_INX_NBR_RN(1.0),N_A,BY_2012_2013,AFY,2021,2020,TERM_TRD_EXP,COMMODITY_25,2021-03-31,INDX_QUANT,1375.080689
RBI:TRD_INX_NBR_RN(1.0),N_A,BY_2012_2013,AFY,2021,2020,TERM_TRD_EXP,COMMODITY_25,2021-03-31,INDX_UNT_VAL,76.162901
RBI:TRD_INX_NBR_RN(1.0),N_A,BY_2012_2013,AFY,2021,2020,TERM_TRD_EXP,COMMODITY_251,2021-03-31,INDX_QUANT,1375.080689
RBI:TRD_INX_NBR_RN(1.0),N_A,BY_2012_2013,AFY,2021,2020,TERM_TRD_EXP,COMMODITY_251,2021-03-31,INDX_UNT_VAL,76.162901
RBI:TRD_INX_NBR_RN(1.0),N_A,BY_2012_2013,AFY,2021,2020,TERM_TRD_EXP,COMMODITY_26,2021-03-31,INDX_QUANT,68.993923
RBI:TRD_INX_NBR_RN(1.0),N_A,BY_2012_2013,AFY,2021,2020,TERM_TRD_EXP,COMMODITY_26,2021-03-31,INDX_UNT_VAL,122.595276
RBI:TRD_INX_NBR_RN(1.0),N_A,BY_2012_2013,AFY,2021,2020,TERM_TRD_EXP,COMMODITY_261,2021-03-31,INDX_QUANT,188.906693
RBI:TRD_INX_NBR_RN(1.0),N_A,BY_2012_2013,AFY,2021,2020,TERM_TRD_EXP,COMMODITY_261,2021-03-31,INDX_UNT_VAL,125.842734
RBI:TRD_INX_NBR_RN(1.0),N_A,BY_2012_2013,AFY,2021,2020,TERM_TRD_EXP,COMMODITY_263,2021-03-31,INDX_QUANT,56.421331
RBI:TRD_INX_NBR_RN(1.0),N_A,BY_2012_2013,AFY,2021,2020,TERM_TRD_EXP,COMMODITY_263,2021-03-31,INDX_UNT_VAL,122.919286
RBI:TRD_INX_NBR_RN(1.0),N_A,BY_2012_2013,AFY,2021,2020,TERM_TRD_EXP,COMMODITY_264,2021-03-31,INDX_QUANT,110.199853
RBI:TRD_INX_NBR_RN(1.0),N_A,BY_2012_2013,AFY,2021,2020,TERM_TRD_EXP,COMMODITY_264,2021-03-31,INDX_UNT_VAL,211.827143
