DATAFLOW,ACT_CAT_RN,AUDST,COMP_COUNT,FINC_RATIOS_RN,FREQ,REF_TIME_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:FIN_RATIOS_NGNBFI_AW_RN(1.0),AC_AST_FIN,N_A,2995,PR_OP_PFT_NET_AST,AFY,PREV_FIN_YR,2014,2013,0,2014-03-31,PT,2.5
RBI:FIN_RATIOS_NGNBFI_AW_RN(1.0),AC_AST_FIN,N_A,2995,PR_OP_PFT_NET_AST,AFY,PREV_TO_PREV_FIN_YR,2014,2013,0,2014-03-31,PT,1.9
RBI:FIN_RATIOS_NGNBFI_AW_RN(1.0),AC_DIV,N_A,466,CSR_BNK_BRRW_TTL_BRRW,AFY,CURR_FIN_YR,2014,2013,0,2014-03-31,PT,7.0
RBI:FIN_RATIOS_NGNBFI_AW_RN(1.0),AC_DIV,N_A,466,CSR_BNK_BRRW_TTL_BRRW,AFY,PREV_FIN_YR,2014,2013,0,2014-03-31,PT,4.2
RBI:FIN_RATIOS_NGNBFI_AW_RN(1.0),AC_DIV,N_A,466,CSR_BNK_BRRW_TTL_BRRW,AFY,PREV_TO_PREV_FIN_YR,2014,2013,0,2014-03-31,PT,1.6
RBI:FIN_RATIOS_NGNBFI_AW_RN(1.0),AC_DIV,N_A,466,CSR_BRRW_TTL_NET_AST,AFY,CURR_FIN_YR,2014,2013,0,2014-03-31,PT,29.5
RBI:FIN_RATIOS_NGNBFI_AW_RN(1.0),AC_DIV,N_A,466,CSR_BRRW_TTL_NET_AST,AFY,PREV_FIN_YR,2014,2013,0,2014-03-31,PT,28.4
RBI:FIN_RATIOS_NGNBFI_AW_RN(1.0),AC_DIV,N_A,466,CSR_BRRW_TTL_NET_AST,AFY,PREV_TO_PREV_FIN_YR,2014,2013,0,2014-03-31,PT,20.2
RBI:FIN_RATIOS_NGNBFI_AW_RN(1.0),AC_DIV,N_A,466,CSR_DEBT_EQU,AFY,CURR_FIN_YR,2014,2013,0,2014-03-31,PT,21.3
RBI:FIN_RATIOS_NGNBFI_AW_RN(1.0),AC_DIV,N_A,466,CSR_DEBT_EQU,AFY,PREV_FIN_YR,2014,2013,0,2014-03-31,PT,13.5
RBI:FIN_RATIOS_NGNBFI_AW_RN(1.0),AC_DIV,N_A,466,CSR_DEBT_EQU,AFY,PREV_TO_PREV_FIN_YR,2014,2013,0,2014-03-31,PT,3.1
RBI:FIN_RATIOS_NGNBFI_AW_RN(1.0),AC_DIV,N_A,466,CSR_NET_WRT_TTL_NET_AST,AFY,CURR_FIN_YR,2014,2013,0,2014-03-31,PT,53.0
RBI:FIN_RATIOS_NGNBFI_AW_RN(1.0),AC_DIV,N_A,466,CSR_NET_WRT_TTL_NET_AST,AFY,PREV_FIN_YR,2014,2013,0,2014-03-31,PT,55.1
RBI:FIN_RATIOS_NGNBFI_AW_RN(1.0),AC_DIV,N_A,466,CSR_NET_WRT_TTL_NET_AST,AFY,PREV_TO_PREV_FIN_YR,2014,2013,0,2014-03-31,PT,66.2
RBI:FIN_RATIOS_NGNBFI_AW_RN(1.0),AC_DIV,N_A,466,CSR_TTL_OLIB_NET_WRT,AFY,CURR_FIN_YR,2014,2013,0,2014-03-31,PT,88.7
RBI:FIN_RATIOS_NGNBFI_AW_RN(1.0),AC_DIV,N_A,466,CSR_TTL_OLIB_NET_WRT,AFY,PREV_FIN_YR,2014,2013,0,2014-03-31,PT,81.5
RBI:FIN_RATIOS_NGNBFI_AW_RN(1.0),AC_DIV,N_A,466,CSR_TTL_OLIB_NET_WRT,AFY,PREV_TO_PREV_FIN_YR,2014,2013,0,2014-03-31,PT,51.2
RBI:FIN_RATIOS_NGNBFI_AW_RN(1.0),AC_DIV,N_A,466,PAR_TP_EBT,AFY,CURR_FIN_YR,2014,2013,0,2014-03-31,PT,46.6
RBI:FIN_RATIOS_NGNBFI_AW_RN(1.0),AC_DIV,N_A,466,PR_DIV_NET_WRT,AFY,CURR_FIN_YR,2014,2013,0,2014-03-31,PT,22.1
RBI:FIN_RATIOS_NGNBFI_AW_RN(1.0),AC_DIV,N_A,466,PR_DIV_NET_WRT,AFY,PREV_FIN_YR,2014,2013,0,2014-03-31,PT,19.5
RBI:FIN_RATIOS_NGNBFI_AW_RN(1.0),AC_DIV,N_A,466,PR_DIV_NET_WRT,AFY,PREV_TO_PREV_FIN_YR,2014,2013,0,2014-03-31,PT,1.6
