DATAFLOW,AUDST,FREQ,INF_OUT_DEP_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:NRI_DEPOSITS_IN_OUT_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_FCNRB,2009,2008,0,2009-03-31,USD,-957000000
RBI:NRI_DEPOSITS_IN_OUT_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_FCNRB,2009,2008,0,2009-03-31,INR,-43940000000
RBI:NRI_DEPOSITS_IN_OUT_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRO,2009,2008,0,2009-03-31,USD,2738000000
RBI:NRI_DEPOSITS_IN_OUT_A_RN(1.0),N_A,AFY,TTL,2009,2008,0,2009-03-31,USD,4289000000
RBI:NRI_DEPOSITS_IN_OUT_A_RN(1.0),N_A,AFY,TTL,2009,2008,0,2009-03-31,INR,196940000000
RBI:NRI_DEPOSITS_IN_OUT_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRERA,2009,2008,0,2009-03-31,INR,115160000000
RBI:NRI_DEPOSITS_IN_OUT_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRO,2009,2008,0,2009-03-31,INR,125720000000
RBI:NRI_DEPOSITS_IN_OUT_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRERA,2009,2008,0,2009-03-31,USD,2508000000
RBI:NRI_DEPOSITS_IN_OUT_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRERA,2008,2007,0,2008-03-31,USD,109000000
RBI:NRI_DEPOSITS_IN_OUT_A_RN(1.0),N_A,AFY,TTL,2008,2007,0,2008-03-31,USD,179000000
RBI:NRI_DEPOSITS_IN_OUT_A_RN(1.0),N_A,AFY,TTL,2008,2007,0,2008-03-31,INR,7203200000
RBI:NRI_DEPOSITS_IN_OUT_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_FCNRB,2008,2007,0,2008-03-31,INR,-38631400000
RBI:NRI_DEPOSITS_IN_OUT_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_FCNRB,2008,2007,0,2008-03-31,USD,-960000000
RBI:NRI_DEPOSITS_IN_OUT_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRERA,2008,2007,0,2008-03-31,INR,4386300000
RBI:NRI_DEPOSITS_IN_OUT_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRO,2008,2007,0,2008-03-31,INR,41448300000
RBI:NRI_DEPOSITS_IN_OUT_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRO,2008,2007,0,2008-03-31,USD,1030000000
RBI:NRI_DEPOSITS_IN_OUT_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_FCNRB,2007,2006,0,2007-03-31,USD,2065000000
