DATAFLOW,AUDST,FREQ,MOD_OUTW_REMT_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_STD_ABD,2025,2024,0,2024-11-30,USD,172397365.12
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_INV_EQT_DEB,2025,2024,0,2024-11-30,USD,85791023.74
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_GFT,2025,2024,0,2024-11-30,USD,216512619.17
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_LRS_TTL,2025,2024,0,2024-10-31,USD,2408007058.22
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_INV_EQT_DEB,2025,2024,0,2024-10-31,USD,149339319.65
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_GFT,2025,2024,0,2024-10-31,USD,216297514.31
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_MED_TRT,2025,2024,0,2024-10-31,USD,8485125.05
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_DEP,2025,2024,0,2024-10-31,USD,39058824.21
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_PUR_IMV_PROP,2025,2024,0,2024-10-31,USD,24959269.6
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_STD_ABD,2025,2024,0,2024-10-31,USD,221175986.71
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_TRV,2025,2024,0,2024-10-31,USD,1454659784.87
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_MANT_CLS_RELV,2025,2024,0,2024-10-31,USD,283751118.35
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_OTH,2025,2024,0,2024-10-31,USD,9623699.7
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_DON,2025,2024,0,2024-10-31,USD,656415.77
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_STD_ABD,2025,2024,0,2024-09-30,USD,320100700
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_INV_EQT_DEB,2025,2024,0,2024-09-30,USD,135082467.5
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_DEP,2025,2024,0,2024-09-30,USD,42995647.57
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_TRV,2025,2024,0,2024-09-30,USD,1713058026
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_PUR_IMV_PROP,2025,2024,0,2024-09-30,USD,25467699.4
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_MANT_CLS_RELV,2025,2024,0,2024-09-30,USD,281238357.7
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_DON,2025,2024,0,2024-09-30,USD,868411.86
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_GFT,2025,2024,0,2024-09-30,USD,221670309.7
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_MED_TRT,2025,2024,0,2024-09-30,USD,7894356.13
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_OTH,2025,2024,0,2024-09-30,USD,9878399.72
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_LRS_TTL,2025,2024,0,2024-09-30,USD,2758254375.58
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_GFT,2025,2024,0,2024-08-31,USD,244413522.1
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_TRV,2025,2024,0,2024-08-31,USD,2013303728
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_MED_TRT,2025,2024,0,2024-08-31,USD,7652589.72
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_MANT_CLS_RELV,2025,2024,0,2024-08-31,USD,315402208.7
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_LRS_TTL,2025,2024,0,2024-08-31,USD,3211542723.53
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_PUR_IMV_PROP,2025,2024,0,2024-08-31,USD,22491909.44
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_OTH,2025,2024,0,2024-08-31,USD,20361910.36
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_STD_ABD,2025,2024,0,2024-08-31,USD,416386137.8
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_DEP,2025,2024,0,2024-08-31,USD,45562352.39
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_INV_EQT_DEB,2025,2024,0,2024-08-31,USD,125299969.6
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_DON,2025,2024,0,2024-08-31,USD,668395.42
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_TRV,2025,2024,0,2024-07-31,USD,1662126496
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_OTH,2025,2024,0,2024-07-31,USD,10723891.71
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_GFT,2025,2024,0,2024-07-31,USD,275260907.3
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_MANT_CLS_RELV,2025,2024,0,2024-07-31,USD,337398662.6
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_DEP,2025,2024,0,2024-07-31,USD,41679383.07
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_DON,2025,2024,0,2024-07-31,USD,679736.462
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_STD_ABD,2025,2024,0,2024-07-31,USD,272156955.4
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_INV_EQT_DEB,2025,2024,0,2024-07-31,USD,120862953.2
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_PUR_IMV_PROP,2025,2024,0,2024-07-31,USD,24539006.87
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_MED_TRT,2025,2024,0,2024-07-31,USD,8618500.716
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_LRS_TTL,2025,2024,0,2024-07-31,USD,2754046493.328
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_MED_TRT,2025,2024,0,2024-06-30,USD,6419265.385
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_LRS_TTL,2025,2024,0,2024-06-30,USD,2181853776.282
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_DEP,2025,2024,0,2024-06-30,USD,39019499.44
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_PUR_IMV_PROP,2025,2024,0,2024-06-30,USD,18768850.69
