DATAFLOW,AUDST,COUNTRYCODE,FREQ,FRG_LIB_ASS_RN,MEASURE_RN,REPYEAREND,REPYEARSTART,TYP_ENT_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,OTH,AFY,FLA_FR_EHA,MRKT_VAL,2010,2009,MTL_FND_COMP,0,2010-03-31,INR,6950000000
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,OTH,AFY,FLA_FR_LIB,FAC_VAL,2010,2009,MTL_FND_COMP,0,2010-03-31,INR,128220000000
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,OTH,AFY,FLA_FR_LIB,MRKT_VAL,2010,2009,ASST_MGMT_COMP,0,2010-03-31,INR,6970000000
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,OTH,AFY,FLA_FR_LIB,MRKT_VAL,2010,2009,MTL_FND_COMP,0,2010-03-31,INR,217700000000
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,SG,AFY,FLA_FR_ASS,MRKT_VAL,2010,2009,ASST_MGMT_COMP,0,2010-03-31,INR,700000000
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,SG,AFY,FLA_FR_LIB,FAC_VAL,2010,2009,MTL_FND_COMP,0,2010-03-31,INR,2840000000
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,SG,AFY,FLA_FR_LIB,MRKT_VAL,2010,2009,ASST_MGMT_COMP,0,2010-03-31,INR,7910000000
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,SG,AFY,FLA_FR_LIB,MRKT_VAL,2010,2009,MTL_FND_COMP,0,2010-03-31,INR,4700000000
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,TW,AFY,FLA_FR_EHA,MRKT_VAL,2010,2009,MTL_FND_COMP,0,2010-03-31,INR,880000000
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,US,AFY,FLA_FR_ASS,MRKT_VAL,2010,2009,ASST_MGMT_COMP,0,2010-03-31,INR,0.0
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,US,AFY,FLA_FR_EHA,MRKT_VAL,2010,2009,MTL_FND_COMP,0,2010-03-31,INR,11820000000
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,US,AFY,FLA_FR_LIB,FAC_VAL,2010,2009,MTL_FND_COMP,0,2010-03-31,INR,11160000000
