DATAFLOW,AUDST,FREQ,INTER_INVS_TYP_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_OI_OAR_OS_OFC_LNG_TRM,2019,2018,0,2018-06-30,USD,70510000
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_OI_OAR_OS_SHT_TRM,2019,2018,0,2018-06-30,INR,0.0
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_OI_OAR_OS_SHT_TRM,2019,2018,0,2018-06-30,USD,0.0
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_OI_TCA,2019,2018,0,2018-06-30,INR,87619500000
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_OI_TCA,2019,2018,0,2018-06-30,USD,1357220000
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_OI_TCA_CB,2019,2018,0,2018-06-30,INR,0.0
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_OI_TCA_CB,2019,2018,0,2018-06-30,USD,0.0
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_OI_TCA_CB_MAWR,2019,2018,0,2018-06-30,INR,0.0
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_OI_TCA_CB_MAWR,2019,2018,0,2018-06-30,USD,0.0
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_OI_TCA_DTCECB,2019,2018,0,2018-06-30,INR,0.0
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_OI_TCA_DTCECB,2019,2018,0,2018-06-30,USD,0.0
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_OI_TCA_GG,2019,2018,0,2018-06-30,INR,0.0
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_OI_TCA_GG,2019,2018,0,2018-06-30,USD,0.0
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_OI_TCA_OS,2019,2018,0,2018-06-30,INR,87619500000
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_OI_TCA_OS,2019,2018,0,2018-06-30,USD,1357220000
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_OI_TCA_OS_SHT_TRM,2019,2018,0,2018-06-30,INR,87619500000
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_OI_TCA_OS_SHT_TRM,2019,2018,0,2018-06-30,USD,1357220000
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_OTH_INVS,2019,2018,0,2018-06-30,INR,2788518900000
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_OTH_INVS,2019,2018,0,2018-06-30,USD,41342590000
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_PI,2019,2018,0,2018-06-30,INR,210513100000
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_PI,2019,2018,0,2018-06-30,USD,3069810000
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_PI_DS,2019,2018,0,2018-06-30,INR,77424800000
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_PI_DS,2019,2018,0,2018-06-30,USD,1129050000
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_PI_DS_CB,2019,2018,0,2018-06-30,INR,0.0
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_PI_DS_CB,2019,2018,0,2018-06-30,USD,0.0
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_PI_DS_CB_MAWR,2019,2018,0,2018-06-30,INR,0.0
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_PI_DS_DTCECB,2019,2018,0,2018-06-30,INR,15376400000.000002
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_PI_DS_DTCECB,2019,2018,0,2018-06-30,USD,224570000
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_PI_DS_DTCECB_LNG_TRM,2019,2018,0,2018-06-30,INR,0.0
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_PI_DS_DTCECB_LNG_TRM,2019,2018,0,2018-06-30,USD,0.0
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_PI_DS_DTCECB_SHT_TRM,2019,2018,0,2018-06-30,INR,15376400000.000002
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_PI_DS_DTCECB_SHT_TRM,2019,2018,0,2018-06-30,USD,224570000
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_PI_DS_GG,2019,2018,0,2018-06-30,INR,0.0
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_PI_DS_GG,2019,2018,0,2018-06-30,USD,0.0
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_PI_DS_OS,2019,2018,0,2018-06-30,INR,62048400000
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_PI_DS_OS,2019,2018,0,2018-06-30,USD,904480000
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_PI_DS_OS_LNG_TRM,2019,2018,0,2018-06-30,INR,62048400000
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_PI_DS_OS_LNG_TRM,2019,2018,0,2018-06-30,USD,904480000
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_PI_DS_OS_NFCH_NPISH,2019,2018,0,2018-06-30,INR,62048400000
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_PI_DS_OS_NFCH_NPISH,2019,2018,0,2018-06-30,USD,904480000
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_PI_DS_OS_NFCH_NPISH_LNG_TRM,2019,2018,0,2018-06-30,INR,62048400000
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_PI_DS_OS_NFCH_NPISH_LNG_TRM,2019,2018,0,2018-06-30,USD,904480000
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_PI_DS_OS_OFC_LNG_TRM,2019,2018,0,2018-06-30,INR,0.0
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_PI_DS_OS_OFC_LNG_TRM,2019,2018,0,2018-06-30,USD,0.0
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_PI_DS_OS_OTH_FIN_CO,2019,2018,0,2018-06-30,INR,0.0
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_PI_DS_OS_OTH_FIN_CO,2019,2018,0,2018-06-30,USD,0.0
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_PI_DS_OS_SHT_TRM,2019,2018,0,2018-06-30,INR,0.0
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_PI_DS_OS_SHT_TRM,2019,2018,0,2018-06-30,USD,0.0
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_PI_EIFS,2019,2018,0,2018-06-30,INR,133088300000
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_PI_EIFS,2019,2018,0,2018-06-30,USD,1940760000
