DATAFLOW,AUDST,FREQ,NRI_DEP_OS_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,TTL,2014,2013,0,2014-03-31,INR,6241009000000
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRO,2014,2013,0,2014-03-31,USD,9113794055
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRERA,2013,2012,0,2013-03-31,USD,45924463083
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,TTL,2013,2012,0,2013-03-31,USD,70823031366
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,TTL,2013,2012,0,2013-03-31,INR,3852020000000
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_FCNRB,2013,2012,0,2013-03-31,USD,15188217167
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRO,2013,2012,0,2013-03-31,USD,9710351116
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRERA,2013,2012,0,2013-03-31,INR,2497800000000
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_FCNRB,2013,2012,0,2013-03-31,INR,826080000000
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRO,2013,2012,0,2013-03-31,INR,528140000000
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,TTL,2012,2011,0,2012-03-31,USD,58608360000
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRO,2012,2011,0,2012-03-31,INR,625800000000
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRO,2012,2011,0,2012-03-31,USD,12232210000
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,TTL,2012,2011,0,2012-03-31,INR,2998400000000
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_FCNRB,2012,2011,0,2012-03-31,USD,14968010000
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRERA,2012,2011,0,2012-03-31,INR,1606840000000
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_FCNRB,2012,2011,0,2012-03-31,INR,765760000000
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRERA,2012,2011,0,2012-03-31,USD,31408140000
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRO,2011,2010,0,2011-03-31,USD,9707000000
