DATAFLOW,AUDST,CAT_EXT_AST_RN,FREQ,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:EXTR_ASSIST_RN(1.0),N_A,DSP_TTL,AFY,1994,1993,0,1994-03-31,USD,3055000000
RBI:EXTR_ASSIST_RN(1.0),N_A,GRANTS,AFY,1994,1993,0,1994-03-31,INR,8860000000
RBI:EXTR_ASSIST_RN(1.0),N_A,GRANTS,AFY,1994,1993,0,1994-03-31,USD,283000000
RBI:EXTR_ASSIST_RN(1.0),N_A,GRNT,AFY,1994,1993,0,1994-03-31,INR,24150000000
RBI:EXTR_ASSIST_RN(1.0),N_A,GRNT,AFY,1994,1993,0,1994-03-31,USD,773000000
RBI:EXTR_ASSIST_RN(1.0),N_A,INT,AFY,1994,1993,0,1994-03-31,INR,41990000000
RBI:EXTR_ASSIST_RN(1.0),N_A,INT,AFY,1994,1993,0,1994-03-31,USD,1343000000
RBI:EXTR_ASSIST_RN(1.0),N_A,LN,AFY,1994,1993,0,1994-03-31,INR,116190000000
RBI:EXTR_ASSIST_RN(1.0),N_A,LN,AFY,1994,1993,0,1994-03-31,USD,3718000000
RBI:EXTR_ASSIST_RN(1.0),N_A,LOANS,AFY,1994,1993,0,1994-03-31,INR,108950000000
RBI:EXTR_ASSIST_RN(1.0),N_A,LOANS,AFY,1994,1993,0,1994-03-31,USD,3486000000
RBI:EXTR_ASSIST_RN(1.0),N_A,NET_INFL_AID,AFY,1994,1993,0,1994-03-31,INR,22300000000
RBI:EXTR_ASSIST_RN(1.0),N_A,NET_INFL_AID,AFY,1994,1993,0,1994-03-31,USD,714000000
RBI:EXTR_ASSIST_RN(1.0),N_A,TTL_AUTH,AFY,1994,1993,0,1994-03-31,INR,140340000000
RBI:EXTR_ASSIST_RN(1.0),N_A,TTL_AUTH,AFY,1994,1993,0,1994-03-31,USD,4491000000
RBI:EXTR_ASSIST_RN(1.0),N_A,UTL_TTL,AFY,1994,1993,0,1994-03-31,INR,117810000000
RBI:EXTR_ASSIST_RN(1.0),N_A,UTL_TTL,AFY,1994,1993,0,1994-03-31,USD,3769000000
RBI:EXTR_ASSIST_RN(1.0),N_A,AMORT,AFY,1995,1994,0,1995-03-31,INR,57910000000
RBI:EXTR_ASSIST_RN(1.0),N_A,AMORT,AFY,1995,1994,0,1995-03-31,USD,1841000000
RBI:EXTR_ASSIST_RN(1.0),N_A,DSP_TTL,AFY,1995,1994,0,1995-03-31,INR,104260000000
RBI:EXTR_ASSIST_RN(1.0),N_A,DSP_TTL,AFY,1995,1994,0,1995-03-31,USD,3315000000
RBI:EXTR_ASSIST_RN(1.0),N_A,GRANTS,AFY,1995,1994,0,1995-03-31,INR,9160000000
RBI:EXTR_ASSIST_RN(1.0),N_A,GRANTS,AFY,1995,1994,0,1995-03-31,USD,293000000
RBI:EXTR_ASSIST_RN(1.0),N_A,GRNT,AFY,1995,1994,0,1995-03-31,INR,10760000000
RBI:EXTR_ASSIST_RN(1.0),N_A,GRNT,AFY,1995,1994,0,1995-03-31,USD,344000000
RBI:EXTR_ASSIST_RN(1.0),N_A,INT,AFY,1995,1994,0,1995-03-31,INR,46350000000
RBI:EXTR_ASSIST_RN(1.0),N_A,INT,AFY,1995,1994,0,1995-03-31,USD,1474000000
RBI:EXTR_ASSIST_RN(1.0),N_A,LN,AFY,1995,1994,0,1995-03-31,INR,123840000000
RBI:EXTR_ASSIST_RN(1.0),N_A,LN,AFY,1995,1994,0,1995-03-31,USD,3958000000
