DATAFLOW,AUDST,FREQ,INDICATORS_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND3,2000,1999,0,2000-03-31,RO,2.2469
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND4,2000,1999,0,2000-03-31,RO,0.4897
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND5,2000,1999,0,2000-03-31,RO,0.1545
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND6,2000,1999,0,2000-03-31,RO,15.2227
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND7,2000,1999,0,2000-03-31,RO,10.0303
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND71,2000,1999,0,2000-03-31,RO,7.0817
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND72,2000,1999,0,2000-03-31,RO,2.9486
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND8,2000,1999,0,2000-03-31,RO,15.0683
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND1,2001,2000,0,2001-03-31,RO,2.5404
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND2,2001,2000,0,2001-03-31,RO,4.0379
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND3,2001,2000,0,2001-03-31,RO,1.6964
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND4,2001,2000,0,2001-03-31,RO,0.1989
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND5,2001,2000,0,2001-03-31,RO,-0.1092
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND6,2001,2000,0,2001-03-31,RO,15.6073
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND7,2001,2000,0,2001-03-31,RO,10.6782
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND71,2001,2000,0,2001-03-31,RO,7.5463
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND72,2001,2000,0,2001-03-31,RO,3.1319
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND8,2001,2000,0,2001-03-31,RO,15.7165
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND1,2002,2001,0,2002-03-31,RO,2.5638
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND2,2002,2001,0,2002-03-31,RO,4.0012
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND3,2002,2001,0,2002-03-31,RO,1.3866
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND4,2002,2001,0,2002-03-31,RO,-0.0509
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND5,2002,2001,0,2002-03-31,RO,0.1505
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND6,2002,2001,0,2002-03-31,RO,15.6496
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND7,2002,2001,0,2002-03-31,RO,10.5874
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND71,2002,2001,0,2002-03-31,RO,7.4459
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND72,2002,2001,0,2002-03-31,RO,3.1414
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND8,2002,2001,0,2002-03-31,RO,15.4992
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND1,2003,2002,0,2003-03-31,RO,2.2544
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND2,2003,2002,0,2003-03-31,RO,3.9319
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND3,2003,2002,0,2003-03-31,RO,1.2104
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND4,2003,2002,0,2003-03-31,RO,-0.4671
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND5,2003,2002,0,2003-03-31,RO,-0.1692
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND6,2003,2002,0,2003-03-31,RO,16.1749
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND7,2003,2002,0,2003-03-31,RO,10.7902
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND71,2003,2002,0,2003-03-31,RO,7.6281
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND72,2003,2002,0,2003-03-31,RO,3.1621
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND8,2003,2002,0,2003-03-31,RO,16.3441
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND1,2004,2003,0,2004-03-31,RO,2.2315
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND2,2004,2003,0,2004-03-31,RO,4.2453
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND3,2004,2003,0,2004-03-31,RO,1.416
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND4,2004,2003,0,2004-03-31,RO,-0.5979
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND5,2004,2003,0,2004-03-31,RO,-0.0185
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND6,2004,2003,0,2004-03-31,RO,18.0997
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND7,2004,2003,0,2004-03-31,RO,10.8811
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND71,2004,2003,0,2004-03-31,RO,7.7817
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND72,2004,2003,0,2004-03-31,RO,3.0996
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND8,2004,2003,0,2004-03-31,RO,18.1182
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND1,2005,2004,0,2005-03-31,RO,1.2078
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND2,2005,2004,0,2005-03-31,RO,3.3241
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND3,2005,2004,0,2005-03-31,RO,0.6586
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND4,2005,2004,0,2005-03-31,RO,-1.4577
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND5,2005,2004,0,2005-03-31,RO,-0.3156
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND6,2005,2004,0,2005-03-31,RO,17.0695
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND7,2005,2004,0,2005-03-31,RO,11.2119
