DATAFLOW,AUDST,COMP_COUNT,FREQ,PERF_IND_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3049,AFY,OPR_PFT,2021,2020,0,2021-03-31,INR,6142348200000.001
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3049,AFY,OPR_PFT,2021,2020,0,2021-03-31,PT,10.4
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3049,AFY,OTH_INC,2021,2020,0,2021-03-31,INR,1360861600000
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3049,AFY,OTH_INC,2021,2020,0,2021-03-31,PT,7.3
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3049,AFY,SALES,2021,2020,0,2021-03-31,INR,34944462300000
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3049,AFY,SALES,2021,2020,0,2021-03-31,PT,-4.2
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3049,AFY,TAX_PROV,2021,2020,0,2021-03-31,INR,988371400000
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3049,AFY,TAX_PROV,2021,2020,0,2021-03-31,PT,7.8
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3049,AFY,VAL_OF_PROD,2021,2020,0,2021-03-31,INR,34913892799999.996
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3049,AFY,VAL_OF_PROD,2021,2020,0,2021-03-31,PT,-4.4
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3166,AFY,DEPRC,2022,2021,0,2022-03-31,INR,2042884199999.9998
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3166,AFY,DEPRC,2022,2021,0,2022-03-31,PT,5.3
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3166,AFY,EBITDA,2022,2021,0,2022-03-31,INR,9511321300000.002
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3166,AFY,EBITDA,2022,2021,0,2022-03-31,PT,22.8
