DATAFLOW,AUDST,COMP_COUNT,FREQ,PUC_CLS_RN,REPYEAREND,REPYEARSTART,TYP_RATIO_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:RATIO_LNGNFC_PUC_ANN_RN(1.0),N_A,637,AFY,5_TO_10,2017,2016,EBITDA_TO_SAL,0,2017-03-31,RPT,12.4121
RBI:RATIO_LNGNFC_PUC_ANN_RN(1.0),N_A,637,AFY,5_TO_10,2017,2016,EBIT_TO_SAL,0,2017-03-31,RPT,9.7406
RBI:RATIO_LNGNFC_PUC_ANN_RN(1.0),N_A,637,AFY,5_TO_10,2017,2016,INT_BURDEN,0,2017-03-31,RPT,30.228
RBI:RATIO_LNGNFC_PUC_ANN_RN(1.0),N_A,637,AFY,5_TO_10,2017,2016,INT_CVG,0,2017-03-31,RPT,3.30819
RBI:RATIO_LNGNFC_PUC_ANN_RN(1.0),N_A,637,AFY,5_TO_10,2017,2016,INT_TO_SAL,0,2017-03-31,RPT,2.9444
RBI:RATIO_LNGNFC_PUC_ANN_RN(1.0),N_A,637,AFY,5_TO_10,2017,2016,NET_PFT_TO_SAL,0,2017-03-31,RPT,4.4888
RBI:RATIO_LNGNFC_PUC_ANN_RN(1.0),N_A,637,AFY,5_TO_10,2017,2016,OPR_PFTS_TO_SAL,0,2017-03-31,RPT,10.4008
RBI:RATIO_LNGNFC_PUC_ANN_RN(1.0),N_A,637,AFY,5_TO_10,2017,2016,OTH_INC_NET_PFT,0,2017-03-31,RPT,44.8073
RBI:RATIO_LNGNFC_PUC_ANN_RN(1.0),N_A,637,AFY,5_TO_10,2017,2016,SC_TO_SAL,0,2017-03-31,RPT,8.6894
RBI:RATIO_LNGNFC_PUC_ANN_RN(1.0),N_A,637,AFY,5_TO_10,2017,2016,TAX_PROV_TO_EBT,0,2017-03-31,RPT,28.8196
RBI:RATIO_LNGNFC_PUC_ANN_RN(1.0),N_A,3007,AFY,ALL_COMP,2017,2016,CORM_TO_SAL,0,2017-03-31,RPT,49.7332
RBI:RATIO_LNGNFC_PUC_ANN_RN(1.0),N_A,3007,AFY,ALL_COMP,2017,2016,CSH_CVG_RATIO,0,2017-03-31,RPT,4.175301
RBI:RATIO_LNGNFC_PUC_ANN_RN(1.0),N_A,3007,AFY,ALL_COMP,2017,2016,EBITDA_TO_SAL,0,2017-03-31,RPT,18.9425
RBI:RATIO_LNGNFC_PUC_ANN_RN(1.0),N_A,3007,AFY,ALL_COMP,2017,2016,EBIT_TO_SAL,0,2017-03-31,RPT,14.5516
RBI:RATIO_LNGNFC_PUC_ANN_RN(1.0),N_A,3007,AFY,ALL_COMP,2017,2016,INT_BURDEN,0,2017-03-31,RPT,31.1773
RBI:RATIO_LNGNFC_PUC_ANN_RN(1.0),N_A,3007,AFY,ALL_COMP,2017,2016,INT_CVG,0,2017-03-31,RPT,3.207466
