DATAFLOW,AUDST,COMP_COUNT,FREQ,IND_CLASF_RN,PERF_IND_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,579,AFY,ICC_SRV_NON_IT,EXPD_PNF,2017,2016,0,2017-03-31,INR,142704500000
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,579,AFY,ICC_SRV_NON_IT,EXPD_PNF,2017,2016,0,2017-03-31,PT,20.249169995113
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,579,AFY,ICC_SRV_NON_IT,EXPD_RAW_MATR,2017,2016,0,2017-03-31,INR,185086900000
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,579,AFY,ICC_SRV_NON_IT,EXPD_RAW_MATR,2017,2016,0,2017-03-31,PT,6.979907046319
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,579,AFY,ICC_SRV_NON_IT,EXPD_STAFF_COST,2017,2016,0,2017-03-31,INR,284039800000
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,579,AFY,ICC_SRV_NON_IT,EXPD_STAFF_COST,2017,2016,0,2017-03-31,PT,8.119307402546
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,579,AFY,ICC_SRV_NON_IT,GROSS_PFT_EBIT,2017,2016,0,2017-03-31,INR,416413200000
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,579,AFY,ICC_SRV_NON_IT,GROSS_PFT_EBIT,2017,2016,0,2017-03-31,PT,-17.265591285903
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,579,AFY,ICC_SRV_NON_IT,INT,2017,2016,0,2017-03-31,INR,226707500000
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,579,AFY,ICC_SRV_NON_IT,INT,2017,2016,0,2017-03-31,PT,22.931529891111
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,579,AFY,ICC_SRV_NON_IT,NET_PFT,2017,2016,0,2017-03-31,INR,-29809899999.999996
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,579,AFY,ICC_SRV_NON_IT,NET_PFT,2017,2016,0,2017-03-31,PT,-114.530045759318
