DATAFLOW,AUDST,COMP_COUNT,FREQ,INDS_GRP_RN,PERF_IND_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,67,AFY,MNF_CEE,INT,2016,2015,0,2016-03-31,PT,-12.3001
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,67,AFY,MNF_CEE,NET_PFT,2016,2015,0,2016-03-31,PT,-79.7542
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,67,AFY,MNF_CEE,OPR_PFT,2016,2015,0,2016-03-31,PT,-3.6693
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,67,AFY,MNF_CEE,OTH_INC,2016,2015,0,2016-03-31,PT,-56.7215
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,67,AFY,MNF_CEE,PC_SHARE_SAL,2016,2015,0,2016-03-31,PT,1.659051
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,67,AFY,MNF_CEE,SALES,2016,2015,0,2016-03-31,INR,496028800000
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,67,AFY,MNF_CEE,SALES,2016,2015,0,2016-03-31,PT,-1.4985
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,67,AFY,MNF_CEE,TAX_PROV,2016,2015,0,2016-03-31,PT,-11.0494
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,241,AFY,MNF_CHM_PRD,DEPRC,2016,2015,0,2016-03-31,PT,6.0265
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,241,AFY,MNF_CHM_PRD,EBITDA,2016,2015,0,2016-03-31,PT,14.8413
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,241,AFY,MNF_CHM_PRD,EXPD,2016,2015,0,2016-03-31,PT,-1.4691
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,241,AFY,MNF_CHM_PRD,GROSS_PFT_EBIT,2016,2015,0,2016-03-31,PT,16.6204
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,241,AFY,MNF_CHM_PRD,INT,2016,2015,0,2016-03-31,PT,-0.4296
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,241,AFY,MNF_CHM_PRD,NET_PFT,2016,2015,0,2016-03-31,PT,10.5379
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,241,AFY,MNF_CHM_PRD,OPR_PFT,2016,2015,0,2016-03-31,PT,15.6615
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,241,AFY,MNF_CHM_PRD,OTH_INC,2016,2015,0,2016-03-31,PT,8.2257
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,241,AFY,MNF_CHM_PRD,PC_SHARE_SAL,2016,2015,0,2016-03-31,PT,7.676268
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,241,AFY,MNF_CHM_PRD,SALES,2016,2015,0,2016-03-31,INR,2295076900000
