DATAFLOW,AUDST,COMP_COUNT,FREQ,PERF_IND_RN,PUC_CLS_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,617,QFY,SALES,5_TO_10,2015,2014,0,2014-09-30,PT,5.4289
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,2863,QFY,SALES,ALL_COMP,2015,2014,0,2014-09-30,PT,4.1544
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,620,QFY,SALES,LES_THN_5,2015,2014,0,2014-09-30,PT,4.7417
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,435,QFY,SAL_SHARE,10_TO_15,2015,2014,0,2014-09-30,PT,4.4091
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,430,QFY,SAL_SHARE,15_TO_25,2015,2014,0,2014-09-30,PT,7.7073
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,761,QFY,SAL_SHARE,25_N_ABOVE,2015,2014,0,2014-09-30,PT,81.6602
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,617,QFY,SAL_SHARE,5_TO_10,2015,2014,0,2014-09-30,PT,3.6737
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,2863,QFY,SAL_SHARE,ALL_COMP,2015,2014,0,2014-09-30,PT,100.0
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,620,QFY,SAL_SHARE,LES_THN_5,2015,2014,0,2014-09-30,PT,2.5496
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,435,QFY,TAX_PROV,10_TO_15,2015,2014,0,2014-09-30,PT,12.3956
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,430,QFY,TAX_PROV,15_TO_25,2015,2014,0,2014-09-30,PT,41.688
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,761,QFY,TAX_PROV,25_N_ABOVE,2015,2014,0,2014-09-30,PT,29.0267
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,617,QFY,TAX_PROV,5_TO_10,2015,2014,0,2014-09-30,PT,25.8201
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,2863,QFY,TAX_PROV,ALL_COMP,2015,2014,0,2014-09-30,PT,29.0235
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,620,QFY,TAX_PROV,LES_THN_5,2015,2014,0,2014-09-30,PT,23.7873
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,434,QFY,DEPRC,10_TO_15,2015,2014,0,2014-12-31,PT,7.7301
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,435,QFY,DEPRC,15_TO_25,2015,2014,0,2014-12-31,PT,4.2977
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,761,QFY,DEPRC,25_N_ABOVE,2015,2014,0,2014-12-31,PT,6.2731
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,610,QFY,DEPRC,5_TO_10,2015,2014,0,2014-12-31,PT,2.3443
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,2845,QFY,DEPRC,ALL_COMP,2015,2014,0,2014-12-31,PT,6.1302
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,605,QFY,DEPRC,LES_THN_5,2015,2014,0,2014-12-31,PT,9.3758
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,434,QFY,EBITDA,10_TO_15,2015,2014,0,2014-12-31,PT,-0.4516
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,435,QFY,EBITDA,15_TO_25,2015,2014,0,2014-12-31,PT,-8.0203
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,761,QFY,EBITDA,25_N_ABOVE,2015,2014,0,2014-12-31,PT,-1.2969
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,610,QFY,EBITDA,5_TO_10,2015,2014,0,2014-12-31,PT,-3.3014
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,2845,QFY,EBITDA,ALL_COMP,2015,2014,0,2014-12-31,PT,-1.51
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,605,QFY,EBITDA,LES_THN_5,2015,2014,0,2014-12-31,PT,14.4259
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,434,QFY,EXPD,10_TO_15,2015,2014,0,2014-12-31,PT,4.7089
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,435,QFY,EXPD,15_TO_25,2015,2014,0,2014-12-31,PT,3.0062
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,761,QFY,EXPD,25_N_ABOVE,2015,2014,0,2014-12-31,PT,0.4908
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,610,QFY,EXPD,5_TO_10,2015,2014,0,2014-12-31,PT,6.3326
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,2845,QFY,EXPD,ALL_COMP,2015,2014,0,2014-12-31,PT,1.159
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,605,QFY,EXPD,LES_THN_5,2015,2014,0,2014-12-31,PT,3.4297
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,434,QFY,GROSS_PFT_EBIT,10_TO_15,2015,2014,0,2014-12-31,PT,-3.6887
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,435,QFY,GROSS_PFT_EBIT,15_TO_25,2015,2014,0,2014-12-31,PT,-12.7379
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,761,QFY,GROSS_PFT_EBIT,25_N_ABOVE,2015,2014,0,2014-12-31,PT,-3.458
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,610,QFY,GROSS_PFT_EBIT,5_TO_10,2015,2014,0,2014-12-31,PT,-5.1509
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,2845,QFY,GROSS_PFT_EBIT,ALL_COMP,2015,2014,0,2014-12-31,PT,-3.7659
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,605,QFY,GROSS_PFT_EBIT,LES_THN_5,2015,2014,0,2014-12-31,PT,16.0838
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,434,QFY,INT,10_TO_15,2015,2014,0,2014-12-31,PT,2.838
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,435,QFY,INT,15_TO_25,2015,2014,0,2014-12-31,PT,5.6101
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,761,QFY,INT,25_N_ABOVE,2015,2014,0,2014-12-31,PT,7.207
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,610,QFY,INT,5_TO_10,2015,2014,0,2014-12-31,PT,-0.147
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,2845,QFY,INT,ALL_COMP,2015,2014,0,2014-12-31,PT,6.6228
