DATAFLOW,AUDST,COMP_COUNT,FREQ,PERF_IND_RN,REPYEAREND,REPYEARSTART,SALE_SZ_CLS_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,284,QFY,EBITDA,2015,2014,500_TO_1000,0,2014-09-30,PT,9.1856
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,313,QFY,EBITDA,2015,2014,50_TO_100,0,2014-09-30,PT,-12.7762
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,2863,QFY,EBITDA,2015,2014,ALL_COMP,0,2014-09-30,PT,11.5526
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,477,QFY,EXPD,2015,2014,100_N_ABOVE,0,2014-09-30,PT,4.6382
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,748,QFY,EXPD,2015,2014,100_TO_500,0,2014-09-30,PT,-4.7028
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,281,QFY,EXPD,2015,2014,25_TO_50,0,2014-09-30,PT,-14.5683
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,284,QFY,EXPD,2015,2014,500_TO_1000,0,2014-09-30,PT,2.8803
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,313,QFY,EXPD,2015,2014,50_TO_100,0,2014-09-30,PT,-8.0153
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,2863,QFY,EXPD,2015,2014,ALL_COMP,0,2014-09-30,PT,3.5736
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,760,QFY,EXPD,2015,2014,LES_CLS_THAN_25,0,2014-09-30,PT,-36.6451
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,477,QFY,GROSS_PFT_EBIT,2015,2014,100_N_ABOVE,0,2014-09-30,PT,15.1032
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,748,QFY,GROSS_PFT_EBIT,2015,2014,100_TO_500,0,2014-09-30,PT,-5.0059
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,281,QFY,GROSS_PFT_EBIT,2015,2014,25_TO_50,0,2014-09-30,PT,-51.8929
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,284,QFY,GROSS_PFT_EBIT,2015,2014,500_TO_1000,0,2014-09-30,PT,12.1174
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,313,QFY,GROSS_PFT_EBIT,2015,2014,50_TO_100,0,2014-09-30,PT,-23.2088
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,2863,QFY,GROSS_PFT_EBIT,2015,2014,ALL_COMP,0,2014-09-30,PT,14.0528
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,477,QFY,INT,2015,2014,100_N_ABOVE,0,2014-09-30,PT,-1.0076
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,748,QFY,INT,2015,2014,100_TO_500,0,2014-09-30,PT,7.046
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,281,QFY,INT,2015,2014,25_TO_50,0,2014-09-30,PT,-39.2063
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,284,QFY,INT,2015,2014,500_TO_1000,0,2014-09-30,PT,3.2229
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,313,QFY,INT,2015,2014,50_TO_100,0,2014-09-30,PT,4.7876
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,2863,QFY,INT,2015,2014,ALL_COMP,0,2014-09-30,PT,-0.5636
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,760,QFY,INT,2015,2014,LES_CLS_THAN_25,0,2014-09-30,PT,-20.4835
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,477,QFY,NET_PFT,2015,2014,100_N_ABOVE,0,2014-09-30,PT,25.8779
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,2863,QFY,NET_PFT,2015,2014,ALL_COMP,0,2014-09-30,PT,25.5797
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,477,QFY,OPR_PFT,2015,2014,100_N_ABOVE,0,2014-09-30,PT,10.0817
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,748,QFY,OPR_PFT,2015,2014,100_TO_500,0,2014-09-30,PT,-25.0875
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,281,QFY,OPR_PFT,2015,2014,25_TO_50,0,2014-09-30,PT,-30.8948
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,284,QFY,OPR_PFT,2015,2014,500_TO_1000,0,2014-09-30,PT,0.7692
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,313,QFY,OPR_PFT,2015,2014,50_TO_100,0,2014-09-30,PT,14.3451
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,2863,QFY,OPR_PFT,2015,2014,ALL_COMP,0,2014-09-30,PT,8.3408
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,477,QFY,OTH_INC,2015,2014,100_N_ABOVE,0,2014-09-30,PT,24.2833
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,748,QFY,OTH_INC,2015,2014,100_TO_500,0,2014-09-30,PT,76.2889
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,281,QFY,OTH_INC,2015,2014,25_TO_50,0,2014-09-30,PT,-44.5869
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,284,QFY,OTH_INC,2015,2014,500_TO_1000,0,2014-09-30,PT,47.0834
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,313,QFY,OTH_INC,2015,2014,50_TO_100,0,2014-09-30,PT,-52.1596
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,2863,QFY,OTH_INC,2015,2014,ALL_COMP,0,2014-09-30,PT,26.1183
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,760,QFY,OTH_INC,2015,2014,LES_CLS_THAN_25,0,2014-09-30,PT,24.1527
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,477,QFY,SALES,2015,2014,100_N_ABOVE,0,2014-09-30,PT,5.2431
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,748,QFY,SALES,2015,2014,100_TO_500,0,2014-09-30,PT,-4.8564
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,281,QFY,SALES,2015,2014,25_TO_50,0,2014-09-30,PT,-18.1198
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,284,QFY,SALES,2015,2014,500_TO_1000,0,2014-09-30,PT,3.8032
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,313,QFY,SALES,2015,2014,50_TO_100,0,2014-09-30,PT,-10.672
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,2863,QFY,SALES,2015,2014,ALL_COMP,0,2014-09-30,PT,4.1544
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,760,QFY,SALES,2015,2014,LES_CLS_THAN_25,0,2014-09-30,PT,-42.7451
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,477,QFY,SAL_SHARE,2015,2014,100_N_ABOVE,0,2014-09-30,PT,86.9804
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,748,QFY,SAL_SHARE,2015,2014,100_TO_500,0,2014-09-30,PT,5.6238
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,281,QFY,SAL_SHARE,2015,2014,25_TO_50,0,2014-09-30,PT,0.3139
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,284,QFY,SAL_SHARE,2015,2014,500_TO_1000,0,2014-09-30,PT,6.2023
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,313,QFY,SAL_SHARE,2015,2014,50_TO_100,0,2014-09-30,PT,0.7039
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,2863,QFY,SAL_SHARE,2015,2014,ALL_COMP,0,2014-09-30,PT,100.0
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,760,QFY,SAL_SHARE,2015,2014,LES_CLS_THAN_25,0,2014-09-30,PT,0.1758
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,477,QFY,TAX_PROV,2015,2014,100_N_ABOVE,0,2014-09-30,PT,34.3165
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,748,QFY,TAX_PROV,2015,2014,100_TO_500,0,2014-09-30,PT,-25.1475
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,281,QFY,TAX_PROV,2015,2014,25_TO_50,0,2014-09-30,PT,-7.1537
