DATAFLOW,AUDST,FREQ,HI_LW_AVG_RATES_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,LOW_RATE,2022,2021,0,2022-01-31,INR,2.0
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,HIGH_RATE,2022,2021,0,2021-12-31,INR,4.5
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,LOW_RATE,2022,2021,0,2021-12-31,INR,1.5
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,AVERAGE_RATE,2022,2021,0,2021-12-31,INR,3.34588
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,LOW_RATE,2022,2021,0,2021-11-30,INR,2.0
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,HIGH_RATE,2022,2021,0,2021-11-30,INR,4.7
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,AVERAGE_RATE,2022,2021,0,2021-11-30,INR,3.29571
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,HIGH_RATE,2022,2021,0,2021-10-31,INR,3.65
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,AVERAGE_RATE,2022,2021,0,2021-10-31,INR,3.263257
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,LOW_RATE,2022,2021,0,2021-10-31,INR,1.95
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,HIGH_RATE,2022,2021,0,2021-09-30,INR,3.6
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,LOW_RATE,2022,2021,0,2021-09-30,INR,1.95
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,AVERAGE_RATE,2022,2021,0,2021-09-30,INR,3.187498
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,HIGH_RATE,2022,2021,0,2021-08-31,INR,3.5
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,AVERAGE_RATE,2022,2021,0,2021-08-31,INR,3.194313
