DATAFLOW,AUDST,BASE_PER,BASE_WEIGHT,CORE_INF_INDS_RN,FREQ,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_1993_94,26.68,INF_COMP_INDX,AFY,2010,2009,0,2010-03-31,PT,5.49180327868852
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_1993_94,4.17,INF_CRD_OIL,AFY,2010,2009,0,2010-03-31,PT,0.56451612903226
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_1993_94,10.17,INF_ELECTY,AFY,2010,2009,0,2010-03-31,PT,6.16897630755476
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_1993_94,2.0,INF_REF_PRD,AFY,2010,2009,0,2010-03-31,PT,-0.46480743691899
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_1993_94,5.13,INF_STL,AFY,2010,2009,0,2010-03-31,PT,5.44637843907917
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_2004_05,2.41,INF_CEMENT,AFY,2010,2009,0,2010-03-31,PT,10.55594651653765
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_2004_05,4.38,INF_COAL,AFY,2010,2009,0,2010-03-31,PT,8.10810810810811
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_2004_05,37.9,INF_COMP_INDX,AFY,2010,2009,0,2010-03-31,PT,6.65024630541872
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_2004_05,5.22,INF_CRD_OIL,AFY,2010,2009,0,2010-03-31,PT,0.50709939148073
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_2004_05,10.32,INF_ELECTY,AFY,2010,2009,0,2010-03-31,PT,6.16883116883117
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_2004_05,1.25,INF_FRTZ,AFY,2010,2009,0,2010-03-31,PT,12.63616557734205
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_2004_05,1.71,INF_NAT_GAS,AFY,2010,2009,0,2010-03-31,PT,44.58413926499033
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_2004_05,5.94,INF_REF_PRD,AFY,2010,2009,0,2010-03-31,PT,-0.47430830039526
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_2004_05,6.68,INF_STL,AFY,2010,2009,0,2010-03-31,PT,6.01217656012177
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_1993_94,1.99,INF_CEMENT,AFY,2011,2010,0,2011-03-31,PT,-2.2568093385214
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_1993_94,3.22,INF_COAL,AFY,2011,2010,0,2011-03-31,PT,10.66252587991718
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_1993_94,26.68,INF_COMP_INDX,AFY,2011,2010,0,2011-03-31,PT,4.12528647822765
