DATAFLOW,AUDST,BASE_PER,BASE_WEIGHT,FREQ,INDS_PROD_CLASS_RN,REPYEAREND,REPYEARSTART,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,2.81,M,SEC_METL_PRD,2002,2001,2001-09-30,IX,135.0
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,4.4,M,SEC_NON_MET_MIN,2002,2001,2001-09-30,IX,216.3
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,2.56,M,SEC_OTHR_MNF,2002,2001,2001-09-30,IX,174.3
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,2.65,M,SEC_PPR_PRNT,2002,2001,2001-09-30,IX,166.2
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,5.73,M,SEC_RUBR_PLAS,2002,2001,2001-09-30,IX,166.4
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,2.54,M,SEC_TEXT_PROD,2002,2001,2001-09-30,IX,152.8
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,3.98,M,SEC_TRANS_EQP_PRTS,2002,2001,2001-09-30,IX,205.9
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,2.7,M,SEC_WD_FRN,2002,2001,2001-09-30,IX,98.7
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,2.26,M,SEC_WD_SILK,2002,2001,2001-09-30,IX,193.2
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,14.0,M,SEC_BAS_CHEM_PROD,2002,2001,2001-10-31,IX,181.6
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,7.45,M,SEC_BAS_MTL_ALLOY,2002,2001,2001-10-31,IX,155.3
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,2.38,M,SEC_BEV_TOB,2002,2001,2001-10-31,IX,225.6
