DATAFLOW,AUDST,BASE_PER,FREQ,INDS_PROD_CLASS_RN,INDX_IP_TYP_RN,REPYEAREND,REPYEARSTART,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:INX_INDS_PROD_RN(1.0),N_A,BY_1993_94,M,SEC_BAS_MTL_ALLOY,IIP_SEC_BASED,2002,2001,2001-05-31,IX,154.5
RBI:INX_INDS_PROD_RN(1.0),N_A,BY_1993_94,M,SEC_BEV_TOB,IIP_SEC_BASED,2002,2001,2001-05-31,IX,217.9
RBI:INX_INDS_PROD_RN(1.0),N_A,BY_1993_94,M,SEC_COTT_TEXT,IIP_SEC_BASED,2002,2001,2001-05-31,IX,127.9
RBI:INX_INDS_PROD_RN(1.0),N_A,BY_1993_94,M,SEC_ELECTY,IIP_SEC_BASED,2002,2001,2001-05-31,IX,160.3
RBI:INX_INDS_PROD_RN(1.0),N_A,BY_1993_94,M,SEC_FD_PRD,IIP_SEC_BASED,2002,2001,2001-05-31,IX,124.9
RBI:INX_INDS_PROD_RN(1.0),N_A,BY_1993_94,M,SEC_GEN_INDX,IIP_SEC_BASED,2002,2001,2001-05-31,IX,162.5
RBI:INX_INDS_PROD_RN(1.0),N_A,BY_1993_94,M,SEC_JUTE,IIP_SEC_BASED,2002,2001,2001-05-31,IX,85.6
RBI:INX_INDS_PROD_RN(1.0),N_A,BY_1993_94,M,SEC_LEATR,IIP_SEC_BASED,2002,2001,2001-05-31,IX,160.3
RBI:INX_INDS_PROD_RN(1.0),N_A,BY_1993_94,M,SEC_MACH_EQP,IIP_SEC_BASED,2002,2001,2001-05-31,IX,194.6
RBI:INX_INDS_PROD_RN(1.0),N_A,BY_1993_94,M,SEC_METL_PRD,IIP_SEC_BASED,2002,2001,2001-05-31,IX,146.3
RBI:INX_INDS_PROD_RN(1.0),N_A,BY_1993_94,M,SEC_MIN_QUAR,IIP_SEC_BASED,2002,2001,2001-05-31,IX,125.8
RBI:INX_INDS_PROD_RN(1.0),N_A,BY_1993_94,M,SEC_MNF,IIP_SEC_BASED,2002,2001,2001-05-31,IX,167.6
RBI:INX_INDS_PROD_RN(1.0),N_A,BY_1993_94,M,SEC_NON_MET_MIN,IIP_SEC_BASED,2002,2001,2001-05-31,IX,237.3
RBI:INX_INDS_PROD_RN(1.0),N_A,BY_1993_94,M,SEC_OTHR_MNF,IIP_SEC_BASED,2002,2001,2001-05-31,IX,169.2
RBI:INX_INDS_PROD_RN(1.0),N_A,BY_1993_94,M,SEC_PPR_PRNT,IIP_SEC_BASED,2002,2001,2001-05-31,IX,162.4
RBI:INX_INDS_PROD_RN(1.0),N_A,BY_1993_94,M,SEC_RUBR_PLAS,IIP_SEC_BASED,2002,2001,2001-05-31,IX,168.5
RBI:INX_INDS_PROD_RN(1.0),N_A,BY_1993_94,M,SEC_TEXT_PROD,IIP_SEC_BASED,2002,2001,2001-05-31,IX,169.5
RBI:INX_INDS_PROD_RN(1.0),N_A,BY_1993_94,M,SEC_TRANS_EQP_PRTS,IIP_SEC_BASED,2002,2001,2001-05-31,IX,194.4
RBI:INX_INDS_PROD_RN(1.0),N_A,BY_1993_94,M,SEC_WD_FRN,IIP_SEC_BASED,2002,2001,2001-05-31,IX,91.8
RBI:INX_INDS_PROD_RN(1.0),N_A,BY_1993_94,M,SEC_WD_SILK,IIP_SEC_BASED,2002,2001,2001-05-31,IX,205.7
RBI:INX_INDS_PROD_RN(1.0),N_A,BY_1993_94,M,USE_BAS_GDS,IIP_USE_BASED,2002,2001,2001-05-31,IX,149.9
RBI:INX_INDS_PROD_RN(1.0),N_A,BY_1993_94,M,USE_CAP_GDS,IIP_USE_BASED,2002,2001,2001-05-31,IX,155.3
RBI:INX_INDS_PROD_RN(1.0),N_A,BY_1993_94,M,USE_CONS_DUR,IIP_USE_BASED,2002,2001,2001-05-31,IX,245.8
RBI:INX_INDS_PROD_RN(1.0),N_A,BY_1993_94,M,USE_CONS_GDS,IIP_USE_BASED,2002,2001,2001-05-31,IX,160.5
RBI:INX_INDS_PROD_RN(1.0),N_A,BY_1993_94,M,USE_CONS_NON_DUR,IIP_USE_BASED,2002,2001,2001-05-31,IX,140.8
RBI:INX_INDS_PROD_RN(1.0),N_A,BY_1993_94,M,USE_INTL_GDS,IIP_USE_BASED,2002,2001,2001-05-31,IX,183.9
RBI:INX_INDS_PROD_RN(1.0),N_A,BY_1993_94,M,SEC_BAS_CHEM_PROD,IIP_SEC_BASED,2002,2001,2001-06-30,IX,178.7
RBI:INX_INDS_PROD_RN(1.0),N_A,BY_1993_94,M,SEC_BAS_MTL_ALLOY,IIP_SEC_BASED,2002,2001,2001-06-30,IX,150.3
RBI:INX_INDS_PROD_RN(1.0),N_A,BY_1993_94,M,SEC_BEV_TOB,IIP_SEC_BASED,2002,2001,2001-06-30,IX,219.4
RBI:INX_INDS_PROD_RN(1.0),N_A,BY_1993_94,M,SEC_COTT_TEXT,IIP_SEC_BASED,2002,2001,2001-06-30,IX,125.4
RBI:INX_INDS_PROD_RN(1.0),N_A,BY_1993_94,M,SEC_ELECTY,IIP_SEC_BASED,2002,2001,2001-06-30,IX,150.8
RBI:INX_INDS_PROD_RN(1.0),N_A,BY_1993_94,M,SEC_FD_PRD,IIP_SEC_BASED,2002,2001,2001-06-30,IX,122.6
RBI:INX_INDS_PROD_RN(1.0),N_A,BY_1993_94,M,SEC_GEN_INDX,IIP_SEC_BASED,2002,2001,2001-06-30,IX,159.0
RBI:INX_INDS_PROD_RN(1.0),N_A,BY_1993_94,M,SEC_JUTE,IIP_SEC_BASED,2002,2001,2001-06-30,IX,83.1
RBI:INX_INDS_PROD_RN(1.0),N_A,BY_1993_94,M,SEC_LEATR,IIP_SEC_BASED,2002,2001,2001-06-30,IX,170.7
RBI:INX_INDS_PROD_RN(1.0),N_A,BY_1993_94,M,SEC_MACH_EQP,IIP_SEC_BASED,2002,2001,2001-06-30,IX,182.3
RBI:INX_INDS_PROD_RN(1.0),N_A,BY_1993_94,M,SEC_METL_PRD,IIP_SEC_BASED,2002,2001,2001-06-30,IX,149.7
RBI:INX_INDS_PROD_RN(1.0),N_A,BY_1993_94,M,SEC_MIN_QUAR,IIP_SEC_BASED,2002,2001,2001-06-30,IX,120.2
RBI:INX_INDS_PROD_RN(1.0),N_A,BY_1993_94,M,SEC_MNF,IIP_SEC_BASED,2002,2001,2001-06-30,IX,165.2
RBI:INX_INDS_PROD_RN(1.0),N_A,BY_1993_94,M,SEC_NON_MET_MIN,IIP_SEC_BASED,2002,2001,2001-06-30,IX,222.8
RBI:INX_INDS_PROD_RN(1.0),N_A,BY_1993_94,M,SEC_OTHR_MNF,IIP_SEC_BASED,2002,2001,2001-06-30,IX,161.1
RBI:INX_INDS_PROD_RN(1.0),N_A,BY_1993_94,M,SEC_PPR_PRNT,IIP_SEC_BASED,2002,2001,2001-06-30,IX,166.3
RBI:INX_INDS_PROD_RN(1.0),N_A,BY_1993_94,M,SEC_RUBR_PLAS,IIP_SEC_BASED,2002,2001,2001-06-30,IX,172.4
RBI:INX_INDS_PROD_RN(1.0),N_A,BY_1993_94,M,SEC_TEXT_PROD,IIP_SEC_BASED,2002,2001,2001-06-30,IX,151.4
RBI:INX_INDS_PROD_RN(1.0),N_A,BY_1993_94,M,SEC_TRANS_EQP_PRTS,IIP_SEC_BASED,2002,2001,2001-06-30,IX,186.5
RBI:INX_INDS_PROD_RN(1.0),N_A,BY_1993_94,M,SEC_WD_FRN,IIP_SEC_BASED,2002,2001,2001-06-30,IX,94.1
RBI:INX_INDS_PROD_RN(1.0),N_A,BY_1993_94,M,SEC_WD_SILK,IIP_SEC_BASED,2002,2001,2001-06-30,IX,244.9
RBI:INX_INDS_PROD_RN(1.0),N_A,BY_1993_94,M,USE_BAS_GDS,IIP_USE_BASED,2002,2001,2001-06-30,IX,145.7
RBI:INX_INDS_PROD_RN(1.0),N_A,BY_1993_94,M,USE_CAP_GDS,IIP_USE_BASED,2002,2001,2001-06-30,IX,145.7
RBI:INX_INDS_PROD_RN(1.0),N_A,BY_1993_94,M,USE_CONS_DUR,IIP_USE_BASED,2002,2001,2001-06-30,IX,238.2
RBI:INX_INDS_PROD_RN(1.0),N_A,BY_1993_94,M,USE_CONS_GDS,IIP_USE_BASED,2002,2001,2001-06-30,IX,161.3
RBI:INX_INDS_PROD_RN(1.0),N_A,BY_1993_94,M,USE_CONS_NON_DUR,IIP_USE_BASED,2002,2001,2001-06-30,IX,143.6
RBI:INX_INDS_PROD_RN(1.0),N_A,BY_1993_94,M,USE_INTL_GDS,IIP_USE_BASED,2002,2001,2001-06-30,IX,179.2
RBI:INX_INDS_PROD_RN(1.0),N_A,BY_1993_94,M,SEC_BAS_CHEM_PROD,IIP_SEC_BASED,2002,2001,2001-07-31,IX,185.1
RBI:INX_INDS_PROD_RN(1.0),N_A,BY_1993_94,M,SEC_BAS_MTL_ALLOY,IIP_SEC_BASED,2002,2001,2001-07-31,IX,153.0
RBI:INX_INDS_PROD_RN(1.0),N_A,BY_1993_94,M,SEC_BEV_TOB,IIP_SEC_BASED,2002,2001,2001-07-31,IX,217.8
RBI:INX_INDS_PROD_RN(1.0),N_A,BY_1993_94,M,SEC_COTT_TEXT,IIP_SEC_BASED,2002,2001,2001-07-31,IX,131.4
RBI:INX_INDS_PROD_RN(1.0),N_A,BY_1993_94,M,SEC_ELECTY,IIP_SEC_BASED,2002,2001,2001-07-31,IX,156.6
RBI:INX_INDS_PROD_RN(1.0),N_A,BY_1993_94,M,SEC_FD_PRD,IIP_SEC_BASED,2002,2001,2001-07-31,IX,109.2
