DATAFLOW,AUDST,FREQ,INDS_PRI_CHAR_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,ADD_STC_MAT_FUEL,1997,1996,0,1997-03-31,PN,51070000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,ADD_STC_SEMI_FIN_GDS,1997,1996,0,1997-03-31,PN,11590000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,DEPREC,1997,1996,0,1997-03-31,INR,275350000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,FIX_CAP,1997,1996,0,1997-03-31,INR,3800440000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,FUEL_CONS,1997,1996,0,1997-03-31,PN,546470000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,GROSS_CAP_FORM,1997,1996,0,1997-03-31,INR,937030000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,GRS_FXD_CAP_FORM,1997,1996,0,1997-03-31,INR,799370000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,INT_PAID,1997,1996,0,1997-03-31,INR,399440000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,INV_CAP,1997,1996,0,1997-03-31,INR,5221540000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,MAN_DAYS_EMP,1997,1996,0,1997-03-31,PN,3037414000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,MAN_DAYS_WRK,1997,1996,0,1997-03-31,PN,2303625000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,MAT_CONSUMED,1997,1996,0,1997-03-31,PN,4082030000000
