DATAFLOW,AUDST,BASE_PER,CLASF_SEC_GDP_RN,DIFF_SEC_GDP_RN,FREQ,PRC_TYP_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_HOUS_SEC,AFY,N_A,2020,2019,0,2020-03-31,INR,38451726647231.4
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_PRV_FIN_CRP,AFY,N_A,2020,2019,0,2020-03-31,INR,2119908737061.19
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_LES_FIN_LIB,AFY,N_A,2019,2018,0,2019-03-31,INR,7712453980843.96
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_SAV_GLD_SLV,AFY,N_A,2019,2018,0,2019-03-31,INR,426734551680.19
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_PUB_NON_FIN_CRP,AFY,N_A,2019,2018,0,2019-03-31,INR,2507969424489.27
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_HOUS_SEC,AFY,N_A,2019,2018,0,2019-03-31,INR,38445815669512.1
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_PUB_FIN_CRP,AFY,N_A,2019,2018,0,2019-03-31,INR,1779636743664.67
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_PRV_FIN_CRP,AFY,N_A,2019,2018,0,2019-03-31,INR,1757549261791.2
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_PUB_NON_FIN_CRP_DEP_ENT,AFY,N_A,2019,2018,0,2019-03-31,INR,551284037193.27
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_GROSS_FIN_SAV,AFY,N_A,2019,2018,0,2019-03-31,INR,22636903519523.9
