DATAFLOW,AUDST,FREQ,REPYEAREND,REPYEARSTART,TYP_EXT_DEBT_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,LM_NON_GOVT_BORW,0,2004-09-30,USD,2467000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,LTD_BILT,0,2004-09-30,INR,766760000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,LTD_BILT,0,2004-09-30,USD,16636000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,LTD_COMM_BORW,0,2004-09-30,INR,1044410000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,LTD_COMM_BORW,0,2004-09-30,USD,22630000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,LTD_EXP_TRD_CRD,0,2004-09-30,INR,212240000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,LTD_EXP_TRD_CRD,0,2004-09-30,USD,4600000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,LTD_IMF,0,2004-09-30,INR,0.0
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,LTD_IMF,0,2004-09-30,USD,0.0
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,LTD_MULT,0,2004-09-30,INR,4929480000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,LTD_MULT,0,2004-09-30,USD,106881000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,LTD_NRI_DEP,0,2004-09-30,INR,1410450000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,LTD_RUP_DEB,0,2004-09-30,INR,106340000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,LTD_RUP_DEB,0,2004-09-30,USD,2305000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,LTD_TTL_MULT,0,2004-09-30,INR,1389280000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,LTD_TTL_MULT,0,2004-09-30,USD,30151000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,NCFI_IBRD,0,2004-09-30,INR,3290000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,NCFI_IBRD,0,2004-09-30,USD,72000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,NCFI_OTH,0,2004-09-30,INR,24850000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,NCFI_OTH,0,2004-09-30,USD,539000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,NCPS_PRI_IBRD,0,2004-09-30,INR,0.0
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,NCPS_PRI_IBRD,0,2004-09-30,USD,0.0
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,NCPS_PRI_OTH,0,2004-09-30,INR,2410000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,NCPS_PRI_OTH,0,2004-09-30,USD,52000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,NCPS_PUB_IBRD,0,2004-09-30,INR,46620000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,NCPS_PUB_IBRD,0,2004-09-30,USD,1012000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,NCPS_PUB_OTH,0,2004-09-30,INR,36510000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,NCPS_PUB_OTH,0,2004-09-30,USD,792000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,NGB_CONCS,0,2004-09-30,INR,0.0
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,NGB_CONCS,0,2004-09-30,USD,0.0
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,NGB_NON_CON,0,2004-09-30,INR,113680000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,NGB_NON_CON,0,2004-09-30,USD,2467000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,NON_CON,0,2004-09-30,INR,206490000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,NON_CON,0,2004-09-30,USD,4483000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,NON_CON_FIN_INS,0,2004-09-30,INR,28140000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,NON_CON_FIN_INS,0,2004-09-30,USD,611000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,NON_CON_IBRD,0,2004-09-30,INR,155110000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,NON_CON_IBRD,0,2004-09-30,USD,3368000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,NON_CON_OTH,0,2004-09-30,INR,51380000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,NON_CON_OTH,0,2004-09-30,USD,1115000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,NON_CON_PRI_SEC,0,2004-09-30,INR,2410000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,NON_CON_PRI_SEC,0,2004-09-30,USD,52000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,NON_CON_PUB_SEC,0,2004-09-30,INR,83130000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,NON_CON_PUB_SEC,0,2004-09-30,USD,1804000000
