DATAFLOW,AUDST,EXT_DBT_IND_RN,FREQ,REPYEAREND,REPYEARSTART,TYP_EXT_DEBT_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,CON_DBT_AS_PER_TTL_DBT,AFY,1992,1991,N_A,0,1992-03-31,USD,44.8
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,DBT_SERV_RATIO,AFY,1992,1991,N_A,0,1992-03-31,INR,30.2
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,DBT_SERV_RATIO,AFY,1992,1991,N_A,0,1992-03-31,USD,30.2
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,DBT_STK_GDP,AFY,1992,1991,N_A,0,1992-03-31,INR,38.7
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,DBT_STK_GDP,AFY,1992,1991,N_A,0,1992-03-31,USD,38.7
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1992,1991,BI_GB_CONCESSION,0,1992-03-31,INR,403710000000
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1992,1991,BI_GB_CONCESSION,0,1992-03-31,USD,13099000000
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1992,1991,BI_GB_NON_CON,0,1992-03-31,INR,0.0
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1992,1991,BI_GB_NON_CON,0,1992-03-31,USD,0.0
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1992,1991,BI_NGB_CONCESSION,0,1992-03-31,INR,9280000000
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1992,1991,BI_NGB_CONCESSION,0,1992-03-31,USD,348000000
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1992,1991,BI_NGB_NON_CONCE,0,1992-03-31,INR,63040000000
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1992,1991,BI_NGB_NON_CONCE,0,1992-03-31,USD,2019000000
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1992,1991,BI_NON_CON_FIN_INS,0,1992-03-31,INR,12360000000
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1992,1991,BI_NON_CON_FIN_INS,0,1992-03-31,USD,396000000
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1992,1991,BI_NON_CON_PRI_SEC,0,1992-03-31,INR,5960000000
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1992,1991,BI_NON_CON_PRI_SEC,0,1992-03-31,USD,191000000
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1992,1991,BI_NON_CON_PUB_SEC,0,1992-03-31,INR,44720000000
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1992,1991,BI_NON_CON_PUB_SEC,0,1992-03-31,USD,1432000000
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1992,1991,CONCESSION,0,1992-03-31,INR,409900000000
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1992,1991,CONCESSION,0,1992-03-31,USD,14320000000
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1992,1991,CON_FIN_INC,0,1992-03-31,INR,9280000000
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1992,1991,CON_FIN_INC,0,1992-03-31,USD,348000000
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1992,1991,CON_IDA,0,1992-03-31,INR,400170000000
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1992,1991,CON_IDA,0,1992-03-31,USD,13974000000
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1992,1991,CON_OTH,0,1992-03-31,INR,9730000000
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1992,1991,CON_OTH,0,1992-03-31,USD,346000000
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1992,1991,CON_PRV_SEC,0,1992-03-31,INR,0.0
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1992,1991,CON_PRV_SEC,0,1992-03-31,USD,0.0
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1992,1991,CON_PUB_SEC,0,1992-03-31,INR,0.0
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1992,1991,CON_PUB_SEC,0,1992-03-31,USD,0.0
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1992,1991,GROSS_TTL_DBT,0,1992-03-31,INR,2529100000000
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1992,1991,GROSS_TTL_DBT,0,1992-03-31,USD,85285000000
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1992,1991,LB_GOVT_BORW,0,1992-03-31,INR,403710000000
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1992,1991,LB_GOVT_BORW,0,1992-03-31,USD,13099000000
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1992,1991,LB_NON_GOVT_BORW,0,1992-03-31,INR,72320000000
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1992,1991,LB_NON_GOVT_BORW,0,1992-03-31,USD,2367000000
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1992,1991,LCB_COM_BNK_LN,0,1992-03-31,INR,209330000000
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1992,1991,LCB_COM_BNK_LN,0,1992-03-31,USD,6704000000
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1992,1991,LCB_LN_SEC_MUL_BIL_GUR,0,1992-03-31,INR,15120000000
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1992,1991,LCB_LN_SEC_MUL_BIL_GUR,0,1992-03-31,USD,484000000
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1992,1991,LCB_SEC_BORW,0,1992-03-31,INR,132190000000
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1992,1991,LCB_SEC_BORW,0,1992-03-31,USD,4512000000
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1992,1991,LCB_SEL_LIQ_LN,0,1992-03-31,INR,470000000
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1992,1991,LCB_SEL_LIQ_LN,0,1992-03-31,USD,15000000
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1992,1991,LETC_BUY_CRD,0,1992-03-31,INR,35660000000
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1992,1991,LETC_BUY_CRD,0,1992-03-31,USD,1142000000
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1992,1991,LETC_EXP_CRD_BILT,0,1992-03-31,INR,24280000000
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1992,1991,LETC_EXP_CRD_BILT,0,1992-03-31,USD,791000000
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1992,1991,LETC_EXP_CRD_DEF,0,1992-03-31,INR,50440000000
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1992,1991,LETC_EXP_CRD_DEF,0,1992-03-31,USD,1615000000
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1992,1991,LETC_SUP_CRD,0,1992-03-31,INR,13800000000
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1992,1991,LETC_SUP_CRD,0,1992-03-31,USD,442000000
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1992,1991,LM_GOVT_BORW,0,1992-03-31,INR,637870000000
