DATAFLOW,AUDST,CAT_CNTR_TRD_RN,FREQ,REPYEAREND,REPYEARSTART,TERM_EXT_TRD_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_DC_AS_SA_AFG,AFY,2025,2024,TERM_TRD_EXP,0,2025-03-31,INR,26956302506
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_OTH_OECD_SWZ,AFY,2025,2024,TERM_TRD_EXP,0,2025-03-31,USD,1474958843
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_OPEC_IRN,AFY,2025,2024,TERM_TRD_EXP,0,2025-03-31,USD,1241150570
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_OPEC_IRQ,AFY,2025,2024,TERM_TRD_EXP,0,2025-03-31,USD,3272452989
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_DC_AF,AFY,2025,2024,TERM_TRD_EXP,0,2025-03-31,USD,36952871531
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_DC_AF_ZAM,AFY,2025,2024,TERM_TRD_IMP,0,2025-03-31,INR,14118663231
RBI:DIR_FR_TRD_RN(1.0),N_A,CT_OECD_NA_OTH,AFY,2025,2024,TERM_TRD_EXP,0,2025-03-31,USD,5748992160
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_EAST_EU,AFY,2025,2024,TERM_TRD_IMP,0,2025-03-31,INR,5538969480199
RBI:DIR_FR_TRD_RN(1.0),N_A,CT_OECD_OOECD_OTH,AFY,2025,2024,TERM_TRD_EXP,0,2025-03-31,USD,24748662822
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_DC_AS_SA_NEP,AFY,2025,2024,TERM_TRD_EXP,0,2025-03-31,INR,620761136207
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_DC_AF_SUD,AFY,2025,2024,TERM_TRD_IMP,0,2025-03-31,USD,427545950
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_DC_AS,AFY,2025,2024,TERM_TRD_IMP,0,2025-03-31,INR,21593605668282.996
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_OPEC_UAE,AFY,2025,2024,TERM_TRD_IMP,0,2025-03-31,USD,63422964143
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_DC_AF_KEN,AFY,2025,2024,TERM_TRD_IMP,0,2025-03-31,INR,26941080589
