DATAFLOW,AUDST,CAT_BOP_IND,FREQ,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:BOP_INDI_RN(1.0),N_A,TERM_IMP_RES,AFY,2000,1999,0,2000-03-31,PT,8.24137
RBI:BOP_INDI_RN(1.0),N_A,CAD_TO_GDP,AFY,2001,2000,0,2001-03-31,PT,-0.56916
RBI:BOP_INDI_RN(1.0),N_A,CURR_RCPTS_TO_CURR_PYMTS,AFY,2001,2000,0,2001-03-31,PT,96.68346
RBI:BOP_INDI_RN(1.0),N_A,CURR_RCPTS_TO_GDP,AFY,2001,2000,0,2001-03-31,PT,16.59222
RBI:BOP_INDI_RN(1.0),N_A,EXT_TO_GDP,AFY,2001,2000,0,2001-03-31,PT,9.70354
RBI:BOP_INDI_RN(1.0),N_A,FI_TO_EXP,AFY,2001,2000,0,2001-03-31,PT,12.89712
RBI:BOP_INDI_RN(1.0),N_A,FI_TO_GDP,AFY,2001,2000,0,2001-03-31,PT,1.25148
RBI:BOP_INDI_RN(1.0),N_A,IMP_TO_GDP,AFY,2001,2000,0,2001-03-31,PT,12.36363
RBI:BOP_INDI_RN(1.0),N_A,NET_TO_GDP,AFY,2001,2000,0,2001-03-31,PT,2.09092
RBI:BOP_INDI_RN(1.0),N_A,PYMTS_TO_GDP,AFY,2001,2000,0,2001-03-31,PT,4.79776
RBI:BOP_INDI_RN(1.0),N_A,RCPTS_TO_GDP,AFY,2001,2000,0,2001-03-31,PT,6.88868
RBI:BOP_INDI_RN(1.0),N_A,TERM_IMP_RES,AFY,2001,2000,0,2001-03-31,PT,8.76109
RBI:BOP_INDI_RN(1.0),N_A,CAD_TO_GDP,AFY,2002,2001,0,2002-03-31,PT,0.70037
RBI:BOP_INDI_RN(1.0),N_A,CURR_RCPTS_TO_CURR_PYMTS,AFY,2002,2001,0,2002-03-31,PT,104.35674
RBI:BOP_INDI_RN(1.0),N_A,CURR_RCPTS_TO_GDP,AFY,2002,2001,0,2002-03-31,PT,16.7759
RBI:BOP_INDI_RN(1.0),N_A,EXT_TO_GDP,AFY,2002,2001,0,2002-03-31,PT,9.20841
RBI:BOP_INDI_RN(1.0),N_A,FI_TO_EXP,AFY,2002,2001,0,2002-03-31,PT,14.95649
RBI:BOP_INDI_RN(1.0),N_A,FI_TO_GDP,AFY,2002,2001,0,2002-03-31,PT,1.37726
