DATAFLOW,AUDST,COMD_RN,FREQ,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_PROF_INST,AFY,2023,2022,0,2023-03-31,INR,557799489622
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_PRJ_GDS,AFY,2023,2022,0,2023-03-31,USD,1602917730
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_TERM_TTL_IMP,AFY,2023,2022,0,2023-03-31,USD,715968897109
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_COAL_COKE,AFY,2023,2022,0,2023-03-31,INR,3972581349965
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_WOOD_ORD,AFY,2023,2022,0,2023-03-31,USD,7241163077
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_COAL_COKE,AFY,2023,2022,0,2023-03-31,USD,49735322192
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_PLP_PPR,AFY,2023,2022,0,2023-03-31,USD,2117910132
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_MET_ORES,AFY,2023,2022,0,2023-03-31,INR,754401984030
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_SULPH,AFY,2023,2022,0,2023-03-31,USD,337948717
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_ELEC_GDS,AFY,2023,2022,0,2023-03-31,INR,6207511610727
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_PLP_PPR,AFY,2023,2022,0,2023-03-31,INR,170693339733
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_TEWXT_YRN,AFY,2023,2022,0,2023-03-31,INR,210111335500
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_PROF_INST,AFY,2023,2022,0,2023-03-31,USD,6938023927
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_GYE_MTRL,AFY,2023,2022,0,2023-03-31,INR,310051257638
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_PEARL,AFY,2023,2022,0,2023-03-31,INR,2463239349059
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_ARTF_RESIN,AFY,2023,2022,0,2023-03-31,INR,1886620254709
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_CHEM_MATR_PROD,AFY,2023,2022,0,2023-03-31,USD,12199937906
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_PUL,AFY,2023,2022,0,2023-03-31,INR,157805588594
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_VEG_OIL,AFY,2023,2022,0,2023-03-31,USD,20837699834
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_CTTN_RAW,AFY,2023,2022,0,2023-03-31,USD,1438686067
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_OTH_IMP_COMMD,AFY,2023,2022,0,2023-03-31,USD,28030186072
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_CTTN_RAW,AFY,2023,2022,0,2023-03-31,INR,115063816554
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_TRANS_EQP,AFY,2023,2022,0,2023-03-31,USD,31329548004
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_PRJ_GDS,AFY,2023,2022,0,2023-03-31,INR,129610607028
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_TERM_TTL_IMP,AFY,2023,2022,0,2023-03-31,INR,57498012710748
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_PETR_CRUD,AFY,2023,2022,0,2023-03-31,INR,16824753685917
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_MACH_ELEC_NON,AFY,2023,2022,0,2023-03-31,INR,3654218634233
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_MET_ORES,AFY,2023,2022,0,2023-03-31,USD,9404713643
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_ELEC_GDS,AFY,2023,2022,0,2023-03-31,USD,77263528655
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_PETR_CRUD,AFY,2023,2022,0,2023-03-31,USD,209418165311
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_MEDC_PHARMA,AFY,2023,2022,0,2023-03-31,INR,651042296649
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_TEWXT_YRN,AFY,2023,2022,0,2023-03-31,USD,2617737620
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_PEARL,AFY,2023,2022,0,2023-03-31,USD,30700283397
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_LEATH,AFY,2023,2022,0,2023-03-31,USD,1028582010
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_NEWSPRINT,AFY,2023,2022,0,2023-03-31,USD,521386597
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_NON_FER_MTL,AFY,2023,2022,0,2023-03-31,USD,19840173013
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_LEATH,AFY,2023,2022,0,2023-03-31,INR,82533687604
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_NON_FER_MTL,AFY,2023,2022,0,2023-03-31,INR,1593038118087
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_TRANS_EQP,AFY,2023,2022,0,2023-03-31,INR,2532053295431
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_IRN_STL,AFY,2023,2022,0,2023-03-31,INR,1812247204464
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_GOLD,AFY,2023,2022,0,2023-03-31,USD,35016285933
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_GYE_MTRL,AFY,2023,2022,0,2023-03-31,USD,3865854138
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_ORG_INORG_CHEM,AFY,2023,2022,0,2023-03-31,INR,2677700028393
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_MACH_ELEC_NON,AFY,2023,2022,0,2023-03-31,USD,45414926219
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_GOLD,AFY,2023,2022,0,2023-03-31,INR,2804808056112
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_PUL,AFY,2023,2022,0,2023-03-31,USD,1943892551
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_CHEM_MATR_PROD,AFY,2023,2022,0,2023-03-31,INR,979084673625
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_MACH_TOOLS,AFY,2023,2022,0,2023-03-31,INR,354555345511
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_FRT_VEG,AFY,2023,2022,0,2023-03-31,INR,214971077895
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_WOOD_ORD,AFY,2023,2022,0,2023-03-31,INR,581579201893
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_FERTZ,AFY,2023,2022,0,2023-03-31,USD,17206761529
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_SILV,AFY,2023,2022,0,2023-03-31,USD,5294582522
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_ARTF_RESIN,AFY,2023,2022,0,2023-03-31,USD,23510590636
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_SULPH,AFY,2023,2022,0,2023-03-31,INR,26905407465
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_PUL,AFY,2022,2021,0,2022-03-31,INR,166275821036
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_TERM_TTL_IMP,AFY,2022,2021,0,2022-03-31,INR,45727745890791
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_NON_FER_MTL,AFY,2022,2021,0,2022-03-31,INR,1312178866289
