DATAFLOW,AUDST,FREQ,LIB_TYP_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT11,2011,2010,0,2011-03-31,RO,48.58
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT12,2011,2010,0,2011-03-31,RO,3.58
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT2,2011,2010,0,2011-03-31,RO,23.5
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT3,2011,2010,0,2011-03-31,RO,62.02
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT4,2011,2010,0,2011-03-31,RO,65.6
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT1,2012,2011,0,2012-03-31,RO,53.46
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT11,2012,2011,0,2012-03-31,RO,49.76
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT12,2012,2011,0,2012-03-31,RO,3.7
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT2,2012,2011,0,2012-03-31,RO,22.82
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT3,2012,2011,0,2012-03-31,RO,63.66
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT4,2012,2011,0,2012-03-31,RO,67.36
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT1,2013,2012,0,2013-03-31,RO,52.55
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT11,2013,2012,0,2013-03-31,RO,49.21
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT12,2013,2012,0,2013-03-31,RO,3.34
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT2,2013,2012,0,2013-03-31,RO,22.23
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT3,2013,2012,0,2013-03-31,RO,63.31
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT4,2013,2012,0,2013-03-31,RO,66.65
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT1,2014,2013,0,2014-03-31,RO,52.16
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT11,2014,2013,0,2014-03-31,RO,48.83
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT12,2014,2013,0,2014-03-31,RO,3.33
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT2,2014,2013,0,2014-03-31,RO,22.0
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT3,2014,2013,0,2014-03-31,RO,63.73
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT4,2014,2013,0,2014-03-31,RO,67.06
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT1,2015,2014,0,2015-03-31,RO,51.42
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT11,2015,2014,0,2015-03-31,RO,48.48
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT12,2015,2014,0,2015-03-31,RO,2.94
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT2,2015,2014,0,2015-03-31,RO,21.69
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT3,2015,2014,0,2015-03-31,RO,63.64
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT4,2015,2014,0,2015-03-31,RO,66.58
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT1,2016,2015,0,2016-03-31,RO,51.54
