DATAFLOW,AUDST,COMP_COUNT,COUNTRYCODE,FREQ,REF_TIME_RN,REPYEAREND,REPYEARSTART,TYP_FIN_RT_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,52,DE,AFY,CURR_YR,2013,2012,CSR_DEB_EQT,0,2013-03-31,PT,23.7
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,52,DE,AFY,CURR_YR,2013,2012,CSR_NFA_TNA,0,2013-03-31,PT,21.6
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,52,DE,AFY,CURR_YR,2013,2012,CSR_NW_TNA,0,2013-03-31,PT,37.8
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,52,DE,AFY,CURR_YR,2013,2012,CSR_STBB_INV,0,2013-03-31,PT,48.4
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,52,DE,AFY,CURR_YR,2013,2012,CSR_TB_EQT,0,2013-03-31,PT,68.3
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,52,DE,AFY,CURR_YR,2013,2012,ER_CRM_TE,0,2013-03-31,PT,51.8
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,52,DE,AFY,CURR_YR,2013,2012,ER_ICR,0,2013-03-31,PT,1.9
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,52,DE,AFY,CURR_YR,2013,2012,ER_IP_TE,0,2013-03-31,PT,3.5
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,52,DE,AFY,CURR_YR,2013,2012,ER_RTE_TE,0,2013-03-31,PT,9.8
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,52,DE,AFY,CURR_YR,2013,2012,LR_CA_CL,0,2013-03-31,PT,1.4
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,52,DE,AFY,CURR_YR,2013,2012,LR_CA_TNA,0,2013-03-31,PT,71.1
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,52,DE,AFY,CURR_YR,2013,2012,LR_QA_CL,0,2013-03-31,PT,52.3
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,52,DE,AFY,CURR_YR,2013,2012,LR_TP_CA,0,2013-03-31,PT,24.9
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,52,DE,AFY,CURR_YR,2013,2012,PPAR_EBD_SAL,0,2013-03-31,PT,7.7
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,52,DE,AFY,CURR_YR,2013,2012,PPAR_GP_SAL,0,2013-03-31,PT,6.5
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,52,DE,AFY,CURR_YR,2013,2012,PPAR_GP_TNA,0,2013-03-31,PT,5.5
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,52,DE,AFY,CURR_YR,2013,2012,PPAR_OD_TO_OPC,0,2013-03-31,PT,6.4
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,52,DE,AFY,CURR_YR,2013,2012,PPAR_PAT_SAL,0,2013-03-31,PT,5.9
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,52,DE,AFY,CURR_YR,2013,2012,PPAR_PAT_TNW,0,2013-03-31,PT,13.1
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,52,DE,AFY,CURR_YR,2013,2012,PPAR_PR_PAT,0,2013-03-31,PT,93.8
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,52,DE,AFY,CURR_YR,2013,2012,PPAR_TP_PBT,0,2013-03-31,PT,26.1
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,52,DE,AFY,CURR_YR,2013,2012,SUFR_ESF_TSF,0,2013-03-31,PT,51.1
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,52,DE,AFY,CURR_YR,2013,2012,SUFR_GCF_TUF,0,2013-03-31,PT,38.0
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,52,DE,AFY,CURR_YR,2013,2012,SUFR_GFAF_TUF,0,2013-03-31,PT,26.2
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,52,DE,AFY,CURR_YR,2013,2012,SUFR_GS_GCF,0,2013-03-31,PT,130.2
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,52,DE,AFY,CURR_YR,2013,2012,SUFR_IBB_TES,0,2013-03-31,PT,62.5
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,52,DE,AFY,PREV_TO_PREV,2013,2012,AUTR_EXP_SAL,0,2013-03-31,PT,8.4
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,52,DE,AFY,PREV_TO_PREV,2013,2012,AUTR_INV_SAL,0,2013-03-31,PT,40.0
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,52,DE,AFY,PREV_TO_PREV,2013,2012,AUTR_TR_SAL,0,2013-03-31,PT,20.9
