DATAFLOW,AUDST,COMP_COUNT,FREQ,GRWT_RT_RATIOS_RN,IND_TYP_RN,REF_TIME_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,598,AFY,GRP_TTL_ERN_FC_EXP,PRV,CURR_YR,2013,2012,0,2013-03-31,PT,14.892260156468
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,598,AFY,GRP_TTL_ERN_FC_EXP,PRV,PREV_YR,2013,2012,0,2013-03-31,PT,37.05728108727
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,319,AFY,GRP_TTL_ERN_FC_EXP,PUB,CURR_YR,2013,2012,0,2013-03-31,PT,13.207777407793
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,319,AFY,GRP_TTL_ERN_FC_EXP,PUB,PREV_YR,2013,2012,0,2013-03-31,PT,26.22072435
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,598,AFY,GRP_TTL_EXP_FC,PRV,CURR_YR,2013,2012,0,2013-03-31,PT,0.762510663907
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,598,AFY,GRP_TTL_EXP_FC,PRV,PREV_YR,2013,2012,0,2013-03-31,PT,43.319811195572
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,319,AFY,GRP_TTL_EXP_FC,PUB,CURR_YR,2013,2012,0,2013-03-31,PT,22.12687976076
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,319,AFY,GRP_TTL_EXP_FC,PUB,PREV_YR,2013,2012,0,2013-03-31,PT,15.21430444
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,598,AFY,GRP_TTL_EXP_FC_IMP,PRV,CURR_YR,2013,2012,0,2013-03-31,PT,4.447595001235
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,598,AFY,GRP_TTL_EXP_FC_IMP,PRV,PREV_YR,2013,2012,0,2013-03-31,PT,42.003528852897
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,319,AFY,GRP_TTL_EXP_FC_IMP,PUB,CURR_YR,2013,2012,0,2013-03-31,PT,19.143746756617
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,319,AFY,GRP_TTL_EXP_FC_IMP,PUB,PREV_YR,2013,2012,0,2013-03-31,PT,12.47308636
