DATAFLOW,AUDST,FREQ,GRWT_RT_RATIOS_RN,REF_TIME_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:GRWT_RT_INDC_FDI_RN(1.0),N_A,AFY,GRP_CURR_ASST,PREV_YR,2015,2014,0,2015-03-31,PT,9.0
RBI:GRWT_RT_INDC_FDI_RN(1.0),N_A,AFY,GRP_CURR_LIB,CURR_YR,2015,2014,0,2015-03-31,PT,10.4
RBI:GRWT_RT_INDC_FDI_RN(1.0),N_A,AFY,GRP_CURR_LIB,PREV_YR,2015,2014,0,2015-03-31,PT,15.8
RBI:GRWT_RT_INDC_FDI_RN(1.0),N_A,AFY,GRP_DESC_PROV,CURR_YR,2015,2014,0,2015-03-31,PT,17.8
RBI:GRWT_RT_INDC_FDI_RN(1.0),N_A,AFY,GRP_DESC_PROV,PREV_YR,2015,2014,0,2015-03-31,PT,21.4
RBI:GRWT_RT_INDC_FDI_RN(1.0),N_A,AFY,GRP_DIV_PAID,CURR_YR,2015,2014,0,2015-03-31,PT,23.5
RBI:GRWT_RT_INDC_FDI_RN(1.0),N_A,AFY,GRP_EBIT,CURR_YR,2015,2014,0,2015-03-31,PT,14.7
RBI:GRWT_RT_INDC_FDI_RN(1.0),N_A,AFY,GRP_EBIT,PREV_YR,2015,2014,0,2015-03-31,PT,14.3
RBI:GRWT_RT_INDC_FDI_RN(1.0),N_A,AFY,GRP_GFA,CURR_YR,2015,2014,0,2015-03-31,PT,10.2
RBI:GRWT_RT_INDC_FDI_RN(1.0),N_A,AFY,GRP_GFA,PREV_YR,2015,2014,0,2015-03-31,PT,18.0
RBI:GRWT_RT_INDC_FDI_RN(1.0),N_A,AFY,GRP_GRS_SAV,CURR_YR,2015,2014,0,2015-03-31,PT,18.6
RBI:GRWT_RT_INDC_FDI_RN(1.0),N_A,AFY,GRP_GRS_SAV,PREV_YR,2015,2014,0,2015-03-31,PT,9.1
RBI:GRWT_RT_INDC_FDI_RN(1.0),N_A,AFY,GRP_GVA,CURR_YR,2015,2014,0,2015-03-31,PT,15.8
RBI:GRWT_RT_INDC_FDI_RN(1.0),N_A,AFY,GRP_GVA,PREV_YR,2015,2014,0,2015-03-31,PT,15.6
RBI:GRWT_RT_INDC_FDI_RN(1.0),N_A,AFY,GRP_INT_EXP,CURR_YR,2015,2014,0,2015-03-31,PT,4.6
RBI:GRWT_RT_INDC_FDI_RN(1.0),N_A,AFY,GRP_INT_EXP,PREV_YR,2015,2014,0,2015-03-31,PT,29.4
RBI:GRWT_RT_INDC_FDI_RN(1.0),N_A,AFY,GRP_INVN,CURR_YR,2015,2014,0,2015-03-31,PT,13.8
RBI:GRWT_RT_INDC_FDI_RN(1.0),N_A,AFY,GRP_INVN,PREV_YR,2015,2014,0,2015-03-31,PT,17.7
RBI:GRWT_RT_INDC_FDI_RN(1.0),N_A,AFY,GRP_LNG_BORRW,CURR_YR,2015,2014,0,2015-03-31,PT,12.4
RBI:GRWT_RT_INDC_FDI_RN(1.0),N_A,AFY,GRP_LNG_BORRW,PREV_YR,2015,2014,0,2015-03-31,PT,17.8
RBI:GRWT_RT_INDC_FDI_RN(1.0),N_A,AFY,GRP_MNF_EXP,CURR_YR,2015,2014,0,2015-03-31,PT,11.3
RBI:GRWT_RT_INDC_FDI_RN(1.0),N_A,AFY,GRP_MNF_EXP,PREV_YR,2015,2014,0,2015-03-31,PT,6.3
RBI:GRWT_RT_INDC_FDI_RN(1.0),N_A,AFY,GRP_NC_LIB,CURR_YR,2015,2014,0,2015-03-31,PT,12.9
RBI:GRWT_RT_INDC_FDI_RN(1.0),N_A,AFY,GRP_NC_LIB,PREV_YR,2015,2014,0,2015-03-31,PT,11.2
RBI:GRWT_RT_INDC_FDI_RN(1.0),N_A,AFY,GRP_NET_WRT,CURR_YR,2015,2014,0,2015-03-31,PT,14.4
RBI:GRWT_RT_INDC_FDI_RN(1.0),N_A,AFY,GRP_NET_WRT,PREV_YR,2015,2014,0,2015-03-31,PT,14.1
RBI:GRWT_RT_INDC_FDI_RN(1.0),N_A,AFY,GRP_NFA,CURR_YR,2015,2014,0,2015-03-31,PT,8.6
RBI:GRWT_RT_INDC_FDI_RN(1.0),N_A,AFY,GRP_NFA,PREV_YR,2015,2014,0,2015-03-31,PT,15.3
RBI:GRWT_RT_INDC_FDI_RN(1.0),N_A,AFY,GRP_NON_CUR_ASST,CURR_YR,2015,2014,0,2015-03-31,PT,9.7
RBI:GRWT_RT_INDC_FDI_RN(1.0),N_A,AFY,GRP_NON_CUR_ASST,PREV_YR,2015,2014,0,2015-03-31,PT,17.6
RBI:GRWT_RT_INDC_FDI_RN(1.0),N_A,AFY,GRP_NON_OP_SD,CURR_YR,2015,2014,0,2015-03-31,PT,118.1
RBI:GRWT_RT_INDC_FDI_RN(1.0),N_A,AFY,GRP_NON_OP_SD,PREV_YR,2015,2014,0,2015-03-31,PT,31.9
RBI:GRWT_RT_INDC_FDI_RN(1.0),N_A,AFY,GRP_NVA,CURR_YR,2015,2014,0,2015-03-31,PT,15.3
