DATAFLOW,AUDST,FREQ,REF_TIME_RN,REPYEAREND,REPYEARSTART,TYP_FIN_RT_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:FIN_RATIOS_RN(1.0),N_A,AFY,PREV_YR,2014,2013,AUTR_SAL_TNA,0,2014-03-31,PT,87.0
RBI:FIN_RATIOS_RN(1.0),N_A,AFY,PREV_YR,2014,2013,AUTR_TR_SAL,0,2014-03-31,PT,13.5
RBI:FIN_RATIOS_RN(1.0),N_A,AFY,PREV_YR,2014,2013,CSR_DEB_EQT,0,2014-03-31,PT,40.5
RBI:FIN_RATIOS_RN(1.0),N_A,AFY,PREV_YR,2014,2013,CSR_NFA_TNA,0,2014-03-31,PT,40.3
RBI:FIN_RATIOS_RN(1.0),N_A,AFY,PREV_YR,2014,2013,CSR_NW_TNA,0,2014-03-31,PT,43.9
RBI:FIN_RATIOS_RN(1.0),N_A,AFY,PREV_YR,2014,2013,CSR_STBB_INV,0,2014-03-31,PT,28.5
RBI:FIN_RATIOS_RN(1.0),N_A,AFY,PREV_YR,2014,2013,CSR_TB_EQT,0,2014-03-31,PT,60.9
RBI:FIN_RATIOS_RN(1.0),N_A,AFY,PREV_YR,2014,2013,ER_CRM_TE,0,2014-03-31,PT,54.6
RBI:FIN_RATIOS_RN(1.0),N_A,AFY,PREV_YR,2014,2013,ER_ICR,0,2014-03-31,PT,3.5
RBI:FIN_RATIOS_RN(1.0),N_A,AFY,PREV_YR,2014,2013,ER_IP_TE,0,2014-03-31,PT,3.4
RBI:FIN_RATIOS_RN(1.0),N_A,AFY,PREV_YR,2014,2013,ER_RTE_TE,0,2014-03-31,PT,9.0
RBI:FIN_RATIOS_RN(1.0),N_A,AFY,PREV_YR,2014,2013,LR_CA_CL,0,2014-03-31,PT,1.2
RBI:FIN_RATIOS_RN(1.0),N_A,AFY,PREV_YR,2014,2013,LR_CA_TNA,0,2014-03-31,PT,40.4
RBI:FIN_RATIOS_RN(1.0),N_A,AFY,PREV_YR,2014,2013,LR_QA_CL,0,2014-03-31,PT,57.1
RBI:FIN_RATIOS_RN(1.0),N_A,AFY,PREV_YR,2014,2013,LR_TP_CA,0,2014-03-31,PT,31.2
RBI:FIN_RATIOS_RN(1.0),N_A,AFY,PREV_YR,2014,2013,PPAR_DIV_NW,0,2014-03-31,PT,4.4
RBI:FIN_RATIOS_RN(1.0),N_A,AFY,PREV_YR,2014,2013,PPAR_EBD_SAL,0,2014-03-31,PT,13.4
RBI:FIN_RATIOS_RN(1.0),N_A,AFY,PREV_YR,2014,2013,PPAR_GP_SAL,0,2014-03-31,PT,11.2
RBI:FIN_RATIOS_RN(1.0),N_A,AFY,PREV_YR,2014,2013,PPAR_GP_TNA,0,2014-03-31,PT,9.3
RBI:FIN_RATIOS_RN(1.0),N_A,AFY,PREV_YR,2014,2013,PPAR_OD_TO_OPC,0,2014-03-31,PT,42.2
RBI:FIN_RATIOS_RN(1.0),N_A,AFY,PREV_YR,2014,2013,PPAR_PAT_SAL,0,2014-03-31,PT,5.6
RBI:FIN_RATIOS_RN(1.0),N_A,AFY,PREV_YR,2014,2013,PPAR_PAT_TNW,0,2014-03-31,PT,10.6
RBI:FIN_RATIOS_RN(1.0),N_A,AFY,PREV_YR,2014,2013,PPAR_PR_PAT,0,2014-03-31,PT,62.8
RBI:FIN_RATIOS_RN(1.0),N_A,AFY,PREV_YR,2014,2013,PPAR_TP_PBT,0,2014-03-31,PT,24.2
RBI:FIN_RATIOS_RN(1.0),N_A,AFY,PREV_YR,2014,2013,SUFR_ESF_TSF,0,2014-03-31,PT,54.3
RBI:FIN_RATIOS_RN(1.0),N_A,AFY,PREV_YR,2014,2013,SUFR_GCF_TUF,0,2014-03-31,PT,58.9
RBI:FIN_RATIOS_RN(1.0),N_A,AFY,PREV_YR,2014,2013,SUFR_GFAF_TUF,0,2014-03-31,PT,52.4
RBI:FIN_RATIOS_RN(1.0),N_A,AFY,PREV_YR,2014,2013,SUFR_GS_GCF,0,2014-03-31,PT,82.4
RBI:FIN_RATIOS_RN(1.0),N_A,AFY,PREV_YR,2014,2013,SUFR_IBB_TES,0,2014-03-31,PT,16.7
RBI:FIN_RATIOS_RN(1.0),N_A,AFY,CURR_YR,2015,2014,AUTR_EXP_SAL,0,2015-03-31,PT,8.4
RBI:FIN_RATIOS_RN(1.0),N_A,AFY,CURR_YR,2015,2014,AUTR_GVA_GFA,0,2015-03-31,PT,43.2
